# File: USDA_GDP_MER.csv
# Title: GDP MER by country 1969-2017
# Units: billion 2010 USD
# Source: http://www.ers.usda.gov/datafiles/International_Macroeconomic_Data/Historical_Data_Files/HistoricalRealGDPValues.xls
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn 
# ----------
Country,iso,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,afg,3.433479,3.572259,3.71104,3.84982,3.9886,4.127381,4.266161,4.404942,4.543722,4.682502,4.821283,8.197865486,9.104624748,8.627959251,9.168940544,10.38372993,8.263222694,9.111780167,7.975786209,6.62051487,5.061077595,4.929489613,4.968925953,5.018615246,4.863038063,4.717146873,5.953039646,6.310221672,6.688835144,6.421281815,6.690975666,6.570538044,6.143453121,7.900480747,8.567610741,8.658045769,9.625606537,10.16022587,11.55626202,11.97360039,14.49052906,15.71255779,16.6731739,19.07990265,19.8241291,20.35750198,20.62419319,21.1123085,21.66028786
Albania,alb,3.911143,4.032106,4.15681,4.285372,4.417909,4.554545,4.695408,4.840626,4.990336,5.144676,5.30379,5.639412403,5.963432789,6.139269829,6.20710516,6.129416943,6.2385602,6.590242863,6.538321972,6.445475101,7.079487324,6.401581287,4.507417679,4.182883263,4.584439754,4.964948177,5.625286579,6.137187481,5.472047806,5.965016365,6.770363808,7.221718311,7.795146465,8.124987602,8.594082832,9.084766388,9.604489326,10.12611008,10.7235508,11.12684727,11.49988747,11.92654037,12.23068619,12.40435886,12.52849483,12.75079727,13.03370476,13.47061539,13.98807049
Algeria,dza,36.32523,39.54463,35.06354,44.67935,46.38306,49.85943,52.375,56.76756,59.75274,65.25886,70.1388,70.01613617,72.1166153,76.73208618,80.87561798,85.40464783,88.56462097,88.91887665,88.29644775,87.41347504,91.25967407,91.98975372,90.88587189,92.52182007,90.57885742,89.76365662,93.17467499,96.9948349,98.06178284,103.0629349,106.3609543,110.4235992,113.745575,120.1259384,128.7772522,134.3167725,142.2519226,144.6481476,149.5269318,153.0559692,155.5542145,161.2072754,165.8691864,171.4668884,176.2124634,182.8893738,189.7723541,196.0348511,199.3674316
Angola,ago,17.37287,17.72742,18.0892,18.45838,18.83508,19.21946,19.6117,20.01194,20.42034,20.83708,21.26234,20.83879852,19.92189026,19.92189026,20.75860977,22.0041275,22.77427101,23.43472672,24.3915081,25.88643837,25.89721107,25.00373268,25.2516098,23.77734947,18.07472801,18.31681442,21.06433678,23.91736794,25.65718269,26.86079788,27.44676399,28.28515816,29.47483253,33.50276947,35.0284996,38.61484528,46.68805695,55.55367279,68.43634033,77.89225769,79.77172852,82.52613831,85.72265625,90.161026,96.33048248,100.8618469,103.8874435,103.0423279,103.7859879
Antigua and Barbuda,atg,0.214214,0.2240465,0.2343302,0.2450859,0.2563354,0.2681012,0.280407,0.2932777,0.3067392,0.3195734,0.3430415,0.393900514,0.4089275,0.408583939,0.430500418,0.474260807,0.510512292,0.569189668,0.606906295,0.63854593,0.672084153,0.692324936,0.707395971,0.715589941,0.753373623,0.803670287,0.768634319,0.819401264,0.864231765,0.905121267,0.938682199,1.001496434,0.951881528,0.961629748,1.019884348,1.078389645,1.14754045,1.293605089,1.41338551,1.412959576,1.241885066,1.152469039,1.128507733,1.168080091,1.166865945,1.226398826,1.276193261,1.344373584,1.389235973
Argentina,arg,172.975,178.2432,188.3285,191.3952,196.7767,207.6661,207.6071,203.417,217.5222,207.7205,228.9551,227.8561096,214.8921661,204.2395782,212.1541138,216.8464813,200.39505,216.1777191,222.4684753,216.7801514,200.5299072,195.7192841,220.5163422,246.847702,261.4288025,276.6863098,268.8139954,283.6705017,306.6791687,318.4868469,307.7045898,305.276825,291.8176575,260.0256348,283.0041809,308.5582581,335.8707886,362.8988037,395.5874634,411.6373901,387.2745056,426.4875793,452.093689,447.4533081,458.2160034,446.7027893,458.9029236,450.5392456,463.4423523
Armenia,arm,3.561309,3.671452,3.785001,3.902063,4.022746,4.147161,4.275424,4.407653,4.543972,4.684508,4.829389,4.981865406,5.135944366,5.294787884,5.458543301,5.627364635,5.80140686,5.980830669,6.16580534,6.356500626,6.553094387,6.35786581,5.613995552,3.26734519,2.979818821,3.140729189,3.357439518,3.554366589,3.67241025,3.940496206,4.070532322,4.310693741,4.722651482,5.345394611,6.095930099,6.734042645,7.667765141,8.679757118,9.87315464,10.55440235,9.060956001,9.260296822,9.695530891,10.39360905,10.73659897,11.12311649,11.4790554,11.50201321,12.36466503
Australia,aus,302.818,324.5207,337.524,350.7244,359.8331,374.5864,379.5815,389.4016,403.4517,407.0728,423.5745,457.8122253,473.0933533,488.8384705,477.9855652,499.8827515,526.1226196,547.4576416,561.1732178,593.053772,615.9906616,637.947998,635.475647,638.2883301,664.0692749,690.489502,716.9308472,744.7379761,774.2774658,809.7141113,850.3461304,883.8768921,900.9631348,937.0288696,965.0061646,1003.617126,1035.635742,1064.988037,1105.216064,1145.642334,1167.670044,1191.641602,1220.849976,1268.364746,1301.843018,1335.14856,1366.539673,1405.176025,1432.68335
Austria,aut,133.0375,140.4158,147.5954,156.758,164.4191,170.9035,170.2843,178.0782,187.1245,186.7303,196.733,208.3328857,208.0322876,212.2163391,218.5257263,218.6377716,224.1008301,229.2582703,232.3696899,240.0283051,249.3583832,260.1946106,269.1495361,274.7842407,276.231842,282.8672485,290.414093,297.2374573,303.4604492,314.3286438,325.5072327,336.4954224,340.7593994,346.387207,349.6483765,359.2117004,367.2726135,379.958374,394.1210022,399.8768311,384.8231506,391.8927307,403.3469543,406.0915222,406.1950989,409.5613708,414.0331726,420.0404663,432.789856
Azerbaijan,aze,16.51826,17.02913,17.5558,18.09877,18.65852,19.23559,19.8305,20.44383,21.07611,21.72794,22.39993,20.69440269,21.33442879,21.99426079,22.6744976,23.37576675,24.09873009,24.84405327,25.61242294,26.44517517,25.28388977,22.32567596,22.16939735,17.15911293,13.19535828,10.59587288,9.34555912,9.467051506,10.01614094,11.01775455,11.83306789,13.14653873,14.44804668,15.97953987,17.76924896,19.58171082,24.75128365,33.29047775,41.62940598,46.11390305,50.45352173,52.90270615,52.93758392,54.102211,57.23834229,58.38311005,59.02532578,57.19553757,57.25273514
Bahamas,bhs,3.553345,3.352594,3.407125,3.287966,3.536784,2.944224,2.508387,2.63845,2.879999,3.288369,4.147926,5.622979164,5.104180336,5.44610405,5.642003536,6.441540241,6.752613544,6.873958111,7.079113007,7.242619514,7.729854584,7.60646677,7.288380623,7.009557724,7.031133175,7.252537727,7.570108414,7.889834404,8.052541733,8.432338715,9.034754753,9.409628868,9.65669632,9.917867661,9.792433739,9.878884315,10.21430779,10.47138691,10.62285995,10.37598801,9.942763329,10.09576035,10.15763664,10.47117043,10.42819405,10.41276169,10.52157116,10.34380341,10.49246407
Bahrain,bhr,5.917727,6.038497,6.161731,6.287482,6.415798,6.546732,6.680339,6.816672,6.955788,7.097743,7.242594,7.624222755,7.218865871,6.673392773,7.098913193,7.454117775,7.099430561,7.183416367,7.930420876,8.485549927,8.516437531,8.894396782,9.893237114,10.55509472,11.91353607,11.88375187,12.35078239,12.85840034,13.25611019,13.891078,14.48839474,15.25627804,15.63631725,16.201437,17.1774044,18.37654877,19.62044525,20.88960648,22.62186813,24.03463173,24.64505577,25.713274,26.22337914,27.20210075,28.67550468,29.92284393,30.7792263,31.76906586,33.00324249
Bangladesh,bgd,21.6167,22.83153,21.58049,18.56488,19.18229,21.02225,20.16281,21.30431,21.87378,23.4211,24.5457,28.43537903,30.49237823,31.14318466,32.35186768,33.90582657,35.03896332,36.50127411,37.87825012,38.79348373,39.8938942,42.13683319,43.60540009,45.97870255,48.14501953,50.01792145,52.57947922,54.95761108,57.42514801,60.39806366,63.21874619,66.56510162,69.94480133,72.62587738,76.06803131,80.05364227,85.2858963,90.97605896,97.3977356,103.2550278,108.4643784,114.5077896,121.9100189,129.8602905,137.6695709,146.013855,155.581604,166.6488647,178.7879028
Barbados,brb,2.14393,2.347805,2.439668,2.470745,2.50387,2.387419,2.483039,2.480989,2.589586,2.748383,2.959087,3.327196121,3.263979197,3.104044199,3.119564533,3.231868982,3.267419338,3.434057951,3.523343325,3.646660089,3.777940035,3.65326786,3.510790348,3.265034914,3.304215431,3.429775476,3.498370886,3.638305664,3.809305906,3.950250149,3.96605134,4.057270527,3.959896088,3.991575241,4.079390049,4.136501312,4.301961422,4.5471735,4.629022598,4.633651257,4.44830513,4.461649895,4.492881298,4.506360054,4.506360054,4.506360054,4.546916962,4.63785553,4.715356827
Belarus,blr,15.26128,15.73328,16.21988,16.72153,17.23869,17.77184,18.32149,18.88813,19.47231,20.07453,20.6954,23.30286598,24.02357483,24.76657295,25.53255081,26.32221794,27.13631058,27.97558022,28.84080696,29.73279381,30.65236473,31.60037422,31.22117233,28.2239399,26.07892036,23.02768517,20.63280678,21.21052551,23.62852669,25.61332321,26.48417664,28.02025986,29.34430313,30.82480049,32.99585342,36.77379227,40.23052979,44.253582,48.05939484,52.96145248,53.06737518,57.20328522,60.37447357,61.41979218,62.04872131,63.11787415,60.70072937,59.16715622,60.60012817
Belgium,bel,183.0023,193.9043,201.1817,211.755,224.7193,234.1568,231.0495,244.1101,245.6386,252.6194,258.5334,270.425354,269.670105,271.2745972,272.1205444,278.8320618,283.4377747,288.604187,295.261322,309.2071228,319.934021,329.9716492,336.0202942,341.1636047,337.882019,348.7853699,357.1030579,362.7931519,376.2543945,383.6864624,397.3583984,411.7970276,415.1389465,422.5304871,425.8032837,441.2798767,450.5214539,461.8121643,477.7399292,481.4814758,470.632843,483.5480042,492.2436523,493.3994446,494.3894348,500.7832336,507.9291992,515.1026001,524.0126953
Belize,blz,0.1539584,0.1613603,0.1677493,0.1848903,0.1947855,0.2211984,0.2291456,0.2290677,0.2439492,0.263272,0.2830622,0.329942077,0.334200442,0.333254129,0.326235712,0.332623243,0.336171806,0.351549208,0.390978187,0.427095145,0.483005494,0.53434211,0.590432227,0.661495268,0.703014433,0.704124749,0.708659112,0.718783855,0.744266033,0.772108674,0.839902699,0.949415624,0.997035146,1.048069,1.145817518,1.199103355,1.230025172,1.286391854,1.300597668,1.342587352,1.352161646,1.397113562,1.426508069,1.480733752,1.491295815,1.551623225,1.61050725,1.602671504,1.616832733
Benin,ben,1.569405,1.602328,1.578344,1.679774,1.742029,1.800201,1.712074,1.727215,1.813294,1.836052,1.956051,2.206582785,2.426231146,2.480458975,2.372612953,2.560757637,2.753591061,2.813375473,2.771174908,2.865540028,2.783752918,3.033626318,3.161821365,3.255338907,3.44532609,3.514935493,3.72742033,3.888604641,4.111604214,4.274465561,4.502783775,4.766646385,5.020728588,5.253914356,5.43486166,5.675605774,5.77274847,6.000599384,6.359826565,6.670815945,6.826199055,6.970245838,7.176756859,7.522423744,8.063264847,8.575429916,8.75515461,9.102284431,9.610572815
Bhutan,btn,0.0987883,0.1056107,0.1129044,0.1207017,0.1290376,0.1379491,0.147476,0.157661,0.1685493,0.1801895,0.1926336,0.165165409,0.188136175,0.194559023,0.216565028,0.226271719,0.235801771,0.263462663,0.339066625,0.35597688,0.382435292,0.424030632,0.422301114,0.441730738,0.450505137,0.472811878,0.506259143,0.534433365,0.563152969,0.596458018,0.64407903,0.68873322,0.745235324,0.825183034,0.888427854,0.940813184,1.007823229,1.076852679,1.269887328,1.330440044,1.41901052,1.585472584,1.710580826,1.797336578,1.835844517,1.941322088,2.069399834,2.234759569,2.387142897
Bolivia,bol,6.302078,6.270894,6.588409,7.11334,7.521586,7.742688,8.308759,8.692171,9.124278,9.311571,9.323987,9.202736855,9.22810173,8.864630699,8.506311417,8.489242554,8.34692955,8.132090569,8.33242321,8.574854851,8.899852753,9.312430382,9.802871704,9.964276314,10.38968086,10.87459469,11.38333797,11.87980461,12.46835518,13.09543228,13.15133572,13.48114681,13.70814228,14.04886723,14.42978001,15.03197765,15.69660664,16.44957352,17.20039558,18.25796318,18.87088203,19.64963341,20.67221642,21.7311058,23.2079525,24.47524071,25.66404915,26.75834465,27.88091278
Bosnia Herzegovina,bih,1.04985,1.08232,1.115794,1.150303,1.185879,1.222556,1.260367,1.299347,1.339533,1.380963,1.423672,1.473965645,1.51955235,1.566549063,1.614998937,1.664947033,1.716440678,1.769526124,1.824252605,1.880673289,1.938838363,1.998802066,2.060621738,2.124352455,2.190053701,2.758502007,3.332270145,6.296580315,8.461947441,9.782011032,10.72108364,11.31074429,11.80841732,12.43426228,12.931633,13.7204628,14.92213249,15.72471619,16.62554741,17.55377197,17.02897263,17.1767807,17.34094048,17.19844437,17.60250473,17.80486679,18.3526783,18.92969894,19.5035305
Botswana,bwa,0.4396816,0.5149564,0.6479238,0.8187292,0.9931445,1.080519,1.171783,1.296546,1.452288,1.660442,1.862162,1.893600225,2.065252542,2.316501379,2.621045589,2.84502387,3.047739506,3.296828747,3.688555717,4.40597868,4.981372833,5.318752289,5.715462685,5.88218689,5.994895935,6.212385654,6.649142265,7.036774158,7.601583958,7.656466961,8.396636009,8.563534737,8.584993362,9.106061935,9.527298927,9.785090446,10.23096275,11.08666706,12.00428391,12.75400352,11.77802849,12.78665543,13.56003189,14.16429043,15.77100563,16.42538452,16.14649391,16.84329605,17.24066353
