# File: A327.inc_elas.csv
# Title: paper and paperboard demand income elasticity as a function of per-capita gdp
# Units: inc_elas:unitless (% change in service demand / % change in income)
# Column types: cnn
# ----------
sector,pcgdp_90thousUSD,inc_elas
paper,0,0.7
paper,1,0.65
paper,2,0.60
paper,3,0.5
paper,4,0.4
paper,5,0.35
paper,6,0.33
paper,7,0.30
paper,8,0.29
paper,9,0.25
paper,10,0.23
paper,11,0.22
paper,12,0.21
paper,13,0.2
paper,14,0.16
paper,15,0.15
paper,16,0.12
paper,17,0.11
paper,18,0.10
paper,19,0.09
paper,20,0.08
paper,21,0.05
paper,22,0.04
paper,23,0.03
paper,24,0.02
paper,25,0.01
