filename; year; sector; australia;brazil;canada;china;france;germany;india;indonesia;iran;italy;japan;korea;mexico;poland;saudi_arabia;spain;thailand;turkey;uk;usa;ussr;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1960_CH3OH.nc;1960;forestfire;   0.03932;    0.2714;   0.04281;   0.06213; 0.0005011; 8.145e-05;   0.01978;    0.1184;     0.000;  0.001629;     0.000;     0.000;   0.04910;  0.001843;     0.000;  0.003036;   0.04412; 0.0001934; 8.466e-05;   0.02950;    0.6503;     1.912;;RETRO;FIRES;V2;1960;CH3OH
RETRO_FIRES_V2_1960_CH3OH.nc;1960;woodedfire;    0.1488;    0.6059;     0.000;  0.001521;     0.000;     0.000;   0.07325;     0.000;     0.000;     0.000;     0.000;     0.000; 0.0005594;     0.000;     0.000;     0.000; 6.855e-05;     0.000;     0.000;   0.01553;   0.01691;     4.528;;RETRO;FIRES;V2;1960;CH3OH
RETRO_FIRES_V2_1960_CH3OH.nc;1960;grassfire;    0.3268;   0.02773;     0.000; 0.0004456;     0.000;     0.000; 1.080e-06;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;  0.003756;    0.9866;;RETRO;FIRES;V2;1960;CH3OH
RETRO_FIRES_V2_1961_CH3OH.nc;1961;forestfire;   0.03975;    0.2940;    0.1596;   0.05463; 0.0007395; 0.0001592;   0.01723;   0.09874;     0.000;  0.002066; 0.0003549;     0.000;   0.05827;  0.001471;     0.000;  0.004031;   0.02795; 0.0002428; 0.0001115;   0.02492;    0.2335;     1.537;;RETRO;FIRES;V2;1961;CH3OH
RETRO_FIRES_V2_1961_CH3OH.nc;1961;woodedfire;    0.1549;    0.4428;     0.000;  0.001512;     0.000;     0.000;   0.04467;     0.000;     0.000;     0.000;     0.000;     0.000;  0.001229;     0.000;     0.000;     0.000; 4.352e-05;     0.000;     0.000;   0.01000;   0.01722;     2.860;;RETRO;FIRES;V2;1961;CH3OH
RETRO_FIRES_V2_1961_CH3OH.nc;1961;grassfire;    0.3353;   0.02040;     0.000; 0.0005967;     0.000;     0.000; 2.211e-06;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;  0.003436;    0.7247;;RETRO;FIRES;V2;1961;CH3OH
RETRO_FIRES_V2_1962_CH3OH.nc;1962;forestfire;   0.02159;    0.3208;   0.02268;   0.04534; 0.0003276; 0.0001126;   0.01997;   0.08628;     0.000; 0.0008425;     0.000;     0.000;   0.06243;  0.001745;     0.000;  0.001679;   0.02563; 0.0001019; 8.549e-05;   0.03167;    0.5416;     1.591;;RETRO;FIRES;V2;1962;CH3OH
RETRO_FIRES_V2_1962_CH3OH.nc;1962;woodedfire;   0.08085;    0.3761;     0.000;  0.001818;     0.000;     0.000;   0.06279;     0.000;     0.000;     0.000;     0.000;     0.000;  0.001040;     0.000;     0.000;     0.000; 1.565e-06;     0.000;     0.000;   0.01384;   0.01697;     2.963;;RETRO;FIRES;V2;1962;CH3OH
RETRO_FIRES_V2_1962_CH3OH.nc;1962;grassfire;    0.1810;   0.01721;     0.000; 0.0008594;     0.000;     0.000; 7.742e-07;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;  0.003111;    0.6212;;RETRO;FIRES;V2;1962;CH3OH
RETRO_FIRES_V2_1963_CH3OH.nc;1963;forestfire;   0.02087;    0.3474;   0.01220;   0.03960; 0.0002463; 0.0001731;   0.01682;    0.1505;     0.000; 0.0006436;     0.000;     0.000;   0.06027;  0.001263;     0.000;  0.001248;   0.01551; 7.923e-05; 6.141e-05;   0.04926;    0.2424;     1.470;;RETRO;FIRES;V2;1963;CH3OH
RETRO_FIRES_V2_1963_CH3OH.nc;1963;woodedfire;   0.07780;    0.4565;     0.000;  0.001452;     0.000;     0.000;   0.05194;     0.000;     0.000;     0.000;     0.000;     0.000; 0.0009839;     0.000;     0.000;     0.000; 3.148e-05;     0.000;     0.000;   0.02492;   0.01733;     3.052;;RETRO;FIRES;V2;1963;CH3OH
RETRO_FIRES_V2_1963_CH3OH.nc;1963;grassfire;    0.1747;   0.02400;     0.000; 0.0004203;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;  0.004225;    0.5702;;RETRO;FIRES;V2;1963;CH3OH
RETRO_FIRES_V2_1964_CH3OH.nc;1964;forestfire;   0.03517;    0.3670;   0.07735;   0.05454; 0.0004745; 0.0001626;   0.02206;    0.1668;     0.000;  0.001384;     0.000;     0.000;   0.06080;  0.001689;     0.000;  0.002763;   0.01927; 0.0001673; 5.885e-05;   0.03255;    0.2694;     1.639;;RETRO;FIRES;V2;1964;CH3OH
RETRO_FIRES_V2_1964_CH3OH.nc;1964;woodedfire;    0.1349;    0.2769;     0.000;  0.002080;     0.000;     0.000;   0.06901;     0.000;     0.000;     0.000;     0.000;     0.000; 0.0005805;     0.000;     0.000;     0.000; 2.553e-05;     0.000;     0.000;   0.01466;   0.01688;     3.556;;RETRO;FIRES;V2;1964;CH3OH
RETRO_FIRES_V2_1964_CH3OH.nc;1964;grassfire;    0.2912;   0.01438;     0.000; 0.0005745;     0.000;     0.000; 5.297e-07;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;  0.003170;    0.8670;;RETRO;FIRES;V2;1964;CH3OH
RETRO_FIRES_V2_1965_CH3OH.nc;1965;forestfire;   0.05462;    0.4038;   0.01208;   0.04759; 0.0004352; 0.0001678;   0.01619;    0.5224;     0.000;  0.001359;     0.000;     0.000;   0.07746;  0.001336;     0.000;  0.002528;   0.02432; 0.0001623; 5.578e-05;   0.02249;    0.1725;     1.866;;RETRO;FIRES;V2;1965;CH3OH
RETRO_FIRES_V2_1965_CH3OH.nc;1965;woodedfire;    0.2082;    0.4219;     0.000;  0.001388;     0.000;     0.000;   0.05268;     0.000;     0.000;     0.000;     0.000;     0.000;  0.002896;     0.000;     0.000;     0.000; 4.235e-05;     0.000;     0.000;  0.007255;   0.01571;     3.753;;RETRO;FIRES;V2;1965;CH3OH
RETRO_FIRES_V2_1965_CH3OH.nc;1965;grassfire;    0.4508;   0.02110;     0.000; 0.0004358;     0.000;     0.000; 1.405e-06;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;  0.003406;     1.005;;RETRO;FIRES;V2;1965;CH3OH
RETRO_FIRES_V2_1966_CH3OH.nc;1966;forestfire;   0.02615;    0.4303;   0.06963;   0.04316; 0.0005491; 0.0001119;   0.01237;    0.1443;     0.000;  0.001643; 0.0002819;     0.000;   0.04667; 0.0009932;     0.000;  0.003085;   0.05888; 0.0001854; 9.287e-05;   0.03318;    0.1077;     1.546;;RETRO;FIRES;V2;1966;CH3OH
RETRO_FIRES_V2_1966_CH3OH.nc;1966;woodedfire;   0.09770;    0.4119;     0.000;  0.001468;     0.000;     0.000;   0.04574;     0.000;     0.000;     0.000;     0.000;     0.000;  0.001595;     0.000;     0.000;     0.000; 3.775e-05;     0.000;     0.000;   0.01487;   0.01730;     2.998;;RETRO;FIRES;V2;1966;CH3OH
RETRO_FIRES_V2_1966_CH3OH.nc;1966;grassfire;    0.2130;   0.02041;     0.000; 0.0005459;     0.000;     0.000; 2.261e-06;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;  0.003348;    0.6276;;RETRO;FIRES;V2;1966;CH3OH
