filename, year, sector, australia,brazil,canada,china,france,germany,india,indonesia,iran,italy,japan,korea,mexico,poland,saudi_arabia,spain,thailand,turkey,uk,usa,ussr,global,,field1,field2,field3,field4,field5,field6,field7
RETRO_FIRES_V2_1960_ACETONE.nc,1960,forestfire,0.01093,0.07634,0.01058,0.01495,0.0001391,2.26E-05,0.005576,0.02921,0,0.0004522,0,0,0.01374,0.0005117,0,0.0008428,0.01254,5.37E-05,2.35E-05,0.008012,0.1573,0.4886,,RETRO,FIRES,V2,1960,ACETONE,,
RETRO_FIRES_V2_1960_ACETONE.nc,1960,woodedfire,0.05257,0.2098,0,0.0004833,0,0,0.02591,0,0,0,0,0,0.0001979,0,0,0,2.43E-05,0,0,0.005427,0.005157,1.596,,RETRO,FIRES,V2,1960,ACETONE,,
RETRO_FIRES_V2_1960_ACETONE.nc,1960,grassfire,0.1156,0.009695,0,0.0001238,0,0,3.82E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001145,0.3485,,RETRO,FIRES,V2,1960,ACETONE,,
RETRO_FIRES_V2_1961_ACETONE.nc,1961,forestfire,0.01105,0.08267,0.04131,0.01419,0.0002053,4.42E-05,0.004834,0.02415,0,0.0005734,9.85E-05,0,0.01629,0.0004084,0,0.001119,0.007841,6.74E-05,3.10E-05,0.006406,0.05758,0.4093,,RETRO,FIRES,V2,1961,ACETONE,,
RETRO_FIRES_V2_1961_ACETONE.nc,1961,woodedfire,0.05473,0.1545,0,0.0004381,0,0,0.0158,0,0,0,0,0,0.0004347,0,0,0,1.54E-05,0,0,0.003453,0.005258,1.008,,RETRO,FIRES,V2,1961,ACETONE,,
RETRO_FIRES_V2_1961_ACETONE.nc,1961,grassfire,0.1186,0.007161,0,0.0001704,0,0,7.82E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001123,0.2561,,RETRO,FIRES,V2,1961,ACETONE,,
RETRO_FIRES_V2_1962_ACETONE.nc,1962,forestfire,0.006003,0.09008,0.005847,0.01035,9.10E-05,3.13E-05,0.005623,0.02141,0,0.0002339,0,0,0.01745,0.0004844,0,0.000466,0.007281,2.83E-05,2.37E-05,0.008232,0.1307,0.4174,,RETRO,FIRES,V2,1962,ACETONE,,
RETRO_FIRES_V2_1962_ACETONE.nc,1962,woodedfire,0.02856,0.131,0,0.0005576,0,0,0.02221,0,0,0,0,0,0.0003679,0,0,0,5.54E-07,0,0,0.004735,0.005312,1.045,,RETRO,FIRES,V2,1962,ACETONE,,
RETRO_FIRES_V2_1962_ACETONE.nc,1962,grassfire,0.06403,0.00603,0,0.0002535,0,0,2.74E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001042,0.2195,,RETRO,FIRES,V2,1962,ACETONE,,
RETRO_FIRES_V2_1963_ACETONE.nc,1963,forestfire,0.005803,0.09775,0.003152,0.01002,6.84E-05,4.81E-05,0.004733,0.03805,0,0.0001787,0,0,0.01687,0.0003506,0,0.0003465,0.004402,2.20E-05,1.71E-05,0.01316,0.05916,0.3897,,RETRO,FIRES,V2,1963,ACETONE,,
RETRO_FIRES_V2_1963_ACETONE.nc,1963,woodedfire,0.02752,0.1584,0,0.0004212,0,0,0.01837,0,0,0,0,0,0.000348,0,0,0,1.11E-05,0,0,0.008691,0.005128,1.075,,RETRO,FIRES,V2,1963,ACETONE,,
RETRO_FIRES_V2_1963_ACETONE.nc,1963,grassfire,0.06181,0.008347,0,0.0001233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001211,0.2011,,RETRO,FIRES,V2,1963,ACETONE,,
RETRO_FIRES_V2_1964_ACETONE.nc,1964,forestfire,0.009779,0.1034,0.01966,0.01401,0.0001317,4.51E-05,0.006206,0.03922,0,0.0003841,0,0,0.01704,0.000469,0,0.000767,0.005476,4.65E-05,1.63E-05,0.008444,0.06416,0.432,,RETRO,FIRES,V2,1964,ACETONE,,
RETRO_FIRES_V2_1964_ACETONE.nc,1964,woodedfire,0.0477,0.09558,0,0.000635,0,0,0.02441,0,0,0,0,0,0.0002053,0,0,0,9.03E-06,0,0,0.005051,0.005114,1.254,,RETRO,FIRES,V2,1964,ACETONE,,
RETRO_FIRES_V2_1964_ACETONE.nc,1964,grassfire,0.103,0.005063,0,0.0001638,0,0,1.87E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009958,0.3062,,RETRO,FIRES,V2,1964,ACETONE,,
RETRO_FIRES_V2_1965_ACETONE.nc,1965,forestfire,0.01519,0.1136,0.00331,0.01282,0.0001208,4.66E-05,0.00456,0.1448,0,0.0003773,0,0,0.02168,0.0003709,0,0.0007017,0.006906,4.51E-05,1.55E-05,0.005741,0.04123,0.513,,RETRO,FIRES,V2,1965,ACETONE
RETRO_FIRES_V2_1965_ACETONE.nc,1965,woodedfire,0.07359,0.1471,0,0.0004495,0,0,0.01864,0,0,0,0,0,0.001025,0,0,0,1.50E-05,0,0,0.002416,0.005016,1.324,,RETRO,FIRES,V2,1965,ACETONE
RETRO_FIRES_V2_1965_ACETONE.nc,1965,grassfire,0.1595,0.007336,0,0.0001219,0,0,4.97E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001117,0.3552,,RETRO,FIRES,V2,1965,ACETONE
RETRO_FIRES_V2_1966_ACETONE.nc,1966,forestfire,0.007273,0.1209,0.01414,0.01113,0.0001524,3.11E-05,0.003485,0.03668,0,0.000456,7.83E-05,0,0.01306,0.0002757,0,0.0008565,0.01673,5.15E-05,2.58E-05,0.008862,0.02574,0.4193,,RETRO,FIRES,V2,1966,ACETONE
RETRO_FIRES_V2_1966_ACETONE.nc,1966,woodedfire,0.03455,0.1442,0,0.0004249,0,0,0.01618,0,0,0,0,0,0.0005642,0,0,0,1.34E-05,0,0,0.005109,0.005123,1.057,,RETRO,FIRES,V2,1966,ACETONE
RETRO_FIRES_V2_1966_ACETONE.nc,1966,grassfire,0.07533,0.007171,0,0.0001596,0,0,8.00E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001048,0.2216,,RETRO,FIRES,V2,1966,ACETONE
RETRO_FIRES_V2_1967_ACETONE.nc,1967,forestfire,0.008496,0.127,0.0102,0.003468,0.0001374,2.42E-05,0.003506,0.03094,0,0.0003883,1.66E-05,0,0.02212,0.0002639,0,0.0007412,0.005377,4.56E-05,1.62E-05,0.00871,0.03405,0.3924,,RETRO,FIRES,V2,1967,ACETONE
RETRO_FIRES_V2_1967_ACETONE.nc,1967,woodedfire,0.04057,0.1555,0,0.0004069,0,0,0.01804,0,0,0,0,0,0.0004611,0,0,0,1.00E-05,0,0,0.005349,0.005405,1.1,,RETRO,FIRES,V2,1967,ACETONE
RETRO_FIRES_V2_1967_ACETONE.nc,1967,grassfire,0.09204,0.008051,0,9.11E-05,0,0,1.96E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001512,0.2445,,RETRO,FIRES,V2,1967,ACETONE
RETRO_FIRES_V2_1968_ACETONE.nc,1968,forestfire,0.005463,0.1354,0.02301,0.009658,0.000113,3.49E-05,0.004576,0.05578,0,0.0003744,0.0002708,0,0.01987,0.0002442,0,0.00071,0.005033,4.33E-05,1.93E-05,0.009237,0.03201,0.4585,,RETRO,FIRES,V2,1968,ACETONE
RETRO_FIRES_V2_1968_ACETONE.nc,1968,woodedfire,0.02577,0.1884,0,0.0005413,0,0,0.02103,0,0,0,0,0,0.000467,0,0,0,5.32E-06,0,0,0.004832,0.004991,1.221,,RETRO,FIRES,V2,1968,ACETONE
RETRO_FIRES_V2_1968_ACETONE.nc,1968,grassfire,0.05922,0.0086,0,0.0004034,0,0,3.74E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009378,0.2282,,RETRO,FIRES,V2,1968,ACETONE
RETRO_FIRES_V2_1969_ACETONE.nc,1969,forestfire,0.01237,0.1431,0.034,0.01577,9.70E-05,2.16E-05,0.005134,0.07653,0,0.0002658,0,0,0.05349,0.0004331,0,0.0005249,0.01104,3.18E-05,2.97E-05,0.03175,0.05516,0.6271,,RETRO,FIRES,V2,1969,ACETONE
RETRO_FIRES_V2_1969_ACETONE.nc,1969,woodedfire,0.05996,0.2056,0,0.0005864,0,0,0.01843,0,0,0,0,0,0.0002228,0,0,0,2.40E-05,0,0,0.008947,0.005414,1.286,,RETRO,FIRES,V2,1969,ACETONE
RETRO_FIRES_V2_1969_ACETONE.nc,1969,grassfire,0.133,0.009962,0,9.31E-05,0,0,8.29E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001297,0.2977,,RETRO,FIRES,V2,1969,ACETONE
RETRO_FIRES_V2_1970_ACETONE.nc,1970,forestfire,0.009025,0.1524,0.02779,0.01229,0.0001677,3.80E-05,0.004206,0.04318,0,0.000566,0,0,0.0335,0.000254,0,0.001074,0.009399,6.67E-05,1.02E-05,0.005993,0.0497,0.5366,,RETRO,FIRES,V2,1970,ACETONE
RETRO_FIRES_V2_1970_ACETONE.nc,1970,woodedfire,0.04446,0.2624,0,0.0005377,0,0,0.02022,0,0,0,0,0,0.0008051,0,0,0,0,0,0,0.003383,0.005023,1.928,,RETRO,FIRES,V2,1970,ACETONE
RETRO_FIRES_V2_1970_ACETONE.nc,1970,grassfire,0.09857,0.0123,0,0.0001442,0,0,1.22E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001108,0.3754,,RETRO,FIRES,V2,1970,ACETONE
RETRO_FIRES_V2_1971_ACETONE.nc,1971,forestfire,0.006214,0.1586,0.03245,0.001922,6.98E-05,3.40E-05,0.004061,0.02365,0,0.000253,0,0,0.04043,0.0002922,0,0.0004616,0.001573,2.98E-05,1.92E-05,0.01143,0.03278,0.4736,,RETRO,FIRES,V2,1971,ACETONE
RETRO_FIRES_V2_1971_ACETONE.nc,1971,woodedfire,0.02945,0.09793,0,0.0004237,0,0,0.0233,0,0,0,0,0,0.0005482,0,0,0,1.55E-05,0,0,0.004967,0.003347,0.9789,,RETRO,FIRES,V2,1971,ACETONE
RETRO_FIRES_V2_1971_ACETONE.nc,1971,grassfire,0.06777,0.004465,0,9.30E-05,0,0,1.97E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007665,0.2254,,RETRO,FIRES,V2,1971,ACETONE
RETRO_FIRES_V2_1972_ACETONE.nc,1972,forestfire,0.01287,0.1644,0.01233,0.01215,6.89E-05,2.36E-05,0.004296,0.1849,0,0.0002091,0.0005255,0,0.03235,0.0007334,0,0.0003909,0.009609,2.39E-05,2.71E-05,0.01231,0.1185,0.8059,,RETRO,FIRES,V2,1972,ACETONE
RETRO_FIRES_V2_1972_ACETONE.nc,1972,woodedfire,0.06242,0.1693,0,0.0005004,0,0,0.02366,0,0,0,0,0,0.0003625,0,0,0,1.34E-06,0,0,0.003234,0.005973,1.253,,RETRO,FIRES,V2,1972,ACETONE
RETRO_FIRES_V2_1972_ACETONE.nc,1972,grassfire,0.1402,0.008454,0,0.0001072,0,0,5.75E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001332,0.3112,,RETRO,FIRES,V2,1972,ACETONE
