filename; year; sector; africa;central_america;east_asia;eastern_europe;ec25_europe;latin_america;middle_east;north_america;north_central_asia;oceania;oecd_europe;old_ec_europe;south_america;south_asia;south_east_asia;world;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1960_SO2.nc;1960;forestfire;0.0407;0.02106;0.036;0.01086;0.1036;0.1008;9.71E-05;0.03674;0.1754;0.01917;0.09783;0.0978;0.07972;0.0101;0.08419;0.7699;0.7745;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;SO2;;
RETRO_FIRES_V2_1960_SO2.nc;1960;grassfire;0.1555;0;0.0007008;0;0;0.009405;0;0;0.0008274;0.08226;0;0;0.009405;2.72E-07;1.65E-06;0.2491;0.2491;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;SO2;;
RETRO_FIRES_V2_1960_SO2.nc;1960;woodedfire;0.7014;0.0001408;0.002024;0;0.0001216;0.3765;3.86E-06;0.004013;0.006718;0.03758;0.0002398;0.0001177;0.3764;0.0214;3.71E-05;1.149;1.149;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;SO2;;
RETRO_FIRES_V2_1961_SO2.nc;1961;forestfire;0.04474;0.02528;0.02903;0.02729;0.05345;0.1148;0.0001219;0.09369;0.06742;0.01937;0.03977;0.03973;0.08956;0.009166;0.077;0.5746;0.5771;m^2;RETRO;FIRES;V2;1968;SO2;;
RETRO_FIRES_V2_1961_SO2.nc;1961;grassfire;0.09029;0;0.0004517;0;0;0.006662;0;0;0.0005247;0.08439;0;0;0.006662;5.57E-07;4.87E-06;0.1828;0.1828;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1961_SO2.nc;1961;woodedfire;0.3957;0.0003093;0.002444;0;1.52E-05;0.2667;5.15E-06;0.002653;0.006762;0.03908;0.0002316;1.00E-05;0.2663;0.01328;2.90E-05;0.7257;0.7259;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;SO2;;
RETRO_FIRES_V2_1962_SO2.nc;1962;forestfire;0.0488;0.02741;0.02556;0.002994;0.02741;0.1246;5.12E-05;0.02759;0.139;0.01055;0.01503;0.0149;0.09718;0.009649;0.05532;0.5979;0.6002;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;SO2;;
RETRO_FIRES_V2_1962_SO2.nc;1962;grassfire;0.1038;0;0.0005786;0;0;0.005949;0;0;0.00061;0.04556;0;0;0.005949;1.95E-07;3.30E-06;0.1568;0.1568;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;SO2;;
RETRO_FIRES_V2_1962_SO2.nc;1962;woodedfire;0.4637;0.0002618;0.001628;0;2.13E-06;0.2377;2.13E-06;0.003736;0.006077;0.02042;0;0;0.2375;0.01842;8.28E-06;0.751;0.7512;m^2;RETRO;FIRES;V2;1969;SO2;;
RETRO_FIRES_V2_1963_SO2.nc;1963;forestfire;0.05287;0.02512;0.02137;0.002119;0.05575;0.1291;3.98E-05;0.03108;0.08284;0.01019;0.0536;0.05354;0.104;0.008513;0.07929;0.5123;0.5142;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1963_SO2.nc;1963;grassfire;0.09006;0;0.0006999;0;0;0.008256;0;0;0.0009086;0.04398;0;0;0.008256;0;7.21E-06;0.1445;0.1445;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1970;SO2;;
RETRO_FIRES_V2_1963_SO2.nc;1963;woodedfire;0.4023;0.0002477;0.002811;0;9.19E-06;0.3235;1.57E-06;0.006472;0.008065;0.01958;0.0002594;7.62E-06;0.3232;0.01521;2.27E-05;0.7761;0.7763;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1970;SO2;;
RETRO_FIRES_V2_1964_SO2.nc;1964;forestfire;0.05699;0.02412;0.03193;0.002752;0.03491;0.1339;8.40E-05;0.05589;0.1084;0.01709;0.03217;0.03216;0.1098;0.0114;0.09902;0.5796;0.5872;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1970;SO2;;
RETRO_FIRES_V2_1964_SO2.nc;1964;grassfire;0.1387;0;0.001121;0;0;0.004856;0;0;0.001212;0.07329;0;0;0.004856;1.33E-07;3.71E-06;0.219;0.219;m^2;RETRO;FIRES;V2;1970;SO2;;
RETRO_FIRES_V2_1964_SO2.nc;1964;woodedfire;0.6366;0.0001461;0.00217;0;3.49E-06;0.1983;3.49E-06;0.003907;0.006688;0.03395;0;0;0.1982;0.02051;3.01E-05;0.9011;0.9013;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1965_SO2.nc;1965;forestfire;0.061;0.03312;0.02526;0.001625;0.0105;0.1532;8.15E-05;0.01752;0.06663;0.02644;0.009287;0.009281;0.1201;0.008053;0.1697;0.5607;0.5681;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1971;SO2;;
RETRO_FIRES_V2_1965_SO2.nc;1965;grassfire;0.1313;0;0.0007194;0;0;0.007227;0;0;0.000884;0.1135;0;0;0.007227;3.54E-07;6.27E-06;0.2537;0.2537;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1971;SO2;;
RETRO_FIRES_V2_1965_SO2.nc;1965;woodedfire;0.5907;0.000729;0.002281;0;3.25E-06;0.2818;3.25E-06;0.002065;0.006414;0.05252;0;0;0.2811;0.01547;2.44E-05;0.9497;0.9502;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1971;SO2;;
RETRO_FIRES_V2_1966_SO2.nc;1966;forestfire;0.06507;0.01976;0.02367;0.002274;0.00934;0.1457;9.31E-05;0.05327;0.03322;0.01269;0.007662;0.007652;0.1259;0.007702;0.1058;0.4794;0.4809;m^2;RETRO;FIRES;V2;1971;SO2;;
RETRO_FIRES_V2_1966_SO2.nc;1966;grassfire;0.09597;0;0.000983;0;0;0.007076;0;0;0.001113;0.0536;0;0;0.007076;5.69E-07;4.60E-06;0.1587;0.1587;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1966_SO2.nc;1966;woodedfire;0.4261;0.0004014;0.003073;0;3.99E-06;0.2825;3.99E-06;0.003982;0.007932;0.0246;0.0001172;0;0.282;0.01361;2.02E-05;0.7599;0.7601;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1972;SO2;;
RETRO_FIRES_V2_1967_SO2.nc;1967;forestfire;0.06914;0.03166;0.006882;0.001115;0.007615;0.1664;8.25E-05;0.03723;0.04822;0.01478;0.006825;0.006799;0.1347;0.006271;0.0641;0.4438;0.446;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1972;SO2;;
RETRO_FIRES_V2_1967_SO2.nc;1967;grassfire;0.09994;0;0.0001563;0;0;0.007711;0;0;0.0003487;0.06549;0;0;0.007711;1.40E-06;2.61E-06;0.1756;0.1756;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1972;SO2;;
RETRO_FIRES_V2_1967_SO2.nc;1967;woodedfire;0.4351;0.0003281;0.002302;0;3.41E-06;0.3017;3.41E-06;0.004187;0.007403;0.02893;2.59E-05;0;0.3014;0.01496;2.52E-05;0.7932;0.7936;m^2;RETRO;FIRES;V2;1972;SO2;;
RETRO_FIRES_V2_1968_SO2.nc;1968;forestfire;0.07327;0.03095;0.01903;0.007513;0.009186;0.1738;7.83E-05;0.06401;0.04708;0.00963;0.006637;0.006587;0.1429;0.008382;0.09855;0.5284;0.5313;;field1;field2;field3;field4;field5;field6;field7
