filename; year; sector; africa;central_america;east_asia;eastern_europe;ec25_europe;latin_america;middle_east;north_america;north_central_asia;oceania;oecd_europe;old_ec_europe;south_america;south_asia;south_east_asia;world;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1960_CH4.nc;1960;forestfire;0.4856;0.1356;0.1701;0.05212;0.484;1.057;0.0004661;0.175;0.8318;0.0966;0.4566;0.4565;0.921;0.0828;0.7208;4.875;4.909;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;CH4;;
RETRO_FIRES_V2_1960_CH4.nc;1960;grassfire;0.9246;0;0.003399;0;0;0.05547;0;0;0.004214;0.4891;0;0;0.05547;1.62E-06;8.80E-06;1.479;1.479;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;CH4;;
RETRO_FIRES_V2_1960_CH4.nc;1960;woodedfire;4.171;0.0008372;0.0101;0;0.0005959;2.221;2.29E-05;0.0236;0.03512;0.2232;0.00115;0.0005729;2.22;0.1272;0.0002044;6.807;6.809;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;CH4;;
RETRO_FIRES_V2_1961_CH4.nc;1961;forestfire;0.5337;0.1521;0.1402;0.131;0.252;1.186;0.0005851;0.4464;0.3205;0.09752;0.1864;0.1863;1.034;0.06501;0.6238;3.978;3.996;m^2;RETRO;FIRES;V2;1968;CH4;;
RETRO_FIRES_V2_1961_CH4.nc;1961;grassfire;0.5368;0;0.002239;0;0;0.0394;0;0;0.002825;0.5018;0;0;0.0394;3.31E-06;2.40E-05;1.086;1.086;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1961_CH4.nc;1961;woodedfire;2.353;0.001839;0.01195;0;9.01E-05;1.577;3.06E-05;0.01543;0.03513;0.2321;0.001106;5.95E-05;1.575;0.07896;0.0001723;4.3;4.301;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;CH4;;
RETRO_FIRES_V2_1962_CH4.nc;1962;forestfire;0.5822;0.1692;0.1215;0.01437;0.1297;1.287;0.0002457;0.1315;0.6599;0.05321;0.07046;0.06986;1.117;0.07636;0.4715;4.123;4.139;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;CH4;;
RETRO_FIRES_V2_1962_CH4.nc;1962;grassfire;0.6171;0;0.002905;0;0;0.03514;0;0;0.003222;0.2709;0;0;0.03514;1.16E-06;1.66E-05;0.931;0.931;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;CH4;;
RETRO_FIRES_V2_1962_CH4.nc;1962;woodedfire;2.757;0.001556;0.00816;0;1.26E-05;1.405;1.26E-05;0.02158;0.03243;0.1212;0;0;1.404;0.1095;4.92E-05;4.452;4.453;m^2;RETRO;FIRES;V2;1969;CH4;;
RETRO_FIRES_V2_1963_CH4.nc;1963;forestfire;0.6308;0.1607;0.1044;0.01017;0.2603;1.362;0.0001909;0.1485;0.3931;0.05194;0.25;0.2497;1.201;0.06501;0.6491;3.86;3.878;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1963_CH4.nc;1963;grassfire;0.5355;0;0.003395;0;0;0.04852;0;0;0.004596;0.2615;0;0;0.04852;0;3.54E-05;0.8568;0.8568;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1970;CH4;;
RETRO_FIRES_V2_1963_CH4.nc;1963;woodedfire;2.392;0.001473;0.01376;0;5.47E-05;1.911;9.35E-06;0.03798;0.0414;0.1164;0.001234;4.53E-05;1.909;0.09043;0.0001348;4.595;4.596;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1970;CH4;;
RETRO_FIRES_V2_1964_CH4.nc;1964;forestfire;0.6798;0.1588;0.1519;0.01321;0.1637;1.434;0.0004032;0.266;0.5126;0.08665;0.1506;0.1505;1.275;0.08715;0.7348;4.259;4.305;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1970;CH4;;
RETRO_FIRES_V2_1964_CH4.nc;1964;grassfire;0.8246;0;0.005426;0;0;0.02877;0;0;0.006046;0.4358;0;0;0.02877;7.93E-07;1.86E-05;1.3;1.3;m^2;RETRO;FIRES;V2;1970;CH4;;
RETRO_FIRES_V2_1964_CH4.nc;1964;woodedfire;3.785;0.0008687;0.01094;0;2.08E-05;1.17;2.08E-05;0.02269;0.03506;0.2019;0;0;1.169;0.122;0.0001791;5.342;5.343;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1965_CH4.nc;1965;forestfire;0.7278;0.2126;0.1218;0.0078;0.04963;1.598;0.0003911;0.08356;0.3155;0.133;0.04381;0.04378;1.385;0.06331;1.756;4.954;5.022;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1971;CH4;;
RETRO_FIRES_V2_1965_CH4.nc;1965;grassfire;0.7806;0;0.003482;0;0;0.04246;0;0;0.004495;0.6747;0;0;0.04246;2.10E-06;2.99E-05;1.507;1.507;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1971;CH4;;
RETRO_FIRES_V2_1965_CH4.nc;1965;woodedfire;3.512;0.004334;0.01133;0;1.93E-05;1.667;1.93E-05;0.01168;0.03396;0.312;0;0;1.662;0.09196;0.000145;5.633;5.636;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1971;CH4;;
RETRO_FIRES_V2_1966_CH4.nc;1966;forestfire;0.7763;0.1243;0.1126;0.01092;0.04426;1.574;0.0004467;0.2505;0.1576;0.06416;0.03626;0.03622;1.449;0.05876;0.9926;4.138;4.153;m^2;RETRO;FIRES;V2;1971;CH4;;
RETRO_FIRES_V2_1966_CH4.nc;1966;grassfire;0.5706;0;0.004762;0;0;0.04189;0;0;0.005584;0.3187;0;0;0.04189;3.38E-06;2.18E-05;0.9418;0.9418;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1966_CH4.nc;1966;woodedfire;2.534;0.002387;0.015;0;2.37E-05;1.674;2.37E-05;0.02307;0.04073;0.1463;0.0005534;0;1.671;0.08094;0.0001198;4.505;4.505;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1972;CH4;;
RETRO_FIRES_V2_1967_CH4.nc;1967;forestfire;0.8248;0.21;0.03276;0.005354;0.03619;1.773;0.000396;0.1773;0.2285;0.07553;0.0324;0.03227;1.563;0.05447;0.5216;3.835;3.851;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1972;CH4;;
RETRO_FIRES_V2_1967_CH4.nc;1967;grassfire;0.5942;0;0.0007958;0;0;0.04529;0;0;0.001976;0.3894;0;0;0.04529;8.29E-06;1.43E-05;1.041;1.041;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1972;CH4;;
RETRO_FIRES_V2_1967_CH4.nc;1967;woodedfire;2.587;0.001951;0.01123;0;2.03E-05;1.782;2.03E-05;0.02423;0.03847;0.1719;0.0001324;0;1.78;0.08895;0.0001498;4.698;4.7;m^2;RETRO;FIRES;V2;1972;CH4;;
