filename; year; sector; australia;brazil;canada;china;france;germany;india;indonesia;iran;italy;japan;korea;mexico;poland;saudi_arabia;spain;thailand;turkey;uk;usa;ussr;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1960_N2O.nc;1960;forestfire;0.005016;0.02171;0.004033;0.005375;6.54E-05;1.06E-05;0.001952;0.006762;0;0.0002126;0;0;0.005593;0.0002406;0;0.0003962;0.003613;2.53E-05;1.11E-05;0.00364;0.0573;0.1575;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;N2O;;
RETRO_FIRES_V2_1960_N2O.nc;1960;grassfire;0.04669;0.003877;0;3.84E-05;0;0;1.54E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0003995;0.1406;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;N2O;;
RETRO_FIRES_V2_1960_N2O.nc;1960;woodedfire;0.02121;0.08321;0;0.0001764;0;0;0.01046;0;0;0;0;0;7.99E-05;0;0;0;9.79E-06;0;0;0.002169;0.0018;0.6423;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;N2O;;
RETRO_FIRES_V2_1961_N2O.nc;1961;forestfire;0.00507;0.0235;0.01727;0.005898;9.65E-05;2.08E-05;0.001877;0.005499;0;0.0002696;4.63E-05;0;0.006804;0.000192;0;0.0005262;0.002284;3.17E-05;1.46E-05;0.002643;0.02185;0.1376;m^2;RETRO;FIRES;V2;1968;N2O;;
RETRO_FIRES_V2_1961_N2O.nc;1961;grassfire;0.0479;0.002873;0;5.49E-05;0;0;3.16E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000422;0.1033;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1961_N2O.nc;1961;woodedfire;0.02208;0.0617;0;0.0001438;0;0;0.006382;0;0;0;0;0;0.0001755;0;0;0;6.22E-06;0;0;0.001365;0.001838;0.4058;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;N2O;;
RETRO_FIRES_V2_1962_N2O.nc;1962;forestfire;0.002755;0.02556;0.002427;0.003222;4.28E-05;1.47E-05;0.002025;0.005007;0;0.00011;0;0;0.007257;0.0002277;0;0.0002191;0.002131;1.33E-05;1.12E-05;0.003467;0.04727;0.1351;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;N2O;;
RETRO_FIRES_V2_1962_N2O.nc;1962;grassfire;0.02586;0.002415;0;8.51E-05;0;0;1.11E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0004008;0.08855;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;N2O;;
RETRO_FIRES_V2_1962_N2O.nc;1962;woodedfire;0.01152;0.05219;0;0.0001959;0;0;0.00897;0;0;0;0;0;0.0001486;0;0;0;2.24E-07;0;0;0.001858;0.001909;0.4208;m^2;RETRO;FIRES;V2;1969;N2O;;
RETRO_FIRES_V2_1963_N2O.nc;1963;forestfire;0.002655;0.0278;0.001314;0.003904;3.22E-05;2.26E-05;0.001728;0.009208;0;8.40E-05;0;0;0.006824;0.0001648;0;0.0001629;0.001312;1.03E-05;8.02E-06;0.005814;0.02197;0.1213;;field1;field2;field3;field4;field5;field6;field7
