filename; year; sector; africa;central_america;east_asia;eastern_europe;ec25_europe;latin_america;middle_east;north_america;north_central_asia;oceania;oecd_europe;old_ec_europe;south_america;south_asia;south_east_asia;world;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1960_PM2_5.nc;1960;forestfire;0.6498;0.2879;0.3909;0.141;0.9702;1.527;0.001261;0.4371;1.982;0.251;0.8982;0.8978;1.239;0.1456;1.099;9.244;9.303;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1960;PM2;5;
RETRO_FIRES_V2_1960_PM2_5.nc;1960;grassfire;2.059;0;0.006174;0;0;0.1227;0;0;0.008103;1.089;0;0;0.1227;3.60E-06;1.77E-05;3.291;3.291;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1960;PM2;5;
RETRO_FIRES_V2_1960_PM2_5.nc;1960;woodedfire;9.289;0.001865;0.01899;0;0.001096;4.914;5.11E-05;0.05208;0.06946;0.4965;0.002058;0.001045;4.913;0.2834;0.0004254;15.12;15.12;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1960;PM2;5;
RETRO_FIRES_V2_1961_PM2_5.nc;1961;forestfire;0.7142;0.3413;0.3459;0.3545;0.5646;1.733;0.001583;1.122;0.7866;0.2535;0.3888;0.3884;1.392;0.1278;0.9788;7.378;7.411;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1961;PM2;5;
RETRO_FIRES_V2_1961_PM2_5.nc;1961;grassfire;1.196;0;0.004176;0;0;0.08735;0;0;0.005755;1.118;0;0;0.08735;7.37E-06;4.45E-05;2.417;2.417;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1961;PM2;5;
RETRO_FIRES_V2_1961_PM2_5.nc;1961;woodedfire;5.24;0.004096;0.02192;0;0.0002006;3.498;6.82E-05;0.03376;0.06901;0.5166;0.001971;0.0001324;3.494;0.1759;0.0003837;9.55;9.552;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1961;PM2;5;
RETRO_FIRES_V2_1962_PM2_5.nc;1962;forestfire;0.7792;0.3718;0.2648;0.03889;0.3011;1.877;0.0006648;0.331;1.591;0.1381;0.1472;0.1458;1.505;0.1379;0.718;7.508;7.537;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1962;PM2;5;
RETRO_FIRES_V2_1962_PM2_5.nc;1962;grassfire;1.374;0;0.005499;0;0;0.07786;0;0;0.006438;0.6034;0;0;0.07786;2.58E-06;3.17E-05;2.072;2.072;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1962;PM2;5;
RETRO_FIRES_V2_1962_PM2_5.nc;1962;woodedfire;6.14;0.003467;0.01542;0;2.82E-05;3.115;2.82E-05;0.0469;0.06551;0.2697;0;0;3.111;0.2439;0.0001096;9.891;9.894;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1962;PM2;5;
RETRO_FIRES_V2_1963_PM2_5.nc;1963;forestfire;0.8441;0.343;0.245;0.02753;0.514;1.96;0.0005167;0.3834;0.9459;0.1337;0.4882;0.4874;1.617;0.1207;1;6.595;6.622;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1963;PM2;5;
RETRO_FIRES_V2_1963_PM2_5.nc;1963;grassfire;1.193;0;0.006167;0;0;0.107;0;0;0.008771;0.5824;0;0;0.107;0;6.50E-05;1.904;1.904;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1963;PM2;5;
RETRO_FIRES_V2_1963_PM2_5.nc;1963;woodedfire;5.328;0.00328;0.02527;0;0.0001218;4.234;2.08E-05;0.08369;0.08031;0.2593;0.002189;0.0001009;4.23;0.2014;0.0003003;10.2;10.2;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1963;PM2;5;
RETRO_FIRES_V2_1964_PM2_5.nc;1964;forestfire;0.9098;0.3312;0.3666;0.03574;0.3407;2.046;0.001091;0.6609;1.183;0.224;0.3068;0.3066;1.715;0.1617;1.169;7.391;7.474;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1964;PM2;5;
RETRO_FIRES_V2_1964_PM2_5.nc;1964;grassfire;1.837;0;0.009832;0;0;0.0639;0;0;0.01135;0.9706;0;0;0.0639;1.77E-06;3.53E-05;2.892;2.892;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1964;PM2;5;
RETRO_FIRES_V2_1964_PM2_5.nc;1964;woodedfire;8.431;0.001935;0.02078;0;4.62E-05;2.588;4.62E-05;0.04954;0.06951;0.4495;0;0;2.586;0.2717;0.000399;11.87;11.87;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1964;PM2;5;
RETRO_FIRES_V2_1965_PM2_5.nc;1965;forestfire;0.9739;0.4526;0.3153;0.02111;0.1143;2.318;0.001058;0.2128;0.743;0.346;0.09861;0.09853;1.865;0.1149;2.491;7.863;7.964;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1965;PM2;5
RETRO_FIRES_V2_1965_PM2_5.nc;1965;grassfire;1.739;0;0.006309;0;0;0.09363;0;0;0.00863;1.503;0;0;0.09363;4.68E-06;5.30E-05;3.353;3.353;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1965;PM2;5
RETRO_FIRES_V2_1965_PM2_5.nc;1965;woodedfire;7.823;0.009654;0.02118;0;4.30E-05;3.697;4.30E-05;0.02492;0.06806;0.6944;0;0;3.687;0.2048;0.0003229;12.52;12.53;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1965;PM2;5
RETRO_FIRES_V2_1966_PM2_5.nc;1966;forestfire;1.039;0.269;0.2786;0.02954;0.1049;2.221;0.001209;0.5422;0.3766;0.1662;0.08485;0.08472;1.952;0.1091;1.455;6.535;6.557;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1966;PM2;5
RETRO_FIRES_V2_1966_PM2_5.nc;1966;grassfire;1.271;0;0.008639;0;0;0.09295;0;0;0.01055;0.7099;0;0;0.09295;7.54E-06;3.85E-05;2.094;2.094;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1966;PM2;5
RETRO_FIRES_V2_1966_PM2_5.nc;1966;woodedfire;5.643;0.005316;0.02747;0;5.28E-05;3.717;5.28E-05;0.0503;0.07903;0.3257;0.0009721;0;3.711;0.1803;0.0002669;10.01;10.01;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1966;PM2;5
RETRO_FIRES_V2_1967_PM2_5.nc;1967;forestfire;1.104;0.4355;0.08155;0.01449;0.08858;2.538;0.001072;0.4445;0.5419;0.1939;0.07838;0.07804;2.102;0.09162;0.7918;6.141;6.17;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1967;PM2;5
RETRO_FIRES_V2_1967_PM2_5.nc;1967;grassfire;1.324;0;0.00153;0;0;0.09985;0;0;0.004223;0.8673;0;0;0.09985;1.85E-05;2.95E-05;2.314;2.314;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1967;PM2;5
RETRO_FIRES_V2_1967_PM2_5.nc;1967;woodedfire;5.762;0.004345;0.02055;0;4.52E-05;3.947;4.52E-05;0.05277;0.07561;0.3827;0.0002553;0;3.943;0.1981;0.0003336;10.43;10.43;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1967;PM2;5
RETRO_FIRES_V2_1968_PM2_5.nc;1968;forestfire;1.17;0.4224;0.2323;0.09759;0.107;2.642;0.001018;0.7583;0.5462;0.1264;0.07379;0.07322;2.22;0.1212;1.264;7.246;7.283;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;PM2;5
RETRO_FIRES_V2_1968_PM2_5.nc;1968;grassfire;1.47;0;0.008519;0;0;0.1089;0;0;0.007904;0.5581;0;0;0.1089;3.52E-06;3.33E-05;2.158;2.158;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;PM2;5
RETRO_FIRES_V2_1968_PM2_5.nc;1968;woodedfire;6.602;0.004401;0.027;0;0.000872;4.339;4.30E-05;0.04857;0.07642;0.2431;0.0008291;0.0008291;4.334;0.2356;0.0002482;11.55;11.56;kg(species)/m^2/s*gboxarea*1.e-9*366*86400;RETRO;FIRES;V2;1968;PM2;5
RETRO_FIRES_V2_1969_PM2_5.nc;1969;forestfire;1.234;1.068;0.3833;0.02971;0.1759;3.48;0.0007465;1.55;0.9041;0.2851;0.1442;0.1439;2.413;0.1405;2.032;10.58;10.63;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;PM2;5
RETRO_FIRES_V2_1969_PM2_5.nc;1969;grassfire;1.417;0;0.002302;0;0;0.1218;0;0;0.004783;1.254;0;0;0.1218;7.81E-06;2.43E-05;2.811;2.811;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;PM2;5
RETRO_FIRES_V2_1969_PM2_5.nc;1969;woodedfire;6.391;0.002099;0.0188;0;3.13E-05;4.851;3.13E-05;0.1132;0.06829;0.5651;0.0006332;0;4.848;0.204;0.0003247;12.21;12.21;kg(species)/m^2/s*gboxarea*1.e-9*365*86400;RETRO;FIRES;V2;1969;PM2;5
