filename; year; sector; australia;brazil;canada;china;france;germany;india;indonesia;iran;italy;japan;korea;mexico;poland;saudi_arabia;spain;thailand;turkey;uk;usa;ussr;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1960_CH2O.nc;1960;forestfire;   0.03593;    0.1288;   0.03020;   0.04072; 0.0004719; 7.671e-05;   0.01269;   0.04402;     0.000;  0.001534;     0.000;     0.000;   0.03855;  0.001736;     0.000;  0.002859;   0.02132; 0.0001822; 7.973e-05;   0.02641;    0.4330;     1.096;;RETRO;FIRES;V2;1960;CH2O
RETRO_FIRES_V2_1960_CH2O.nc;1960;woodedfire;   0.07175;    0.2846;     0.000; 0.0006360;     0.000;     0.000;   0.03538;     0.000;     0.000;     0.000;     0.000;     0.000; 0.0002702;     0.000;     0.000;     0.000; 3.311e-05;     0.000;     0.000;  0.007381;  0.006682;     2.176;;RETRO;FIRES;V2;1960;CH2O
RETRO_FIRES_V2_1960_CH2O.nc;1960;grassfire;    0.1579;   0.01319;     0.000; 0.0001544;     0.000;     0.000; 5.218e-07;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;  0.001483;    0.4757;;RETRO;FIRES;V2;1960;CH2O
RETRO_FIRES_V2_1961_CH2O.nc;1961;forestfire;   0.03632;    0.1394;    0.1271;   0.04326; 0.0006965; 0.0001499;   0.01272;   0.03608;     0.000;  0.001945; 0.0003343;     0.000;   0.04732;  0.001386;     0.000;  0.003797;   0.01376; 0.0002287; 0.0001050;   0.01950;    0.1638;    0.9307;;RETRO;FIRES;V2;1961;CH2O
RETRO_FIRES_V2_1961_CH2O.nc;1961;woodedfire;   0.07469;    0.2101;     0.000; 0.0005561;     0.000;     0.000;   0.02158;     0.000;     0.000;     0.000;     0.000;     0.000; 0.0005935;     0.000;     0.000;     0.000; 2.102e-05;     0.000;     0.000;  0.004678;  0.006817;     1.375;;RETRO;FIRES;V2;1961;CH2O
RETRO_FIRES_V2_1961_CH2O.nc;1961;grassfire;    0.1619;  0.009754;     0.000; 0.0002149;     0.000;     0.000; 1.068e-06;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;  0.001494;    0.3495;;RETRO;FIRES;V2;1961;CH2O
RETRO_FIRES_V2_1962_CH2O.nc;1962;forestfire;   0.01974;    0.1518;   0.01789;   0.02506; 0.0003085; 0.0001061;   0.01332;   0.03243;     0.000; 0.0007934;     0.000;     0.000;   0.05039;  0.001643;     0.000;  0.001581;   0.01268; 9.601e-05; 8.051e-05;   0.02549;    0.3577;    0.9167;;RETRO;FIRES;V2;1962;CH2O
RETRO_FIRES_V2_1962_CH2O.nc;1962;woodedfire;   0.03897;    0.1780;     0.000; 0.0007242;     0.000;     0.000;   0.03033;     0.000;     0.000;     0.000;     0.000;     0.000; 0.0005023;     0.000;     0.000;     0.000; 7.557e-07;     0.000;     0.000;  0.006396;  0.006953;     1.425;;RETRO;FIRES;V2;1962;CH2O
RETRO_FIRES_V2_1962_CH2O.nc;1962;grassfire;   0.08743;  0.008208;     0.000; 0.0003242;     0.000;     0.000; 3.739e-07;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;     0.000;  0.001397;    0.2996;;RETRO;FIRES;V2;1962;CH2O
RETRO_FIRES_V2_1963_CH2O.nc;1963;forestfire;   0.01901;    0.1649;  0.009675;   0.02881; 0.0002320; 0.0001631;   0.01143;   0.05870;     0.000; 0.0006061;     0.000;     0.000;   0.04693;  0.001189;     0.000;  0.001175;  0.007885; 7.462e-05; 5.783e-05;   0.04239;    0.1654;    0.8028;;RETRO;FIRES;V2;1963;CH2O
