filename; year; sector; africa;central_america;east_asia;eastern_europe;ec25_europe;latin_america;middle_east;north_america;north_central_asia;oceania;oecd_europe;old_ec_europe;south_america;south_asia;south_east_asia;world;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1960_CH3OH.nc;1960;forestfire;    0.1744;   0.05303;   0.07003;   0.02163;    0.1981;    0.3847; 0.0001934;   0.07231;    0.3430;   0.03966;    0.1867;    0.1866;    0.3316;   0.03115;    0.2681;     1.899;     1.912;;RETRO;FIRES;V2;1960;CH3OH
RETRO_FIRES_V2_1960_CH3OH.nc;1960;woodedfire;     2.787; 0.0005594;  0.004989;     0.000; 0.0002821;     1.468; 1.533e-05;   0.01553;   0.01907;    0.1488; 0.0005158; 0.0002668;     1.467;   0.08503; 0.0001216;     4.527;     4.528;;RETRO;FIRES;V2;1960;CH3OH
RETRO_FIRES_V2_1960_CH3OH.nc;1960;grassfire;    0.6178;     0.000;  0.001570;     0.000;     0.000;   0.03666;     0.000;     0.000;  0.002171;    0.3268;     0.000;     0.000;   0.03666; 1.080e-06; 4.932e-06;    0.9866;    0.9866;;RETRO;FIRES;V2;1960;CH3OH
RETRO_FIRES_V2_1961_CH3OH.nc;1961;forestfire;    0.1917;   0.06025;   0.05774;   0.05436;    0.1036;    0.4327; 0.0002428;    0.1845;    0.1323;   0.04005;   0.07642;   0.07635;    0.3725;   0.02502;    0.2337;     1.530;     1.537;;RETRO;FIRES;V2;1961;CH3OH
RETRO_FIRES_V2_1961_CH3OH.nc;1961;woodedfire;     1.572;  0.001229;  0.005626;     0.000; 6.018e-05;     1.046; 2.045e-05;   0.01000;   0.01883;    0.1549; 0.0004916; 3.973e-05;     1.045;   0.05276; 0.0001151;     2.859;     2.860;;RETRO;FIRES;V2;1961;CH3OH
RETRO_FIRES_V2_1961_CH3OH.nc;1961;grassfire;    0.3587;     0.000;  0.001089;     0.000;     0.000;   0.02612;     0.000;     0.000;  0.001618;    0.3353;     0.000;     0.000;   0.02612; 2.211e-06; 1.154e-05;    0.7247;    0.7247;;RETRO;FIRES;V2;1961;CH3OH
RETRO_FIRES_V2_1962_CH3OH.nc;1962;forestfire;    0.2091;   0.06670;   0.04979;  0.005963;   0.05340;    0.4692; 0.0001019;   0.05435;    0.2722;   0.02184;   0.02888;   0.02863;    0.4025;   0.02888;    0.1755;     1.585;     1.591;;RETRO;FIRES;V2;1962;CH3OH
RETRO_FIRES_V2_1962_CH3OH.nc;1962;woodedfire;     1.842;  0.001040;  0.004067;     0.000; 8.447e-06;    0.9314; 8.447e-06;   0.01384;   0.01829;   0.08085;     0.000;     0.000;    0.9304;   0.07316; 3.289e-05;     2.962;     2.963;;RETRO;FIRES;V2;1962;CH3OH
RETRO_FIRES_V2_1962_CH3OH.nc;1962;grassfire;    0.4123;     0.000;  0.001453;     0.000;     0.000;   0.02327;     0.000;     0.000;  0.001782;    0.1810;     0.000;     0.000;   0.02327; 7.742e-07; 8.416e-06;    0.6212;    0.6212;;RETRO;FIRES;V2;1962;CH3OH
RETRO_FIRES_V2_1963_CH3OH.nc;1963;forestfire;    0.2265;   0.06294;   0.04279;  0.004222;    0.1064;    0.4955; 7.923e-05;   0.06146;    0.1622;   0.02127;    0.1022;    0.1021;    0.4325;   0.02472;    0.2427;     1.464;     1.470;;RETRO;FIRES;V2;1963;CH3OH
