filename; year; sector; africa;central_america;east_asia;eastern_europe;ec25_europe;latin_america;middle_east;north_america;north_central_asia;oceania;oecd_europe;old_ec_europe;south_america;south_asia;south_east_asia;world;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1960_CO.nc;1960;forestfire;     7.355;     2.600;     2.932;     1.155;     6.632;     16.45;   0.01033;     3.440;     15.19;     2.088;     6.051;     6.048;     13.85;     1.433;     10.80;     79.85;     80.39;;RETRO;FIRES;V2;1960;CO
RETRO_FIRES_V2_1960_CO.nc;1960;woodedfire;     119.4;   0.02397;    0.1645;     0.000;  0.008842;     62.45; 0.0006568;    0.6587;    0.6938;     6.371;   0.01504;  0.008185;     62.42;     3.644;  0.004792;     193.4;     193.4;;RETRO;FIRES;V2;1960;CO
RETRO_FIRES_V2_1960_CO.nc;1960;grassfire;     26.48;     0.000;   0.04765;     0.000;     0.000;     1.559;     0.000;     0.000;   0.07502;     14.01;     0.000;     0.000;     1.559; 4.630e-05; 0.0001849;     42.23;     42.23;;RETRO;FIRES;V2;1960;CO
RETRO_FIRES_V2_1961_CO.nc;1961;forestfire;     8.084;     3.010;     2.735;     2.904;     4.170;     18.57;   0.01297;     8.857;     6.130;     2.108;     2.737;     2.733;     15.56;     1.194;     9.375;     67.00;     67.31;;RETRO;FIRES;V2;1961;CO
RETRO_FIRES_V2_1961_CO.nc;1961;woodedfire;     67.37;   0.05266;    0.1751;     0.000;  0.002579;     44.63; 0.0008765;    0.4200;    0.6774;     6.631;   0.01414;  0.001703;     44.58;     2.261;  0.004934;     122.2;     122.2;;RETRO;FIRES;V2;1961;CO
RETRO_FIRES_V2_1961_CO.nc;1961;grassfire;     15.37;     0.000;   0.03525;     0.000;     0.000;     1.114;     0.000;     0.000;   0.06181;     14.37;     0.000;     0.000;     1.114; 9.477e-05; 0.0003684;     31.03;     31.03;;RETRO;FIRES;V2;1961;CO
RETRO_FIRES_V2_1962_CO.nc;1962;forestfire;     8.819;     3.309;     1.939;    0.3185;     2.273;     20.10;  0.005445;     2.616;     12.28;     1.149;     1.037;     1.027;     16.79;     1.340;     7.037;     67.69;     67.95;;RETRO;FIRES;V2;1962;CO
RETRO_FIRES_V2_1962_CO.nc;1962;woodedfire;     78.95;   0.04457;    0.1355;     0.000; 0.0003620;     39.71; 0.0003620;    0.5767;    0.6894;     3.461;     0.000;     0.000;     39.66;     3.136;  0.001409;     126.6;     126.7;;RETRO;FIRES;V2;1962;CO
RETRO_FIRES_V2_1962_CO.nc;1962;grassfire;     17.67;     0.000;   0.04860;     0.000;     0.000;    0.9915;     0.000;     0.000;   0.06601;     7.758;     0.000;     0.000;    0.9915; 3.318e-05; 0.0002851;     26.60;     26.60;;RETRO;FIRES;V2;1962;CO
RETRO_FIRES_V2_1963_CO.nc;1963;forestfire;     9.554;     3.091;     1.910;    0.2255;     3.474;     21.16;  0.004232;     3.069;     7.291;     1.116;     3.269;     3.263;     18.07;     1.157;     9.606;     61.70;     61.98;;RETRO;FIRES;V2;1963;CO
RETRO_FIRES_V2_1963_CO.nc;1963;woodedfire;     68.51;   0.04217;    0.2029;     0.000;  0.001565;     53.92; 0.0002677;     1.055;    0.7619;     3.334;   0.01543;  0.001298;     53.88;     2.589;  0.003861;     130.3;     130.3;;RETRO;FIRES;V2;1963;CO
RETRO_FIRES_V2_1963_CO.nc;1963;grassfire;     15.33;     0.000;   0.04759;     0.000;     0.000;     1.352;     0.000;     0.000;   0.07946;     7.488;     0.000;     0.000;     1.352;     0.000; 0.0005243;     24.38;     24.38;;RETRO;FIRES;V2;1963;CO
RETRO_FIRES_V2_1964_CO.nc;1964;forestfire;     10.30;     3.015;     2.836;    0.2928;     2.395;     22.22;  0.008938;     5.185;     8.898;     1.867;     2.124;     2.122;     19.21;     1.551;     10.64;     68.39;     69.08;;RETRO;FIRES;V2;1964;CO
RETRO_FIRES_V2_1964_CO.nc;1964;woodedfire;     108.4;   0.02488;    0.1860;     0.000; 0.0005941;     32.89; 0.0005941;    0.6145;    0.6990;     5.779;     0.000;     0.000;     32.86;     3.493;  0.005130;     152.0;     152.0;;RETRO;FIRES;V2;1964;CO
RETRO_FIRES_V2_1964_CO.nc;1964;grassfire;     23.61;     0.000;   0.07516;     0.000;     0.000;    0.8175;     0.000;     0.000;   0.09802;     12.48;     0.000;     0.000;    0.8175; 2.270e-05; 0.0003125;     37.11;     37.11;;RETRO;FIRES;V2;1964;CO
RETRO_FIRES_V2_1965_CO.nc;1965;forestfire;     11.02;     4.083;     2.543;    0.1729;    0.8594;     24.92;  0.008670;     1.691;     5.656;     2.877;    0.7305;    0.7298;     20.83;     1.114;     26.65;     79.04;     80.07;;RETRO;FIRES;V2;1965;CO
RETRO_FIRES_V2_1965_CO.nc;1965;woodedfire;     100.6;    0.1241;    0.1799;     0.000; 0.0005532;     47.17; 0.0005532;    0.2956;    0.7025;     8.917;     0.000;     0.000;     47.04;     2.633;  0.004152;     160.4;     160.5;;RETRO;FIRES;V2;1965;CO
RETRO_FIRES_V2_1965_CO.nc;1965;grassfire;     22.35;     0.000;   0.04824;     0.000;     0.000;     1.183;     0.000;     0.000;   0.07952;     19.32;     0.000;     0.000;     1.183; 6.023e-05; 0.0003751;     43.05;     43.05;;RETRO;FIRES;V2;1965;CO
RETRO_FIRES_V2_1966_CO.nc;1966;forestfire;     11.76;     2.409;     2.180;    0.2420;    0.8011;     24.19;  0.009902;     3.916;     2.892;     1.384;    0.6435;    0.6425;     21.78;     1.047;     14.91;     64.87;     65.10;;RETRO;FIRES;V2;1966;CO
RETRO_FIRES_V2_1966_CO.nc;1966;woodedfire;     72.55;   0.06835;    0.2182;     0.000; 0.0006785;     47.54; 0.0006785;    0.6218;    0.7503;     4.186;  0.006576;     0.000;     47.48;     2.318;  0.003432;     128.1;     128.1;;RETRO;FIRES;V2;1966;CO
RETRO_FIRES_V2_1966_CO.nc;1966;grassfire;     16.34;     0.000;   0.06633;     0.000;     0.000;     1.187;     0.000;     0.000;   0.09288;     9.127;     0.000;     0.000;     1.187; 9.691e-05; 0.0002652;     26.85;     26.85;;RETRO;FIRES;V2;1966;CO
RETRO_FIRES_V2_1967_CO.nc;1967;forestfire;     12.49;     3.974;    0.6405;    0.1187;    0.6893;     27.52;  0.008778;     3.504;     4.142;     1.621;    0.6060;    0.6032;     23.54;    0.9211;     7.553;     61.12;     61.40;;RETRO;FIRES;V2;1967;CO
RETRO_FIRES_V2_1967_CO.nc;1967;woodedfire;     74.09;   0.05587;    0.1627;     0.000; 0.0005811;     50.26; 0.0005811;    0.6512;    0.7430;     4.916;  0.002383;     0.000;     50.20;     2.547;  0.004289;     133.3;     133.4;;RETRO;FIRES;V2;1967;CO
RETRO_FIRES_V2_1967_CO.nc;1967;grassfire;     17.02;     0.000;   0.01415;     0.000;     0.000;     1.261;     0.000;     0.000;   0.05026;     11.15;     0.000;     0.000;     1.261; 0.0002375; 0.0003283;     29.64;     29.64;;RETRO;FIRES;V2;1967;CO
RETRO_FIRES_V2_1968_CO.nc;1968;forestfire;     13.24;     3.801;     1.856;    0.7994;    0.8328;     28.60;  0.008336;     5.955;     4.245;     1.058;    0.5609;    0.5564;     24.80;     1.199;     12.47;     71.56;     71.91;;RETRO;FIRES;V2;1968;CO
RETRO_FIRES_V2_1968_CO.nc;1968;woodedfire;     84.88;   0.05658;    0.2155;     0.000;  0.006161;     55.50; 0.0005522;    0.5894;    0.7402;     3.123;  0.005609;  0.005609;     55.44;     3.029;  0.003191;     148.0;     148.0;;RETRO;FIRES;V2;1968;CO
RETRO_FIRES_V2_1968_CO.nc;1968;grassfire;     18.90;     0.000;   0.07882;     0.000;     0.000;     1.388;     0.000;     0.000;   0.07325;     7.175;     0.000;     0.000;     1.388; 4.531e-05; 0.0002740;     27.66;     27.66;;RETRO;FIRES;V2;1968;CO
RETRO_FIRES_V2_1969_CO.nc;1969;forestfire;     13.96;     9.655;     3.023;    0.2434;     1.254;     36.62;  0.006115;     11.01;     7.009;     2.381;     1.006;     1.003;     26.96;     1.322;     19.29;     98.78;     99.30;;RETRO;FIRES;V2;1969;CO
RETRO_FIRES_V2_1969_CO.nc;1969;woodedfire;     82.17;   0.02699;    0.1570;     0.000; 0.0004026;     61.88; 0.0004026;     1.123;    0.6890;     7.265;  0.004283;     0.000;     61.85;     2.623;  0.004175;     155.9;     156.0;;RETRO;FIRES;V2;1969;CO
RETRO_FIRES_V2_1969_CO.nc;1969;grassfire;     18.22;     0.000;   0.02007;     0.000;     0.000;     1.549;     0.000;     0.000;   0.05195;     16.12;     0.000;     0.000;     1.549; 0.0001005; 0.0002287;     36.07;     36.07;;RETRO;FIRES;V2;1969;CO
RETRO_FIRES_V2_1970_CO.nc;1970;forestfire;     14.70;     6.043;     2.291;    0.2102;     1.853;     33.88;   0.01282;     6.140;     5.919;     1.728;     1.536;     1.536;     27.83;     1.269;     13.73;     84.27;     84.65;;RETRO;FIRES;V2;1970;CO
RETRO_FIRES_V2_1970_CO.nc;1970;woodedfire;     145.8;   0.09755;    0.2198;     0.000; 0.0008278;     78.41; 0.0008278;    0.4112;    0.7147;     5.386;  0.003622;     0.000;     78.32;     2.840;  0.003927;     233.7;     233.8;;RETRO;FIRES;V2;1970;CO
RETRO_FIRES_V2_1970_CO.nc;1970;grassfire;     31.41;     0.000;   0.04409;     0.000;     0.000;     1.957;     0.000;     0.000;   0.06877;     11.94;     0.000;     0.000;     1.957; 0.0001483; 0.0001441;     45.49;     45.49;;RETRO;FIRES;V2;1970;CO
RETRO_FIRES_V2_1971_CO.nc;1971;forestfire;     15.43;     7.631;    0.3579;    0.5284;    0.4924;     37.11;  0.005731;     7.856;     5.072;     1.177;    0.3571;    0.3571;     29.48;     1.049;     4.344;     74.25;     74.43;;RETRO;FIRES;V2;1971;CO
RETRO_FIRES_V2_1971_CO.nc;1971;woodedfire;     80.78;   0.06642;    0.1361;     0.000;  0.006544;     29.81; 0.0003629;    0.6125;    0.4737;     3.569;  0.006181;  0.006181;     29.74;     3.298;  0.004598;     118.6;     118.7;;RETRO;FIRES;V2;1971;CO
