filename; year; sector; africa;central_america;east_asia;eastern_europe;ec25_europe;latin_america;middle_east;north_america;north_central_asia;oceania;oecd_europe;old_ec_europe;south_america;south_asia;south_east_asia;world;global;;field1;field2;field3;field4;field5;field6;field7
RETRO_FIRES_V2_1960_PROPANE.nc;1960;forestfire;   0.07427;   0.01288;  0.006073;  0.002714;   0.01159;    0.1511; 2.428e-05;  0.007655;   0.03253;  0.005802;   0.01025;   0.01025;    0.1382;   0.01010;   0.08705;    0.4144;    0.4179;;RETRO;FIRES;V2;1960;PROPANE
RETRO_FIRES_V2_1960_PROPANE.nc;1960;woodedfire;    0.1706; 3.425e-05; 0.0002186;     0.000; 1.156e-05;   0.08906; 9.383e-07; 0.0009388; 0.0009504;  0.009099; 1.914e-05; 1.062e-05;   0.08902;  0.005206; 6.707e-06;    0.2761;    0.2761;;RETRO;FIRES;V2;1960;PROPANE
RETRO_FIRES_V2_1960_PROPANE.nc;1960;grassfire;   0.03783;     0.000; 6.158e-05;     0.000;     0.000;  0.002224;     0.000;     0.000; 0.0001012;   0.02001;     0.000;     0.000;  0.002224; 6.614e-08; 2.554e-07;   0.06032;   0.06032;;RETRO;FIRES;V2;1960;PROPANE
RETRO_FIRES_V2_1961_PROPANE.nc;1961;forestfire;   0.08162;   0.01311;  0.006468;  0.006823;  0.008420;    0.1683; 3.047e-05;   0.01980;   0.01346;  0.005847;  0.005072;  0.005063;    0.1552;  0.006933;   0.07145;    0.3947;    0.3966;;RETRO;FIRES;V2;1961;PROPANE
RETRO_FIRES_V2_1961_PROPANE.nc;1961;woodedfire;   0.09625; 7.523e-05; 0.0002282;     0.000; 3.685e-06;   0.06369; 1.252e-06; 0.0005971; 0.0009246;  0.009471; 1.790e-05; 2.432e-06;   0.06361;  0.003230; 7.048e-06;    0.1744;    0.1744;;RETRO;FIRES;V2;1961;PROPANE
RETRO_FIRES_V2_1961_PROPANE.nc;1961;grassfire;   0.02196;     0.000; 4.658e-05;     0.000;     0.000;  0.001590;     0.000;     0.000; 8.580e-05;   0.02053;     0.000;     0.000;  0.001590; 1.354e-07; 4.844e-07;   0.04432;   0.04432;;RETRO;FIRES;V2;1961;PROPANE
RETRO_FIRES_V2_1962_PROPANE.nc;1962;forestfire;   0.08905;   0.01516;  0.004061; 0.0007484;  0.004756;    0.1823; 1.279e-05;  0.005856;   0.02657;  0.003206;  0.001926;  0.001905;    0.1672;  0.009046;   0.05665;    0.4020;    0.4036;;RETRO;FIRES;V2;1962;PROPANE
RETRO_FIRES_V2_1962_PROPANE.nc;1962;woodedfire;    0.1128; 6.367e-05; 0.0001807;     0.000; 5.172e-07;   0.05666; 5.172e-07; 0.0008185; 0.0009535;  0.004942;     0.000;     0.000;   0.05659;  0.004479; 2.013e-06;    0.1808;    0.1808;;RETRO;FIRES;V2;1962;PROPANE
RETRO_FIRES_V2_1962_PROPANE.nc;1962;grassfire;   0.02524;     0.000; 6.489e-05;     0.000;     0.000;  0.001415;     0.000;     0.000; 9.087e-05;   0.01108;     0.000;     0.000;  0.001415; 4.740e-08; 3.822e-07;   0.03799;   0.03799;;RETRO;FIRES;V2;1962;PROPANE
RETRO_FIRES_V2_1963_PROPANE.nc;1963;forestfire;   0.09647;   0.01514;  0.004716; 0.0005298;  0.005927;    0.1953; 9.943e-06;  0.006994;   0.01575;  0.003216;  0.005467;  0.005455;    0.1802;  0.007461;   0.07475;    0.4176;    0.4199;;RETRO;FIRES;V2;1963;PROPANE
RETRO_FIRES_V2_1963_PROPANE.nc;1963;woodedfire;   0.09787; 6.024e-05; 0.0002649;     0.000; 2.236e-06;   0.07692; 3.825e-07;  0.001503;  0.001033;  0.004763; 1.943e-05; 1.854e-06;   0.07686;  0.003699; 5.515e-06;    0.1859;    0.1860;;RETRO;FIRES;V2;1963;PROPANE
RETRO_FIRES_V2_1963_PROPANE.nc;1963;grassfire;   0.02191;     0.000; 6.149e-05;     0.000;     0.000;  0.001927;     0.000;     0.000; 0.0001067;   0.01070;     0.000;     0.000;  0.001927;     0.000; 6.851e-07;   0.03480;   0.03480;;RETRO;FIRES;V2;1963;PROPANE
RETRO_FIRES_V2_1964_PROPANE.nc;1964;forestfire;    0.1040;   0.01554;  0.006216; 0.0006879;  0.004426;    0.2075; 2.100e-05;   0.01149;   0.01851;  0.005289;  0.003808;  0.003803;    0.1920;   0.01001;   0.07508;    0.4477;    0.4513;;RETRO;FIRES;V2;1964;PROPANE
RETRO_FIRES_V2_1964_PROPANE.nc;1964;woodedfire;    0.1548; 3.554e-05; 0.0002490;     0.000; 8.488e-07;   0.04690; 8.488e-07; 0.0008733; 0.0009587;  0.008256;     0.000;     0.000;   0.04686;  0.004990; 7.328e-06;    0.2170;    0.2170;;RETRO;FIRES;V2;1964;PROPANE
RETRO_FIRES_V2_1964_PROPANE.nc;1964;grassfire;   0.03373;     0.000; 9.686e-05;     0.000;     0.000;  0.001167;     0.000;     0.000; 0.0001302;   0.01783;     0.000;     0.000;  0.001167; 3.243e-08; 4.175e-07;   0.05300;   0.05300;;RETRO;FIRES;V2;1964;PROPANE
