# Hydrogen supplysector characteristics,,,,,
supplysector,output.unit,input.unit,price.unit,logit.exponent,logit.type
H2 central production,EJ,EJ,1975$/GJ,-3,
H2 forecourt production,EJ,EJ,1975$/GJ,-3,
H2 distribution,EJ,EJ,1975$/GJ,-3,
H2 enduse,EJ,EJ,1975$/GJ,-3,
