# Feed crop secondary output of biomass liquids feedstock processing technologies (considered upstream of refining),,,,,
supplysector,subsector,technology,secondary.output,2015,2100
regional corn for ethanol,regional corn for ethanol,regional corn for ethanol,FeedCrops,30,30
regional biomassOil,regional biomassOil,OilCrop,FeedCrops,90,90
