# Primary energy transformation technologies default cost assumptions,,,,,,
supplysector,subsector,technology,minicam.non.energy.input,1971,2010,2100
gas processing,natural gas,natural gas,non-energy,0.2,0.2,0.2
gas processing,biomass gasification,biomass gasification,non-energy,3.85,3.85,2.71
gas processing,coal gasification,coal gasification,non-energy,2.99,2.99,2.09
nuclearFuelGenII,enrichedUranium,enrichedUranium,non-energy,0.124464,0.124464,0.124464
nuclearFuelGenIII,enrichedUranium,enrichedUranium,non-energy,0.124464,0.124464,0.124464
refining,oil refining,oil refining,non-energy,0.84,0.84,0.84
refining,coal to liquids,coal to liquids,non-energy,2.7,2.7,2.5
refining,coal to liquids,coal to liquids CCS level 1,non-energy,3.41,3.41,3.16
refining,coal to liquids,coal to liquids CCS level 2,non-energy,3.87,3.87,3.59
refining,gas to liquids,gas to liquids,non-energy,1.8,1.8,1.67
refining,biomass liquids,cellulosic ethanol,non-energy,2.37,2.37,2.2
refining,biomass liquids,cellulosic ethanol CCS level 1,non-energy,3.99,3.99,3.7
refining,biomass liquids,cellulosic ethanol CCS level 2,non-energy,4.69,4.69,4.35
refining,biomass liquids,FT biofuels,non-energy,2.76,2.76,2.56
refining,biomass liquids,FT biofuels CCS level 1,non-energy,3.46,3.46,3.21
refining,biomass liquids,FT biofuels CCS level 2,non-energy,3.93,3.93,3.64
refining,biomass liquids,corn ethanol,non-energy,2.38,2.38,2.38
refining,biomass liquids,sugar cane ethanol,non-energy,0,0,0
refining,biomass liquids,biodiesel,non-energy,1.88,1.88,1.88
