# Electricity sector intermittent technology information,,,,,,,,,
supplysector,subsector,technology,electric.sector.name,trial.market.name,backup.capital.cost,backup.capacity.factor,capacity.limit,minicam.energy.input,minicam.non.energy.input
electricity,wind,wind,electricity,renewable,30,0.05,0.25,backup_electricity,backup-cap-cost
electricity,solar,PV,electricity,renewable,30,0.05,0.25,backup_electricity,backup-cap-cost
electricity,solar,CSP,electricity,renewable,30,0.05,0.25,csp_backup,backup-cap-cost
elect_td_bld,rooftop_pv,rooftop_pv,electricity,renewable,30,0.05,0.25,backup_electricity,backup-cap-cost
