Delete aggregate buildings,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
region,gcam-consumer,gcam-consumer,supplysector,supplysector,supplysector,supplysector,supplysector,supplysector,renewresource,,,,,,,,
USA,resid,comm,resid heating,resid cooling,resid others,comm heating,comm cooling,comm others,traditional biomass,,,,,,,,
,,,,,,,,,,,,,,,,,
INPUT_TABLE,Delete this when a model default value is set,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
94,Link,,,,,,,,,,,,,,,,
,Subregional Population Share,,,,,,,,,,,,,,,,
gcam-consumer,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,,,,,,
resid,1,1,1,1,1,1,1,1,1,,,,,,,,
comm,1,1,1,1,1,1,1,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
95,LINK,,,,,,,,,,,,,,,,
,Subregional Income Share,,,,,,,,,,,,,,,,
,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,,,,,,
resid,1,1,1,1,1,1,1,1,1,,,,,,,,
comm,1,1,1,1,1,1,1,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,
Building final demands,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,
,,,base-building-size,,price-effect,[billion m2/ thous person],,,,,,,,,,,
gcam-consumer,nodeInput,building-node-input,1990,2005,all periods,satiation-level,satiation-adder,internal-gains-market-name,internal-gains-unit,,,,,,,,
resid,resid,resid_building,15.61,20.80,-1,7.79633E-05,0,resid-internal-gains-trial-market,EJ,,,,,,,,
comm,comm,comm_building,5.95,7.66,-1,3.16621E-05,0,comm-internal-gains-trial-market,EJ,,,,,,,,
,,,,,,,,,,,,,,,,,
HDD and CDD,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
102,,,,[Day F],,,,,,,,,,,,,
,,,,degree-days,,,,,,,,,,,,,
gcam-consumer,nodeInput,building-node-input,thermal-building-demand-input,1990,2005,2020,2035,2050,2065,2080,2095,,,,,,
resid,resid,resid_building,resid heating,4524,4524,4524,4524,4524,4524,4524,4524,,,,,,
resid,resid,resid_building,resid cooling,1215,1215,1215,1215,1215,1215,1215,1215,,,,,,
comm,comm,comm_building,comm heating,4524,4524,4524,4524,4524,4524,4524,4524,,,,,,
comm,comm,comm_building,comm cooling,1215,1215,1215,1215,1215,1215,1215,1215,,,,,,
,,,,,,,,,,,,,,,,,
Satiation levels and thermal load indicator,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,
,,,,[% increase from base year],[GJ/m2],,,,,[GJ/m2],,,,,,,
gcam-consumer,nodeInput,building-node-input,building-demand-input,satiation-base-year-increase,satiation-adder,,,mutliplier from base year level (must be >1),,satiation-level,,,,,,,
resid,resid,resid_building,resid hot water,1.001,0,,,1.001,,0.05777,,,,,,,
resid,resid,resid_building,resid lighting,1.005,0,,,1.005,,0.00129,,,,,,,
resid,resid,resid_building,resid appliances,1.001,0,,,1.001,,0.06595,,,,,,,
resid,resid,resid_building,resid other appliances,1.250,0,,,1.250,,0.02826,,,,,,,
resid,resid,resid_building,resid other,1.350,0,,,1.350,,0.08106,,,,,,,
comm,comm,comm_building,comm hot water,1.001,0,,,1.001,,0.08453,,,,,,,
comm,comm,comm_building,comm ventilation,1.001,0,,,1.001,,0.02021,,,,,,,
comm,comm,comm_building,comm cooking,1.001,0,,,1.001,,0.01893,,,,,,,
comm,comm,comm_building,comm lighting,1.001,0,,,1.001,,0.01570,,,,,,,
comm,comm,comm_building,comm refrigeration,1.001,0,,,1.001,,0.06577,,,,,,,
comm,comm,comm_building,comm office,1.500,-0.1,,,1.500,,0.12271,,,,,,,
comm,comm,comm_building,comm other,1.500,0,,,1.500,,0.55285,,,,,,,
,,,,,,,,,,,,,,,,,
Satiation levels and thermal load indicator,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
103-thermal,,,,,,,,,,,,,,,,,
,,,,[unitless],[% increase from base year],[GJ/m2],,,,[GJ/m2],,Parameters for internal gains scaling,,,,,
gcam-consumer,nodeInput,building-node-input,thermal-building-demand-input,internal-gains-scaler,satiation-base-year-increase,satiation-adder,,mutliplier from base year level (must be >1),,satiation-level,,fraction of year active,subtract or adds,unit conversions,,,
resid,resid,resid_building,resid heating,-918.1293485,1.001,0,,1.001,,0.22555,,0.25,-1,0.000272293,,,
resid,resid,resid_building,resid cooling,367.2517394,1.001,0,,1.001,,0.12801,,0.1,1,,,,
comm,comm,comm_building,comm heating,-918.1293485,1.001,0,,1.001,,0.22864,,0.25,-1,,,,
comm,comm,comm_building,comm cooling,367.2517394,1.001,0,,1.001,,0.21557,,0.1,1,,,,
,,,,,,,,,,,,,,,,,
Base year service output by service,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
104,,,,[EJ],,,,,,,,,,,,,
,,,,base-service,,,,,,,,,,,,,
gcam-consumer,nodeInput,building-node-input,building-demand-input,1990,2005,,,,,,,,,,,,
resid,resid,resid_building,resid hot water,0.901001197,1.034632216,,,,,,,,,,,,
resid,resid,resid_building,resid lighting,0.020010235,0.024945272,,,,,,,,,,,,
resid,resid,resid_building,resid appliances,0.811884672,1.3705483,,,,,,,,,,,,
resid,resid,resid_building,resid other appliances,0.287523363,0.470264245,,,,,,,,,,,,
resid,resid,resid_building,resid other,0.402409521,1.248987778,,,,,,,,,,,,
comm,comm,comm_building,comm hot water,0.497298419,0.64650475,,,,,,,,,,,,
comm,comm,comm_building,comm ventilation,0.117151858,0.154543631,,,,,,,,,,,,
comm,comm,comm_building,comm cooking,0.098437622,0.144748755,,,,,,,,,,,,
comm,comm,comm_building,comm lighting,0.093392097,0.113780631,,,,,,,,,,,,
comm,comm,comm_building,comm refrigeration,0.181314059,0.503023348,,,,,,,,,,,,
comm,comm,comm_building,comm office,0.241148627,0.62629038,,,,,,,,,,,,
comm,comm,comm_building,comm other,2.194724372,2.700096033,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Base year service output by service,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,
104-thermal,,,,[EJ],,,,,,,,,,,,,
,,,,base-service,,,,,,,,,,,,,
