Include shell efficiency improvements in adv,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
,,,shell-conductance,,floor-to-surface-ratio,,,,,,,,,
supplysector,subsector,building-demand-technology,year,shell-conductance,year,floor-to-surface-ratio,,,,,,,,
resid,resid,resid_building,1975,0.234,1975,5.5,,,,,,,,
resid,resid,resid_building,1990,0.234,1990,5.5,,,,,,,,
resid,resid,resid_building,2005,0.219,2005,5.5,,,,,,,,
resid,resid,resid_building,2020,0.199,2020,5.5,,,,,,,,
resid,resid,resid_building,2035,0.177,2035,5.5,,,,,,,,
resid,resid,resid_building,2050,0.159,2050,5.5,,,,,,,,
resid,resid,resid_building,2065,0.145,2065,5.5,,,,,,,,
resid,resid,resid_building,2080,0.134,2080,5.5,,,,,,,,
resid,resid,resid_building,2095,0.125,2095,5.5,,,,,,,,
comm,comm,comm_building,1975,0.219,1975,5.5,,,,,,,,
comm,comm,comm_building,1990,0.219,1990,5.5,,,,,,,,
comm,comm,comm_building,2005,0.219,2005,5.5,,,,,,,,
comm,comm,comm_building,2020,0.201,2020,5.5,,,,,,,,
comm,comm,comm_building,2035,0.183,2035,5.5,,,,,,,,
comm,comm,comm_building,2050,0.168,2050,5.5,,,,,,,,
comm,comm,comm_building,2065,0.153,2065,5.5,,,,,,,,
comm,comm,comm_building,2080,0.140,2080,5.5,,,,,,,,
comm,comm,comm_building,2095,0.128,2095,5.5,,,,,,,,
,,,,,,,,,,,,,,
INPUT_TABLE,,,,,historical values should be set to whatever was already read into the model,,,,,,,,,
Variable ID,,,,,use _ref values for techs that are in that sheet; _base for those that aren't,,,,,,,,,
1001,,,,,,,,,,,,,,
,,,,efficiency,,,,,,,,,,
supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
resid heating,gas,gas furnace,delivered gas,1,0.694,0.780,0.900,0.914,0.927,0.941,0.956,0.970,,
resid heating,electricity,electric heat pump,elect_td_bld,1,1.584,2.095,2.856,2.899,2.943,2.987,3.032,3.032,,
resid heating,refined liquids,fuel furnace,refined liquids enduse,1,0.760,0.780,0.850,0.863,0.876,0.889,0.903,0.916,,
resid cooling,electricity,air conditioning,elect_td_bld,1,2.259,2.637,4.219,4.283,4.348,4.414,4.480,4.548,,
resid hot water,gas,gas water heater,delivered gas,1,0.521,0.537,0.640,0.650,0.659,0.669,0.680,0.690,,
resid hot water,electricity,electric resistance water heater,elect_td_bld,1,0.847,0.842,0.950,0.964,0.979,0.979,0.979,0.979,,
resid appliances,gas,gas appliances,delivered gas,1,0.990,1.000,2.473,2.510,2.548,2.587,2.626,2.665,,forcing in most efficient gas appliances
resid appliances,electricity,electric appliances,elect_td_bld,1,0.709,1.000,1.388,1.409,1.430,1.452,1.474,1.496,,
comm heating,gas,gas furnace,delivered gas,1,0.700,0.700,0.820,0.832,0.845,0.858,0.871,0.884,,
comm heating,electricity,electric heat pump,elect_td_bld,1,3.000,3.100,3.400,3.451,3.503,3.556,3.610,3.665,,
comm heating,refined liquids,fuel boiler,refined liquids enduse,1,0.700,0.700,0.830,0.843,0.855,0.868,0.881,0.895,,
comm cooling,electricity,air conditioning,elect_td_bld,1,2.400,2.400,3.427,3.479,3.531,3.585,3.639,3.694,,
comm hot water,gas,gas water heater,delivered gas,1,0.800,0.780,0.850,0.863,0.876,0.889,0.903,0.916,,
comm refrigeration,electricity,refrigeration,elect_td_bld,1,1.396,1.964,2.783,2.825,2.868,2.911,2.955,3.000,,
,,,,,,,,,,,,,,
Include improvement to 'others' not addressed in table above,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1001,,,,,,,,,,,,,,
,,,,efficiency,,,,,,,,,,
supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
resid lighting,electricity,solid state,elect_td_bld,1,1.000,0.154,0.234,0.252,0.272,0.293,0.316,0.341,,683
resid other appliances,electricity,electricity,elect_td_bld,1,1,1,1.015,1.030,1.046,1.062,1.078,1.094,,
resid other,electricity,electricity,elect_td_bld,1,1,1,1.119,1.251,1.400,1.566,1.751,1.959,,
comm hot water,electricity,electric heat pump water heater,elect_td_bld,1,1.000,2.100,2.200,2.400,2.492,2.587,2.685,2.788,,
comm ventilation,electricity,ventilation,elect_td_bld,1,0.743,0.710,0.816,0.854,0.873,0.873,0.873,0.873,,
comm cooking,electricity,electric stove,elect_td_bld,1,0.722,0.713,0.8,0.831,0.862,0.895,0.929,0.965,,
comm lighting,electricity,solid state,elect_td_bld,1,1.000,0.154,0.234,0.252,0.272,0.293,0.316,0.341,,
comm office,electricity,office equipment,elect_td_bld,1,1,1,1.241,1.540,1.599,1.660,1.723,1.789,,
comm other,electricity,electricity,elect_td_bld,1,1,1,1,1.119,1.251,1.400,1.566,1.751,,
,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1003,,,minicam-non-energy-input,,,,,,,,,,,
,,,input-cost,,,,,,,,,,,
supplysector,subsector,technology,1990,2005,2020,2035,2050,2065,2080,2095,,,,
resid heating,gas,gas furnace,2.134,2.134,3.148,3.101,3.054,3.009,2.964,2.920,,,,
resid heating,electricity,electric heat pump,5.782,5.782,7.826,7.710,7.595,7.482,7.370,7.261,,,,
resid heating,refined liquids,fuel furnace,2.565,2.565,3.206,3.158,3.111,3.064,3.019,2.974,,,,
resid cooling,electricity,air conditioning,9.033,9.033,10.903,10.740,10.580,10.423,10.267,10.114,,,,
resid hot water,gas,gas water heater,4.375,4.375,10.587,10.429,10.274,10.121,9.970,9.822,,,,
resid hot water,electricity,electric resistance water heater,3.955,3.955,6.601,6.503,6.406,6.310,6.216,6.124,,,,
resid appliances,gas,gas appliances,11.135,11.135,13.640,13.436,13.236,13.039,12.845,12.654,,,,
resid appliances,electricity,electric appliances,10.672,10.672,14.503,14.287,14.074,13.864,13.658,13.454,,,,
comm heating,gas,gas furnace,2.932,2.932,3.591,3.538,3.485,3.433,3.382,3.331,,,,
comm heating,electricity,electric heat pump,3.366,3.366,3.600,3.546,3.494,3.442,3.390,3.340,,,,
comm heating,refined liquids,fuel boiler,0.958,0.958,1.223,1.205,1.187,1.169,1.152,1.135,,,,
comm cooling,electricity,air conditioning,1.903,1.903,2.518,2.481,2.444,2.407,2.372,2.336,,,,
comm hot water,gas,gas water heater,0.426,0.426,0.629,0.620,0.611,0.602,0.593,0.584,,,,
comm refrigeration,electricity,refrigeration,5.340,5.340,7.905,7.787,7.671,7.557,7.444,7.334,,,,
,,,,,,,,,,,,,,
Add techs that weren't specified in standards,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
1003,,,minicam-non-energy-input,,,,,,,,,,,
,,,input-cost,,,,,,,,,,,
supplysector,subsector,technology,1990,2005,2020,2035,2050,2065,2080,2095,,,,
resid lighting,electricity,solid state,393.435,393.435,171.522,168.967,166.450,163.971,161.529,159.122,,,,
comm lighting,electricity,solid state,114.560,114.560,35.752,35.220,34.695,34.178,33.669,33.168,,,,
