region,LandAllocatorRoot,LandNode1,LandNode2,LandNode3,LandNode4,LandNode5,LandLeaf,hist.veg.carbon.density,hist.soil.carbon.density,veg.carbon.density,soil.carbon.density,mature.age.year.fillout,mature.age,min.veg.carbon.density,min.soil.carbon.density,level,Irr_Rfd,GLU
USA,root,AgroForestLand_ArkWhtRedR,AgroForest_NonPasture_ArkWhtRedR,CropLand_ArkWhtRedR,biomass_grass_ArkWhtRedR,biomass_grass_ArkWhtRedR_IRR,biomass_grass_ArkWhtRedR_IRR_hi,0.9,12.3,0.9,12.3,1975,20,0,0,hi,irr,ArkWhtRedR
USA,root,AgroForestLand_California,AgroForest_NonPasture_California,CropLand_California,biomass_grass_California,biomass_grass_California_IRR,biomass_grass_California_IRR_hi,1,9.2,1,9.2,1975,38,0,0,hi,irr,California
USA,root,AgroForestLand_Caribbean,AgroForest_NonPasture_Caribbean,CropLand_Caribbean,biomass_grass_Caribbean,biomass_grass_Caribbean_IRR,biomass_grass_Caribbean_IRR_hi,0.5,10.5,0.5,10.5,1975,32,0,0,hi,irr,Caribbean
USA,root,AgroForestLand_FraserR,AgroForest_NonPasture_FraserR,CropLand_FraserR,biomass_grass_FraserR,biomass_grass_FraserR_IRR,biomass_grass_FraserR_IRR_hi,0.7,18.1,0.7,18.1,1975,50,0,0,hi,irr,FraserR
USA,root,AgroForestLand_GreatBasin,AgroForest_NonPasture_GreatBasin,CropLand_GreatBasin,biomass_grass_GreatBasin,biomass_grass_GreatBasin_IRR,biomass_grass_GreatBasin_IRR_hi,0.6,8.5,0.6,8.5,1975,38,0,0,hi,irr,GreatBasin
USA,root,AgroForestLand_GreatLakes,AgroForest_NonPasture_GreatLakes,CropLand_GreatLakes,biomass_grass_GreatLakes,biomass_grass_GreatLakes_IRR,biomass_grass_GreatLakes_IRR_hi,0.9,12.2,0.9,12.2,1975,49,0,0,hi,irr,GreatLakes
USA,root,AgroForestLand_MexCstNW,AgroForest_NonPasture_MexCstNW,CropLand_MexCstNW,biomass_grass_MexCstNW,biomass_grass_MexCstNW_IRR,biomass_grass_MexCstNW_IRR_hi,1,11.4,1,11.4,1975,18,0,0,hi,irr,MexCstNW
USA,root,AgroForestLand_MissouriR,AgroForest_NonPasture_MissouriR,CropLand_MissouriR,biomass_grass_MissouriR,biomass_grass_MissouriR_IRR,biomass_grass_MissouriR_IRR_hi,0.8,11.7,0.8,11.7,1975,21,0,0,hi,irr,MissouriR
USA,root,AgroForestLand_MissppRN,AgroForest_NonPasture_MissppRN,CropLand_MissppRN,biomass_grass_MissppRN,biomass_grass_MissppRN_IRR,biomass_grass_MissppRN_IRR_hi,1.1,11,1.1,11,1975,33,0,0,hi,irr,MissppRN
USA,root,AgroForestLand_MissppRS,AgroForest_NonPasture_MissppRS,CropLand_MissppRS,biomass_grass_MissppRS,biomass_grass_MissppRS_IRR,biomass_grass_MissppRS_IRR_hi,0.7,12.7,0.7,12.7,1975,47,0,0,hi,irr,MissppRS
USA,root,AgroForestLand_NelsonR,AgroForest_NonPasture_NelsonR,CropLand_NelsonR,biomass_grass_NelsonR,biomass_grass_NelsonR_IRR,biomass_grass_NelsonR_IRR_hi,0.9,12.8,0.9,12.8,1975,16,0,0,hi,irr,NelsonR
USA,root,AgroForestLand_OhioR,AgroForest_NonPasture_OhioR,CropLand_OhioR,biomass_grass_OhioR,biomass_grass_OhioR_IRR,biomass_grass_OhioR_IRR_hi,1,13,1,13,1975,48,0,0,hi,irr,OhioR
USA,root,AgroForestLand_RioGrande,AgroForest_NonPasture_RioGrande,CropLand_RioGrande,biomass_grass_RioGrande,biomass_grass_RioGrande_IRR,biomass_grass_RioGrande_IRR_hi,0.8,9.5,0.8,9.5,1975,33,0,0,hi,irr,RioGrande
USA,root,AgroForestLand_TennR,AgroForest_NonPasture_TennR,CropLand_TennR,biomass_grass_TennR,biomass_grass_TennR_IRR,biomass_grass_TennR_IRR_hi,0.7,13.1,0.7,13.1,1975,50,0,0,hi,irr,TennR
USA,root,AgroForestLand_TexasCst,AgroForest_NonPasture_TexasCst,CropLand_TexasCst,biomass_grass_TexasCst,biomass_grass_TexasCst_IRR,biomass_grass_TexasCst_IRR_hi,0.7,12,0.7,12,1975,19,0,0,hi,irr,TexasCst
USA,root,AgroForestLand_UsaColoRN,AgroForest_NonPasture_UsaColoRN,CropLand_UsaColoRN,biomass_grass_UsaColoRN,biomass_grass_UsaColoRN_IRR,biomass_grass_UsaColoRN_IRR_hi,0.5,9.2,0.5,9.2,1975,42,0,0,hi,irr,UsaColoRN
USA,root,AgroForestLand_UsaColoRS,AgroForest_NonPasture_UsaColoRS,CropLand_UsaColoRS,biomass_grass_UsaColoRS,biomass_grass_UsaColoRS_IRR,biomass_grass_UsaColoRS_IRR_hi,0.9,8.6,0.9,8.6,1975,36,0,0,hi,irr,UsaColoRS
USA,root,AgroForestLand_UsaCstE,AgroForest_NonPasture_UsaCstE,CropLand_UsaCstE,biomass_grass_UsaCstE,biomass_grass_UsaCstE_IRR,biomass_grass_UsaCstE_IRR_hi,0.8,12.9,0.8,12.9,1975,50,0,0,hi,irr,UsaCstE
USA,root,AgroForestLand_UsaCstNE,AgroForest_NonPasture_UsaCstNE,CropLand_UsaCstNE,biomass_grass_UsaCstNE,biomass_grass_UsaCstNE_IRR,biomass_grass_UsaCstNE_IRR_hi,1,12.7,1,12.7,1975,50,0,0,hi,irr,UsaCstNE
USA,root,AgroForestLand_UsaCstSE,AgroForest_NonPasture_UsaCstSE,CropLand_UsaCstSE,biomass_grass_UsaCstSE,biomass_grass_UsaCstSE_IRR,biomass_grass_UsaCstSE_IRR_hi,0.8,12.8,0.8,12.8,1975,47,0,0,hi,irr,UsaCstSE
USA,root,AgroForestLand_UsaPacNW,AgroForest_NonPasture_UsaPacNW,CropLand_UsaPacNW,biomass_grass_UsaPacNW,biomass_grass_UsaPacNW_IRR,biomass_grass_UsaPacNW_IRR_hi,0.9,10.6,0.9,10.6,1975,35,0,0,hi,irr,UsaPacNW
Africa_Eastern,root,AgroForestLand_AfrCstE,AgroForest_NonPasture_AfrCstE,CropLand_AfrCstE,biomass_grass_AfrCstE,biomass_grass_AfrCstE_IRR,biomass_grass_AfrCstE_IRR_hi,0.4,9.2,0.4,9.2,1975,32,0,0,hi,irr,AfrCstE
Africa_Eastern,root,AgroForestLand_AfrCstNE,AgroForest_NonPasture_AfrCstNE,CropLand_AfrCstNE,biomass_grass_AfrCstNE,biomass_grass_AfrCstNE_IRR,biomass_grass_AfrCstNE_IRR_hi,0.3,7.1,0.3,7.1,1975,36,0,0,hi,irr,AfrCstNE
Africa_Eastern,root,AgroForestLand_AfrIntN,AgroForest_NonPasture_AfrIntN,CropLand_AfrIntN,biomass_grass_AfrIntN,biomass_grass_AfrIntN_IRR,biomass_grass_AfrIntN_IRR_hi,0,7.2,0,7.2,1975,40,0,0,hi,irr,AfrIntN
