GCAM_region_ID,Land_Type,AEZ 1,AEZ 2,AEZ 3,AEZ 4,AEZ 5,AEZ 6,AEZ 7,AEZ 8,AEZ 9,AEZ 10,AEZ 11,AEZ 12,AEZ 13,AEZ 14,AEZ 15,AEZ 16,AEZ 17,AEZ 18,ID_R_LT
1,AllForestLand,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,0,0,1AllForestLand
2,AllForestLand,0,0,0,0,0,0,50,50,50,50,50,0,50,50,50,50,0,0,2AllForestLand
3,AllForestLand,0,0,0,0,0,0,0,50,49,50,50,50,50,50,50,50,0,0,3AllForestLand
4,AllForestLand,0,0,0,0,0,0,0,0,50,50,50,50,0,0,50,0,0,0,4AllForestLand
5,AllForestLand,37,0,37,42,37,39,48,49,48,46,49,50,0,0,50,50,49,0,5AllForestLand
6,AllForestLand,0,0,0,0,0,0,49,50,50,50,50,50,50,50,50,50,0,0,6AllForestLand
7,AllForestLand,0,0,0,42,39,39,50,50,50,50,48,49,50,50,50,44,38,0,7AllForestLand
8,AllForestLand,0,0,0,0,0,0,50,50,50,50,0,0,0,0,0,0,0,0,8AllForestLand
9,AllForestLand,37,37,37,37,37,37,37,38,38,38,41,37,0,0,0,0,0,0,9AllForestLand
10,AllForestLand,37,38,39,39,37,37,44,42,42,42,41,39,42,44,49,49,50,50,10AllForestLand
11,AllForestLand,0,0,38,38,39,37,0,50,0,42,41,41,42,48,43,41,0,0,11AllForestLand
12,AllForestLand,0,0,0,0,0,0,0,50,50,50,50,50,0,0,50,50,0,0,12AllForestLand
13,AllForestLand,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,13AllForestLand
14,AllForestLand,0,37,37,37,38,39,0,37,37,47,44,39,37,50,45,42,0,0,14AllForestLand
1,GrassLand,0,0,0,0,0,0,11,11,14,22,26,18,10,10,10,0,0,0,1GrassLand
2,GrassLand,0,0,0,0,0,0,11,16,24,28,0,0,12,21,27,29,0,0,2GrassLand
3,GrassLand,0,0,0,0,0,0,10,18,23,28,29,29,0,13,13,11,0,0,3GrassLand
4,GrassLand,0,0,0,0,0,0,0,0,29,26,20,0,0,0,29,0,0,0,4GrassLand
5,GrassLand,16,26,29,29,29,26,27,28,28,28,24,23,0,0,10,10,21,0,5GrassLand
6,GrassLand,0,0,0,0,0,0,11,13,21,26,29,0,11,19,23,17,0,0,6GrassLand
7,GrassLand,0,0,0,29,29,29,10,14,21,15,17,27,10,12,16,10,10,0,7GrassLand
8,GrassLand,11,29,29,0,0,0,17,15,26,26,0,0,0,0,0,0,0,0,8GrassLand
9,GrassLand,16,24,29,29,29,29,17,22,27,26,25,25,0,0,0,0,0,0,9GrassLand
10,GrassLand,11,24,25,28,27,24,10,11,12,16,16,16,10,10,11,10,10,10,10GrassLand
11,GrassLand,0,0,29,28,29,21,13,15,11,27,23,22,10,10,10,10,0,0,11GrassLand
12,GrassLand,0,0,0,0,0,0,0,18,25,29,29,29,0,0,10,0,0,0,12GrassLand
13,GrassLand,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,13GrassLand
14,GrassLand,0,29,29,29,26,10,0,28,28,13,13,21,10,10,10,11,0,0,14GrassLand
1,ShrubLand,0,0,0,0,0,0,47,46,37,27,50,0,43,34,50,0,0,0,1ShrubLand
2,ShrubLand,0,0,0,0,0,0,50,0,0,0,0,0,50,39,39,0,0,0,2ShrubLand
3,ShrubLand,0,0,0,18,0,0,50,33,26,20,18,18,0,50,50,50,0,0,3ShrubLand
4,ShrubLand,0,0,0,0,0,0,0,0,0,18,19,19,0,0,0,0,0,0,4ShrubLand
5,ShrubLand,40,48,31,18,18,18,38,28,23,19,18,18,0,0,0,0,18,0,5ShrubLand
6,ShrubLand,0,0,0,0,0,0,50,35,43,50,0,0,49,41,50,50,0,0,6ShrubLand
7,ShrubLand,0,0,0,18,19,24,50,41,31,19,19,23,50,50,46,27,18,0,7ShrubLand
8,ShrubLand,50,50,41,0,0,0,50,49,45,45,0,0,0,0,0,0,0,0,8ShrubLand
9,ShrubLand,40,27,25,31,35,26,50,45,31,23,27,37,0,0,0,0,0,0,9ShrubLand
10,ShrubLand,41,19,18,18,19,29,41,25,21,19,19,25,46,49,50,50,0,0,10ShrubLand
11,ShrubLand,41,50,18,24,22,21,45,48,49,48,35,35,50,50,48,42,0,0,11ShrubLand
12,ShrubLand,0,0,0,0,0,0,0,50,38,18,19,0,0,0,0,0,0,0,12ShrubLand
13,ShrubLand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13ShrubLand
14,ShrubLand,50,43,29,26,50,50,49,44,27,42,30,24,50,50,48,47,0,0,14ShrubLand
1,Tundra,0,0,0,0,0,0,100,100,100,0,100,0,100,100,100,100,0,0,1Tundra
2,Tundra,0,0,0,0,0,0,100,0,0,0,0,0,100,100,100,100,0,0,2Tundra
3,Tundra,0,0,0,0,0,0,0,100,100,100,100,0,100,100,100,100,0,0,3Tundra
4,Tundra,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,4Tundra
5,Tundra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,5Tundra
6,Tundra,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,0,0,6Tundra
7,Tundra,0,0,0,0,0,0,100,100,100,100,100,0,100,100,100,100,0,0,7Tundra
8,Tundra,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,8Tundra
9,Tundra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9Tundra
10,Tundra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,10Tundra
11,Tundra,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,0,0,11Tundra
12,Tundra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12Tundra
13,Tundra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13Tundra
14,Tundra,0,0,0,0,0,0,0,100,100,100,100,0,100,100,100,100,0,0,14Tundra
1,RockIceDesert,0,0,0,0,0,0,100,100,0,0,0,0,100,100,100,100,0,0,1RockIceDesert
2,RockIceDesert,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,2RockIceDesert
3,RockIceDesert,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100,100,0,0,3RockIceDesert
4,RockIceDesert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4RockIceDesert
5,RockIceDesert,100,0,0,0,0,0,100,100,0,0,0,100,0,0,100,0,0,0,5RockIceDesert
6,RockIceDesert,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,0,0,0,6RockIceDesert
7,RockIceDesert,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0,0,7RockIceDesert
8,RockIceDesert,100,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,8RockIceDesert
9,RockIceDesert,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,9RockIceDesert
10,RockIceDesert,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10RockIceDesert
11,RockIceDesert,100,100,0,100,0,100,100,100,100,100,100,0,100,100,100,100,0,0,11RockIceDesert
12,RockIceDesert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12RockIceDesert
13,RockIceDesert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13RockIceDesert
14,RockIceDesert,100,100,0,100,100,0,100,100,0,100,100,0,100,100,100,100,0,0,14RockIceDesert
1,AllPastureLand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1AllPastureLand
2,AllPastureLand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2AllPastureLand
3,AllPastureLand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3AllPastureLand
4,AllPastureLand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4AllPastureLand
5,AllPastureLand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5AllPastureLand
6,AllPastureLand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6AllPastureLand
7,AllPastureLand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7AllPastureLand
8,AllPastureLand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8AllPastureLand
9,AllPastureLand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9AllPastureLand
10,AllPastureLand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10AllPastureLand
11,AllPastureLand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11AllPastureLand
12,AllPastureLand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12AllPastureLand
13,AllPastureLand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13AllPastureLand
14,AllPastureLand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14AllPastureLand
1,CropLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1CropLand
2,CropLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2CropLand
3,CropLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3CropLand
4,CropLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4CropLand
5,CropLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5CropLand
6,CropLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6CropLand
7,CropLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7CropLand
8,CropLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8CropLand
9,CropLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9CropLand
10,CropLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10CropLand
11,CropLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11CropLand
12,CropLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12CropLand
13,CropLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13CropLand
14,CropLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14CropLand
1,UrbanLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1UrbanLand
2,UrbanLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2UrbanLand
3,UrbanLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3UrbanLand
4,UrbanLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4UrbanLand
5,UrbanLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5UrbanLand
6,UrbanLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6UrbanLand
7,UrbanLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7UrbanLand
8,UrbanLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8UrbanLand
9,UrbanLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9UrbanLand
10,UrbanLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10UrbanLand
11,UrbanLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11UrbanLand
12,UrbanLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12UrbanLand
13,UrbanLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13UrbanLand
14,UrbanLand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14UrbanLand
