GCAM_region_ID,Land_Type,AEZ1,AEZ2,AEZ3,AEZ4,AEZ5,AEZ6,AEZ7,AEZ8,AEZ9,AEZ10,AEZ11,AEZ12,AEZ13,AEZ14,AEZ15,AEZ16,AEZ17,AEZ18,ID_R_LT
12,GrassLand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.5,3.0,3.0,3.0,0.0,0.0,0.7,0.0,0.0,0.0,12GrassLand
13,GrassLand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13GrassLand
14,GrassLand,0.0,3.0,3.0,3.0,2.7,1.0,0.0,2.9,2.8,1.0,1.2,2.2,0.6,0.7,0.7,0.8,0.0,0.0,14GrassLand
1,ShrubLand,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.1,3.8,4.7,2.7,0.0,3.3,4.1,2.7,0.0,0.0,0.0,1ShrubLand
2,ShrubLand,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,2.7,3.6,3.7,0.0,0.0,0.0,2ShrubLand
3,ShrubLand,0.0,0.0,0.0,5.5,0.0,0.0,2.7,4.2,4.8,5.4,5.5,5.5,0.0,2.7,2.7,2.7,0.0,0.0,3ShrubLand
4,ShrubLand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,4ShrubLand
5,ShrubLand,3.6,2.9,4.3,5.5,5.5,5.5,3.7,4.6,5.1,5.4,5.5,5.5,0.0,0.0,0.0,0.0,5.5,0.0,5ShrubLand
6,ShrubLand,0.0,0.0,0.0,0.0,0.0,0.0,2.7,4.0,3.3,2.7,0.0,0.0,2.8,3.5,2.7,2.7,0.0,0.0,6ShrubLand
7,ShrubLand,0.0,0.0,0.0,5.5,5.4,5.0,2.7,3.5,4.3,5.4,5.5,5.1,2.7,2.7,3.0,4.7,5.5,0.0,7ShrubLand
8,ShrubLand,2.7,2.7,3.5,0.0,0.0,0.0,2.7,2.8,3.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8ShrubLand
9,ShrubLand,3.6,4.8,4.9,4.3,4.0,4.8,2.7,3.2,4.4,5.0,4.7,3.9,0.0,0.0,0.0,0.0,0.0,0.0,9ShrubLand
10,ShrubLand,3.5,5.4,5.5,5.5,5.4,4.6,3.5,4.9,5.2,5.4,5.4,4.9,3.0,2.8,2.7,2.7,0.0,0.0,10ShrubLand
11,ShrubLand,3.4,2.7,5.5,4.9,5.2,5.3,3.1,2.9,2.8,2.9,4.0,4.0,2.7,2.7,2.9,3.4,0.0,0.0,11ShrubLand
12,ShrubLand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.7,5.5,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12ShrubLand
13,ShrubLand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13ShrubLand
14,ShrubLand,2.7,3.3,4.6,4.8,2.7,2.7,2.8,3.2,4.7,3.4,4.5,5.0,2.7,2.7,2.9,3.0,0.0,0.0,14ShrubLand
1,Tundra,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.0,0.9,0.0,0.9,0.9,0.9,0.9,0.0,0.0,1Tundra
2,Tundra,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.0,0.0,2Tundra
3,Tundra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.9,0.0,0.0,3Tundra
4,Tundra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Tundra
5,Tundra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,5Tundra
6,Tundra,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.0,6Tundra
7,Tundra,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.9,0.0,0.0,7Tundra
8,Tundra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8Tundra
9,Tundra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9Tundra
10,Tundra,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.0,10Tundra
11,Tundra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.0,11Tundra
12,Tundra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12Tundra
13,Tundra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13Tundra
14,Tundra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.9,0.0,0.0,14Tundra
1,RockIceDesert,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1RockIceDesert
2,RockIceDesert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2RockIceDesert
3,RockIceDesert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3RockIceDesert
4,RockIceDesert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4RockIceDesert
5,RockIceDesert,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5RockIceDesert
6,RockIceDesert,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6RockIceDesert
7,RockIceDesert,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,7RockIceDesert
8,RockIceDesert,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8RockIceDesert
9,RockIceDesert,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9RockIceDesert
10,RockIceDesert,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,10RockIceDesert
11,RockIceDesert,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,11RockIceDesert
12,RockIceDesert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12RockIceDesert
13,RockIceDesert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13RockIceDesert
14,RockIceDesert,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,14RockIceDesert
1,AllPastureLand,0.4,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,1AllPastureLand
2,AllPastureLand,0.4,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,2AllPastureLand
3,AllPastureLand,0.4,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,3AllPastureLand
4,AllPastureLand,0.4,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,4AllPastureLand
5,AllPastureLand,0.4,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,5AllPastureLand
6,AllPastureLand,0.4,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,6AllPastureLand
7,AllPastureLand,0.4,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,7AllPastureLand
8,AllPastureLand,0.4,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,8AllPastureLand
9,AllPastureLand,0.4,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,9AllPastureLand
10,AllPastureLand,0.4,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,10AllPastureLand
11,AllPastureLand,0.4,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,11AllPastureLand
12,AllPastureLand,0.4,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,12AllPastureLand
13,AllPastureLand,0.4,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,0.6,0.7,0.7,0.7,0.85,1,13AllPastureLand
