Central,Case(potential,units:,Ej,price,units:,"$2,007 ",/kWh)
region,maxResource,mid-price,curve-exponent,base_cost,,,
1,265.391693,0.055274,3.895056,0.0571,,,
2,160.767715,0.054188,3.024977,0.0565,,,
3,194.553925,0.041252,3.636189,0.0577,,,
4,132.718369,0.06253,3.331463,0.0565,,,
5,85.24926,0.060701,2.709921,0.0617,,,
6,187.454376,0.044996,3.552098,0.0567,,,
7,44.532269,0.096002,3.964099,0.06,,,
8,63.159378,0.028504,2.754324,0.0582,,,
9,96.437988,0.034567,3.78585,0.0608,,,
10,77.107826,0.050632,3.114778,0.0824,,,
11,78.68074,0.066521,4.951173,0.0727,,,
12,11.778948,0.077636,2.445954,0.1078,,,
13,1.757659,0.113008,3.135354,0.0628,,,
14,23.344635,0.074536,3.448072,0.0566,,,
15,44.730576,0.051199,5.116644,0.0824,,,
16,61.892258,0.064073,4.244658,0.0565,,,
17,33.696877,0.067586,3.548568,0.0614,,,
18,42.263809,0.030026,2.534676,0.0713,,,
19,2.994749,0.074539,2.874698,0.0755,,,
20,44.125702,0.038926,2.267441,0.0749,,,
21,18.88166,0.095927,5.703743,0.1012,,,
22,36.547462,0.032409,2.994891,0.116,,,
23,26.56218,0.058147,3.970139,0.0586,,,
24,34.101875,0.062318,4.137055,0.0752,,,
25,3.422003,0.124801,3.437807,0.065,,,
26,12.901363,0.063696,2.438164,0.0749,,,
27,6.906805,0.062945,2.582774,0.0691,,,
28,42.426876,0.048688,5.514053,0.0719,,,
29,33.369732,0.057052,4.745101,0.0687,,,
30,7.466679,0.083346,3.294793,0.0605,,,
31,12.402501,0.104213,5.140825,0.0621,,,
32,14.024595,0.055597,2.336745,0.0837,,,
33,16.242926,0.069949,5.743809,0.0802,,,
34,8.774099,0.031109,1.889208,0.0592,,,
35,14.097125,0.077986,3.368266,0.0605,,,
36,15.300335,0.060949,3.423376,0.0588,,,
37,14.606452,0.086591,3.956243,0.0763,,,
38,15.022458,0.030267,2.873198,0.0935,,,
39,2.74814,0.140999,3.800784,0.0613,,,
40,9.671824,0.059413,3.555119,0.0585,,,
41,20.747385,0.026293,2.970332,0.0721,,,
42,11.835321,0.035217,1.821188,0.0609,,,
43,6.605278,0.081138,2.759076,0.1508,,,
44,12.039784,0.065945,3.067959,0.0628,,,
45,16.317999,0.033401,4.788267,0.0627,,,
46,12.773759,0.041819,2.370392,0.0667,,,
47,1.460914,0.152603,3.097681,0.0731,,,
48,10.471807,0.036254,2.650336,0.101,,,
49,12.51808,0.034046,3.192086,0.0582,,,
50,3.625551,0.120353,5.246081,0.0727,,,
51,10.765842,0.061151,3.882917,0.0575,,,
52,0.381162,0.15861,2.834065,0.0702,,,
53,14.311646,0.041955,4.255405,0.0696,,,
54,1.977211,0.084551,2.177271,0.108,,,
55,5.216691,0.030094,3.161412,0.0569,,,
56,12.906536,0.03116,4.079591,0.0969,,,
57,11.261045,0.065668,3.926896,0.0603,,,
58,13.100465,0.036837,3.3945,0.0706,,,
59,2.426628,0.047865,2.435609,0.0565,,,
60,7.61324,0.031601,3.379071,0.0931,,,
61,8.710768,0.033094,2.644622,0.0874,,,
62,1.242837,0.099812,2.688555,0.0597,,,
63,5.215705,0.033876,3.71869,0.0595,,,
64,5.482357,0.027969,3.248779,0.0575,,,
65,0.165955,0.083219,2.61714,0.0776,,,
66,5.586289,0.034059,4.164737,0.058,,,
67,1.034084,0.140805,8.030326,0.1039,,,
68,2.493041,0.086433,3.161581,0.0708,,,
69,3.141267,0.135628,3.137823,0.0633,,,
70,9.686691,0.046141,2.904427,0.0733,,,
71,3.879102,0.056005,2.746105,0.0678,,,
72,7.640368,0.031241,5.449304,0.0656,,,
73,3.037282,0.029988,2.683282,0.0582,,,
74,4.72597,0.024395,3.272981,0.1554,,,
75,8.355907,0.014182,2.390867,0.0568,,,
76,0.091305,0.136116,2.999225,0.0998,,,
77,0.699591,0.099322,3.305357,0.0914,,,
78,3.343241,0.144328,5.596869,0.0909,,,
79,2.989117,0.120846,3.916627,0.063,,,
80,3.49068,0.068578,3.613514,0.0699,,,
81,0.672293,0.065179,2.056418,0.1134,,,
82,2.096368,0.100152,3.786583,0.0865,,,
83,0.742451,0.065619,3.011028,0.0987,,,
84,4.590036,0.011165,4.203794,0.0849,,,
85,3.290106,0.085153,4.259449,0.0693,,,
86,1.03206,0.050918,2.48421,0.0994,,,
87,5.404624,0.032316,3.323979,0.0878,,,
88,1.316878,0.122792,4.06155,0.0755,,,
89,5.686216,0.033659,4.222203,0.065,,,
90,1.674504,0.062513,2.251344,0.0635,,,
91,4.760042,0.025076,2.898147,0.0824,,,
92,0.282901,0.09502,2.472013,0.0948,,,
93,1.345611,0.034008,2.033345,0.1088,,,
94,1.341212,0.120763,3.967247,0.0696,,,
95,0.821351,0.042023,2.695193,0.0929,,,
96,1.449329,0.06598,3.137241,0.0586,,,
97,1.408496,0.054673,3.491364,0.0712,,,
98,2.674234,0.059009,3.698701,0.079,,,
99,1.699965,0.035042,1.966978,0.0569,,,
100,1.20544,0.053517,2.034685,0.0898,,,
101,1.537828,0.079381,2.544816,0.1015,,,
102,0.806265,0.069724,3.605442,0.0725,,,
103,1.849295,0.048838,2.929784,0.0854,,,
104,0.857491,0.063047,2.810725,0.0714,,,
105,2.664531,0.014935,2.376571,0.0573,,,
106,1.636338,0.066014,4.912822,0.0785,,,
107,1.888184,0.054419,2.691261,0.0993,,,
108,0.042288,0.058718,1.851245,0.0823,,,
109,2.460931,0.04276,2.572422,0.0604,,,
110,1.820038,0.018544,2.030501,0.1061,,,
111,2.763917,0.023705,2.155203,0.0943,,,
112,1.291717,0.077358,2.384339,0.0601,,,
113,0.299635,0.082784,2.765459,0.0784,,,
114,0.123842,0.092919,3.554772,0.1266,,,
115,0.958462,0.023407,2.56976,0.0974,,,
116,2.298574,0.021234,2.905989,0.1108,,,
117,1.509305,0.013858,2.519598,0.0894,,,
118,2.87504,0.010479,2.094739,0.0577,,,
119,0.077205,0.121895,2.055286,0.1068,,,
120,0.688951,0.039632,2.309968,0.068,,,
121,0.749378,0.044314,2.480152,0.0907,,,
122,0.064629,0.060809,2.600297,0.1394,,,
