supplysector,subsector,stub.technology,EPA_sector,EDGAR_agg_sector
electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,elect_td,industry_processes
urban processes,aerosols,aerosols,aerosols,aerosols
urban processes,fire_exting,fire_exting,fire exting,fire exting
industrial processes,foams,foams,foams,foams
industrial processes,solvents,solvents,solvents,solvents
industrial processes,HCFC_22_Prod,HCFC_22_Prod,hcfc_22,industry_processes
industrial processes,semiconductors,semiconductors,semiconductors,semiconductors
industrial processes,Al_Mg,Al_Mg,metals,metals
resid cooling,electricity,electricity,refrigeration,refrigeration
comm cooling,electricity,electricity,refrigeration,refrigeration
industrial processes,other industrial processes,other industrial processes,other,industry_processes
