sector,fuel,technology,supplysector,subsector,stub.technology,EPA_agg_sector,EPA_agg_fuel,EPA_agg_fuel_ghg,EDGAR_agg_sector,RCP_agg_sector,BCOC_agg_sector,BCOC_agg_fuel,MAC_type1,sector_driver
Beef,Mixed,FeedCrops,Beef,Mixed,FeedCrops,Beef,all,all,Animals,,Beef,all,Manure Management,
Beef,Mixed,FodderHerb_Residue,Beef,Mixed,FodderHerb_Residue,Beef,all,all,Animals,,Beef,all,Manure Management,
Beef,Mixed,Pasture_FodderGrass,Beef,Mixed,Pasture_FodderGrass,Beef,all,all,Animals,,Beef,all,Manure Management,
Beef,Mixed,Scavenging_Other,Beef,Mixed,Scavenging_Other,Beef,all,all,Animals,,Beef,all,Manure Management,
Beef,Pastoral,FeedCrops,Beef,Pastoral,FeedCrops,Beef,all,all,Animals,,Beef,all,Manure Management,
Beef,Pastoral,FodderHerb_Residue,Beef,Pastoral,FodderHerb_Residue,Beef,all,all,Animals,,Beef,all,Manure Management,
Beef,Pastoral,Pasture_FodderGrass,Beef,Pastoral,Pasture_FodderGrass,Beef,all,all,Animals,,Beef,all,Manure Management,
Beef,Pastoral,Scavenging_Other,Beef,Pastoral,Scavenging_Other,Beef,all,all,Animals,,Beef,all,Manure Management,
biomass,biomassAEZ01,biomassAEZ01,biomass,biomassAEZ01,biomassAEZ01,,,,,,,,N2O,
biomass,biomassAEZ02,biomassAEZ02,biomass,biomassAEZ02,biomassAEZ02,,,,,,,,N2O,
biomass,biomassAEZ03,biomassAEZ03,biomass,biomassAEZ03,biomassAEZ03,,,,,,,,N2O,
biomass,biomassAEZ04,biomassAEZ04,biomass,biomassAEZ04,biomassAEZ04,,,,,,,,N2O,
biomass,biomassAEZ05,biomassAEZ05,biomass,biomassAEZ05,biomassAEZ05,,,,,,,,N2O,
biomass,biomassAEZ06,biomassAEZ06,biomass,biomassAEZ06,biomassAEZ06,,,,,,,,N2O,
biomass,biomassAEZ07,biomassAEZ07,biomass,biomassAEZ07,biomassAEZ07,,,,,,,,N2O,
biomass,biomassAEZ08,biomassAEZ08,biomass,biomassAEZ08,biomassAEZ08,,,,,,,,N2O,
biomass,biomassAEZ09,biomassAEZ09,biomass,biomassAEZ09,biomassAEZ09,,,,,,,,N2O,
biomass,biomassAEZ10,biomassAEZ10,biomass,biomassAEZ10,biomassAEZ10,,,,,,,,N2O,
biomass,biomassAEZ11,biomassAEZ11,biomass,biomassAEZ11,biomassAEZ11,,,,,,,,N2O,
biomass,biomassAEZ12,biomassAEZ12,biomass,biomassAEZ12,biomassAEZ12,,,,,,,,N2O,
biomass,biomassAEZ13,biomassAEZ13,biomass,biomassAEZ13,biomassAEZ13,,,,,,,,N2O,
biomass,biomassAEZ14,biomassAEZ14,biomass,biomassAEZ14,biomassAEZ14,,,,,,,,N2O,
biomass,biomassAEZ15,biomassAEZ15,biomass,biomassAEZ15,biomassAEZ15,,,,,,,,N2O,
biomass,biomassAEZ16,biomassAEZ16,biomass,biomassAEZ16,biomassAEZ16,,,,,,,,N2O,
biomass,biomassAEZ17,biomassAEZ17,biomass,biomassAEZ17,biomassAEZ17,,,,,,,,N2O,
biomass,biomassAEZ18,biomassAEZ18,biomass,biomassAEZ18,biomassAEZ18,,,,,,,,N2O,
cement,biomass,biomass,cement,biomass,biomass,cement,all,all,industry_energy,ind,cement,all,,
cement,coal,coal,cement,coal,coal,cement,all,all,industry_energy,ind,cement,all,,
cement,electricity,electricity,cement,electricity,electricity,cement,all,all,industry_energy,ind,cement,all,,
cement,gas,gas,cement,gas,gas,cement,all,all,industry_energy,ind,cement,all,,
cement,refined liquids,refined liquids,cement,refined liquids,refined liquids,cement,all,all,industry_energy,ind,cement,all,,
comm cooling,gas,gas,comm cooling,gas,gas,bld_comm,gas,gas,bld,dom,bld_comm,gas,,
comm heating,biomass,biomass,comm heating,biomass,biomass,bld_comm,biomass,biomass,bld,dom,bld_comm,biomass,,
comm heating,coal,coal,comm heating,coal,coal,bld_comm,coal,coal,bld,dom,bld_comm,coal,,
comm heating,gas,gas,comm heating,gas,gas,bld_comm,gas,gas,bld,dom,bld_comm,gas,,
comm heating,refined liquids,refined liquids,comm heating,refined liquids,refined liquids,bld_comm,refined liquids,refined liquids,bld,dom,bld_comm,refined liquids,,
comm others,biomass,biomass,comm others,biomass,biomass,bld_comm,biomass,biomass,bld,dom,bld_comm,biomass,,
comm others,coal,coal,comm others,coal,coal,bld_comm,coal,coal,bld,dom,bld_comm,coal,,
comm others,gas,gas,comm others,gas,gas,bld_comm,gas,gas,bld,dom,bld_comm,gas,,
comm others,refined liquids,refined liquids,comm others,refined liquids,refined liquids,bld_comm,refined liquids,refined liquids,bld,dom,bld_comm,refined liquids,,
Corn,CornAEZ01,CornAEZ01,Corn,CornAEZ01,CornAEZ01,,,,,,,,N2O,
Corn,CornAEZ02,CornAEZ02,Corn,CornAEZ02,CornAEZ02,,,,,,,,N2O,
Corn,CornAEZ03,CornAEZ03,Corn,CornAEZ03,CornAEZ03,,,,,,,,N2O,
Corn,CornAEZ04,CornAEZ04,Corn,CornAEZ04,CornAEZ04,,,,,,,,N2O,
Corn,CornAEZ05,CornAEZ05,Corn,CornAEZ05,CornAEZ05,,,,,,,,N2O,
Corn,CornAEZ06,CornAEZ06,Corn,CornAEZ06,CornAEZ06,,,,,,,,N2O,
Corn,CornAEZ07,CornAEZ07,Corn,CornAEZ07,CornAEZ07,,,,,,,,N2O,
Corn,CornAEZ08,CornAEZ08,Corn,CornAEZ08,CornAEZ08,,,,,,,,N2O,
Corn,CornAEZ09,CornAEZ09,Corn,CornAEZ09,CornAEZ09,,,,,,,,N2O,
Corn,CornAEZ10,CornAEZ10,Corn,CornAEZ10,CornAEZ10,,,,,,,,N2O,
Corn,CornAEZ11,CornAEZ11,Corn,CornAEZ11,CornAEZ11,,,,,,,,N2O,
Corn,CornAEZ12,CornAEZ12,Corn,CornAEZ12,CornAEZ12,,,,,,,,N2O,
Corn,CornAEZ13,CornAEZ13,Corn,CornAEZ13,CornAEZ13,,,,,,,,N2O,
Corn,CornAEZ14,CornAEZ14,Corn,CornAEZ14,CornAEZ14,,,,,,,,N2O,
Corn,CornAEZ15,CornAEZ15,Corn,CornAEZ15,CornAEZ15,,,,,,,,N2O,
Corn,CornAEZ16,CornAEZ16,Corn,CornAEZ16,CornAEZ16,,,,,,,,N2O,
Corn,CornAEZ17,CornAEZ17,Corn,CornAEZ17,CornAEZ17,,,,,,,,N2O,
Corn,CornAEZ18,CornAEZ18,Corn,CornAEZ18,CornAEZ18,,,,,,,,N2O,
Dairy,Mixed,FeedCrops,Dairy,Mixed,FeedCrops,Dairy,all,all,Animals,,Dairy,all,Manure Management,
Dairy,Mixed,FodderHerb_Residue,Dairy,Mixed,FodderHerb_Residue,Dairy,all,all,Animals,,Dairy,all,Manure Management,
Dairy,Mixed,Pasture_FodderGrass,Dairy,Mixed,Pasture_FodderGrass,Dairy,all,all,Animals,,Dairy,all,Manure Management,
Dairy,Mixed,Scavenging_Other,Dairy,Mixed,Scavenging_Other,Dairy,all,all,Animals,,Dairy,all,Manure Management,
Dairy,Pastoral,FeedCrops,Dairy,Pastoral,FeedCrops,Dairy,all,all,Animals,,Dairy,all,Manure Management,
Dairy,Pastoral,FodderHerb_Residue,Dairy,Pastoral,FodderHerb_Residue,Dairy,all,all,Animals,,Dairy,all,Manure Management,
Dairy,Pastoral,Pasture_FodderGrass,Dairy,Pastoral,Pasture_FodderGrass,Dairy,all,all,Animals,,Dairy,all,Manure Management,
