INPUT_TABLE,,,,,,,,,,,
Variable ID,,,,,,,,,,,
2000,,,,minicam-non-energy-input,,,,,,,
,,,,input-cost,,,,,,,
region,supplysector,subsector,technology,1990,2005,2020,2035,2050,2065,2080,2095
Africa,electricity,wind,wind,4.81,4.81,3.88,3.46,3.09,2.77,2.53,2.34
Australia_NZ,electricity,wind,wind,4.81,4.81,3.88,3.46,3.09,2.77,2.53,2.34
Canada,electricity,wind,wind,4.81,4.81,3.88,3.46,3.09,2.77,2.53,2.34
China,electricity,wind,wind,4.81,4.81,3.88,3.46,3.09,2.77,2.53,2.34
Eastern Europe,electricity,wind,wind,4.81,4.81,3.88,3.46,3.09,2.77,2.53,2.34
Former Soviet Union,electricity,wind,wind,4.81,4.81,3.88,3.46,3.09,2.77,2.53,2.34
India,electricity,wind,wind,4.81,4.81,3.88,3.46,3.09,2.77,2.53,2.34
Japan,electricity,wind,wind,4.81,4.81,3.88,3.46,3.09,2.77,2.53,2.34
Korea,electricity,wind,wind,4.81,4.81,3.88,3.46,3.09,2.77,2.53,2.34
Latin America,electricity,wind,wind,4.81,4.81,3.88,3.46,3.09,2.77,2.53,2.34
Middle East,electricity,wind,wind,4.81,4.81,3.88,3.46,3.09,2.77,2.53,2.34
Southeast Asia,electricity,wind,wind,4.81,4.81,3.88,3.46,3.09,2.77,2.53,2.34
USA,electricity,wind,wind,4.81,4.81,3.88,3.46,3.09,2.77,2.53,2.34
Western Europe,electricity,wind,wind,4.81,4.81,3.88,3.46,3.09,2.77,2.53,2.34

INPUT_TABLE,,,,,,,,,,,
Variable ID,,,,,,,,,,,
2000,,,,minicam-non-energy-input,,,,,,,
,,,,input-cost,,,,,,,
region,supplysector,subsector,technology,1990,2005,2020,2035,2050,2065,2080,2095
Africa,electricity,wind,wind_storage,7.00,7.00,5.32,4.48,3.93,3.49,3.18,2.97
Australia_NZ,electricity,wind,wind_storage,7.00,7.00,5.32,4.48,3.93,3.49,3.18,2.97
Canada,electricity,wind,wind_storage,7.00,7.00,5.32,4.48,3.93,3.49,3.18,2.97
China,electricity,wind,wind_storage,7.00,7.00,5.32,4.48,3.93,3.49,3.18,2.97
Eastern Europe,electricity,wind,wind_storage,7.00,7.00,5.32,4.48,3.93,3.49,3.18,2.97
Former Soviet Union,electricity,wind,wind_storage,7.00,7.00,5.32,4.48,3.93,3.49,3.18,2.97
India,electricity,wind,wind_storage,7.00,7.00,5.32,4.48,3.93,3.49,3.18,2.97
Japan,electricity,wind,wind_storage,7.00,7.00,5.32,4.48,3.93,3.49,3.18,2.97
Korea,electricity,wind,wind_storage,7.00,7.00,5.32,4.48,3.93,3.49,3.18,2.97
Latin America,electricity,wind,wind_storage,7.00,7.00,5.32,4.48,3.93,3.49,3.18,2.97
Middle East,electricity,wind,wind_storage,7.00,7.00,5.32,4.48,3.93,3.49,3.18,2.97
Southeast Asia,electricity,wind,wind_storage,7.00,7.00,5.32,4.48,3.93,3.49,3.18,2.97
USA,electricity,wind,wind_storage,7.00,7.00,5.32,4.48,3.93,3.49,3.18,2.97
Western Europe,electricity,wind,wind_storage,7.00,7.00,5.32,4.48,3.93,3.49,3.18,2.97
