# File: GCAM_region_names.csv,
# Description: Maps GCAM region IDs to region names,
# ----------,
GCAM_region_ID,region
1,USA
2,Canada
3,Western Europe
4,Japan
5,Australia_NZ
6,Former Soviet Union
7,China
8,Middle East
9,Africa
10,Latin America
11,Southeast Asia
12,Eastern Europe
13,Korea
14,India
