region,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200,>200
Africa,0.05,0.16,0.21,0.21,0.22,0.30,0.33,0.36,0.43,0.46,0.46,0.46,0.46,0.46,0.56
Annex I,0.02,0.05,0.10,0.19,0.22,0.22,0.23,0.25,0.31,0.34,0.34,0.35,0.35,0.35,0.47
Australia&NZ,0.06,0.14,0.20,0.20,0.20,0.20,0.20,0.24,0.35,0.37,0.39,0.39,0.39,0.46,0.57
Brazil,0.06,0.17,0.17,0.20,0.25,0.25,0.25,0.30,0.38,0.46,0.46,0.46,0.46,0.46,0.58
Canada,0.02,0.03,0.13,0.15,0.18,0.18,0.18,0.18,0.30,0.32,0.32,0.35,0.35,0.35,0.53
China,0.00,0.01,0.31,0.36,0.36,0.37,0.37,0.37,0.43,0.44,0.44,0.44,0.45,0.45,0.46
CIS,0.00,0.00,0.03,0.21,0.28,0.28,0.28,0.31,0.34,0.38,0.38,0.38,0.38,0.38,0.48
Eastern Europe,0.04,0.19,0.25,0.26,0.26,0.26,0.26,0.33,0.34,0.36,0.36,0.36,0.36,0.36,0.49
EU-15,0.11,0.12,0.18,0.18,0.18,0.18,0.18,0.24,0.28,0.31,0.32,0.32,0.32,0.33,0.49
India,0.00,0.07,0.20,0.27,0.27,0.28,0.28,0.39,0.43,0.46,0.46,0.46,0.46,0.46,0.59
Japan,0.28,0.28,0.28,0.28,0.28,0.31,0.31,0.31,0.35,0.44,0.44,0.44,0.46,0.46,0.61
Latin America,0.06,0.07,0.17,0.22,0.22,0.28,0.28,0.35,0.43,0.46,0.46,0.46,0.46,0.46,0.58
Mexico,0.00,0.06,0.11,0.17,0.21,0.21,0.26,0.35,0.43,0.46,0.46,0.46,0.46,0.46,0.58
Middle East,0.06,0.14,0.14,0.20,0.20,0.20,0.20,0.20,0.36,0.39,0.40,0.40,0.40,0.46,0.57
Non-EU Europe,0.29,0.29,0.29,0.29,0.29,0.34,0.34,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.48
Non-OECD Annex I,0.00,0.00,0.07,0.20,0.26,0.26,0.27,0.30,0.34,0.36,0.36,0.36,0.37,0.37,0.47
OECD,0.05,0.11,0.15,0.17,0.18,0.18,0.18,0.21,0.27,0.31,0.33,0.33,0.33,0.33,0.47
OPEC,0.00,0.04,0.11,0.17,0.17,0.21,0.25,0.30,0.43,0.46,0.46,0.46,0.46,0.46,0.58
Russia,0.00,0.00,0.04,0.20,0.27,0.27,0.27,0.30,0.35,0.37,0.37,0.37,0.37,0.37,0.48
South Korea,0.23,0.23,0.28,0.28,0.28,0.28,0.31,0.35,0.46,0.46,0.46,0.46,0.46,0.46,0.61
South-SE Asia,0.00,0.06,0.12,0.21,0.21,0.22,0.30,0.36,0.43,0.46,0.46,0.46,0.46,0.46,0.56
Turkey,0.17,0.23,0.23,0.23,0.28,0.28,0.31,0.35,0.46,0.46,0.46,0.46,0.46,0.46,0.61
Ukraine,0.02,0.03,0.27,0.30,0.30,0.30,0.30,0.32,0.38,0.40,0.40,0.40,0.40,0.40,0.47
United States,0.04,0.13,0.15,0.19,0.19,0.19,0.19,0.19,0.28,0.35,0.37,0.37,0.37,0.37,0.55
