region,0,15,30,45,60
Africa,0.60,0.65,0.86,0.94,0.94
Annex I,0.57,0.71,0.89,0.94,0.94
Australia&NZ,0.60,0.65,0.86,0.94,0.94
Brazil,0.00,0.00,0.00,0.00,0.00
Canada,0.60,0.65,0.86,0.94,0.94
China,0.60,0.65,0.86,0.94,0.94
CIS,0.57,0.71,0.89,0.94,0.94
Eastern Europe,0.60,0.66,0.86,0.94,0.94
EU-15,0.57,0.71,0.89,0.94,0.94
India,0.60,0.65,0.86,0.94,0.94
Japan,0.57,0.71,0.89,0.94,0.94
Latin America,0.00,0.00,0.00,0.00,0.00
Mexico,0.00,0.00,0.00,0.00,0.00
Middle East,0.59,0.67,0.87,0.94,0.94
Non-EU Europe,0.57,0.71,0.89,0.94,0.94
Non-OECD Annex I,0.60,0.65,0.86,0.94,0.94
OECD,0.57,0.71,0.89,0.94,0.94
OPEC,0.57,0.71,0.89,0.94,0.94
Russia,0.60,0.65,0.86,0.94,0.94
South Korea,0.57,0.71,0.89,0.94,0.94
South-SE Asia,0.60,0.65,0.86,0.94,0.94
Turkey,0.00,0.00,0.00,0.00,0.00
Ukraine,0.00,0.00,0.00,0.00,0.00
United States,0.57,0.71,0.89,0.94,0.94
