TIMER_REGION,TIMER_SECTOR,UNIT,POLL,IDYEARS,CLE,MFR,SLE
Asia-Stan,CEMENT,kt,BC,2000,0.02011475,2.16E-05,0.006049573
Asia-Stan,CEMENT,kt,BC,2005,0.022802961,2.30E-05,0.006856999
Asia-Stan,CEMENT,kt,BC,2010,0.025380935,2.43E-05,0.007631305
Asia-Stan,CEMENT,kt,BC,2020,0.02734169,2.62E-05,0.00822086
Asia-Stan,CEMENT,kt,BC,2030,0.030090905,2.89E-05,0.009047492
Asia-Stan,CEMENT,kt,CO,2000,1.032500004,0.539500002,0.687400003
Asia-Stan,CEMENT,kt,CO,2005,1.144315904,0.595935502,0.760449623
Asia-Stan,CEMENT,kt,CO,2010,1.251332305,0.649928502,0.830349643
Asia-Stan,CEMENT,kt,CO,2020,1.348327805,0.700332753,0.894731268
Asia-Stan,CEMENT,kt,CO,2030,1.484455105,0.771082153,0.985094039
Asia-Stan,CEMENT,kt,NOX,2000,6.18776004,1.237552008,2.722614418
Asia-Stan,CEMENT,kt,NOX,2005,6.645475741,1.329095148,2.924009326
Asia-Stan,CEMENT,kt,NOX,2010,7.081399242,1.416279848,3.115815667
Asia-Stan,CEMENT,kt,NOX,2020,7.63306206,1.526612412,3.358547307
Asia-Stan,CEMENT,kt,NOX,2030,8.408364407,1.681672881,3.699680339
Asia-Stan,CEMENT,kt,OC,2000,0.1153445,0.00011118,0.034681176
Asia-Stan,CEMENT,kt,OC,2005,0.133584308,0.00011989,0.040159215
Asia-Stan,CEMENT,kt,OC,2010,0.151099274,0.000128192,0.045419517
Asia-Stan,CEMENT,kt,OC,2020,0.162736938,0.000138172,0.048917802
Asia-Stan,CEMENT,kt,OC,2030,0.179040545,0.000152195,0.0538187
Asia-Stan,CEMENT,kt,SO2,2000,1.309360008,0.261872002,0.576118404
Asia-Stan,CEMENT,kt,SO2,2005,1.413315848,0.28266317,0.621858973
Asia-Stan,CEMENT,kt,SO2,2010,1.512427288,0.302485458,0.665468007
Asia-Stan,CEMENT,kt,SO2,2020,1.630152429,0.326030486,0.717267069
Asia-Stan,CEMENT,kt,SO2,2030,1.795564422,0.359112884,0.790048346
Asia-Stan,CHEM,kt,SO2,2000,2.44681,0.489362,1.0765964
Asia-Stan,CHEM,kt,SO2,2005,2.5023203,0.50046406,1.101020932
Asia-Stan,CHEM,kt,SO2,2010,2.5533571,0.51067142,1.123477124
Asia-Stan,CHEM,kt,SO2,2020,2.7540033,0.55080066,1.211761452
Asia-Stan,CHEM,kt,SO2,2030,3.0366507,0.60733014,1.336126308
Asia-Stan,CHEMBULK,,,2000,,,
Asia-Stan,CHEMBULK,,,2005,,,
Asia-Stan,CHEMBULK,,,2010,,,
Asia-Stan,CHEMBULK,,,2020,,,
Asia-Stan,CHEMBULK,,,2030,,,
Asia-Stan,CUSM,kt,SO2,2000,832.01,166.402,366.0844
Asia-Stan,CUSM,kt,SO2,2005,850.89,170.178,374.3916
Asia-Stan,CUSM,kt,SO2,2010,868.24,173.648,382.0256
Asia-Stan,CUSM,kt,SO2,2020,936.47,187.294,412.0468
Asia-Stan,CUSM,kt,SO2,2030,1032.58,206.516,454.3352
Asia-Stan,End_Use_Industry_Coal,kt,BC,2000,0.438158344,0.013454785,0.140865853
Asia-Stan,End_Use_Industry_Coal,kt,BC,2005,0.347689258,0.01580347,0.115369207
Asia-Stan,End_Use_Industry_Coal,kt,BC,2010,0.356831253,0.017807222,0.119514432
Asia-Stan,End_Use_Industry_Coal,kt,BC,2020,0.362523957,0.021654234,0.123915151
Asia-Stan,End_Use_Industry_Coal,kt,BC,2030,0.4376174,0.026384816,0.149754591
Asia-Stan,End_Use_Industry_Coal,kt,CO,2000,23.82332958,21.83049472,22.42834518
Asia-Stan,End_Use_Industry_Coal,kt,CO,2005,22.97675634,20.35192375,21.13937353
Asia-Stan,End_Use_Industry_Coal,kt,CO,2010,31.01251026,27.59964562,28.62350502
Asia-Stan,End_Use_Industry_Coal,kt,CO,2020,27.18049982,23.41834132,24.54698887
Asia-Stan,End_Use_Industry_Coal,kt,CO,2030,30.75048127,26.29937458,27.63470659
Asia-Stan,End_Use_Industry_Coal,kt,NOX,2000,69.48520069,14.93888015,31.30277631
Asia-Stan,End_Use_Industry_Coal,kt,NOX,2005,60.71286666,13.05288931,27.35088251
Asia-Stan,End_Use_Industry_Coal,kt,NOX,2010,91.59070124,19.6914428,41.26122033
Asia-Stan,End_Use_Industry_Coal,kt,NOX,2020,60.99780421,13.11417002,27.47926028
Asia-Stan,End_Use_Industry_Coal,kt,NOX,2030,63.2244461,13.59284819,28.48232756
Asia-Stan,End_Use_Industry_Coal,kt,OC,2000,0.468604249,0.013722905,0.150187308
Asia-Stan,End_Use_Industry_Coal,kt,OC,2005,0.371149579,0.016052994,0.12258197
Asia-Stan,End_Use_Industry_Coal,kt,OC,2010,0.392221181,0.018183638,0.130394901
Asia-Stan,End_Use_Industry_Coal,kt,OC,2020,0.386094145,0.021904928,0.131161693
Asia-Stan,End_Use_Industry_Coal,kt,OC,2030,0.462045349,0.026644643,0.157264855
Asia-Stan,End_Use_Industry_Coal,kt,SO2,2000,284.6608486,44.58916376,116.6106692
Asia-Stan,End_Use_Industry_Coal,kt,SO2,2005,249.926577,39.3070611,102.4929159
Asia-Stan,End_Use_Industry_Coal,kt,SO2,2010,375.450386,58.78105353,153.7818533
Asia-Stan,End_Use_Industry_Coal,kt,SO2,2020,252.7574656,39.98669394,103.8179254
Asia-Stan,End_Use_Industry_Coal,kt,SO2,2030,263.0591002,41.78413495,108.1666245
Asia-Stan,End_Use_Industry_Coal,kt,VOC,2000,3.623450036,3.623450036,3.623450036
Asia-Stan,End_Use_Industry_Coal,kt,VOC,2005,3.166000917,3.166000917,3.166000917
Asia-Stan,End_Use_Industry_Coal,kt,VOC,2010,4.776184227,4.776184227,4.776184227
Asia-Stan,End_Use_Industry_Coal,kt,VOC,2020,3.180865932,3.180865932,3.180865932
Asia-Stan,End_Use_Industry_Coal,kt,VOC,2030,3.296951967,3.296951967,3.296951967
Asia-Stan,End_Use_Industry_HLF,kt,BC,2000,4.001794808,0.06485417,1.245936361
Asia-Stan,End_Use_Industry_HLF,kt,BC,2005,4.931761847,0.080203942,1.535671314
Asia-Stan,End_Use_Industry_HLF,kt,BC,2010,2.95249647,0.04815987,0.91946085
Asia-Stan,End_Use_Industry_HLF,kt,BC,2020,4.983674078,0.080905812,1.551736292
Asia-Stan,End_Use_Industry_HLF,kt,BC,2030,6.918010328,0.111053578,2.153140603
Asia-Stan,End_Use_Industry_HLF,kt,CO,2000,26.36710852,10.57090334,15.30976489
Asia-Stan,End_Use_Industry_HLF,kt,CO,2005,31.95692612,12.49572454,18.33408501
Asia-Stan,End_Use_Industry_HLF,kt,CO,2010,18.85503832,7.207219592,10.70156521
Asia-Stan,End_Use_Industry_HLF,kt,CO,2020,31.47205093,11.81100437,17.70931834
Asia-Stan,End_Use_Industry_HLF,kt,CO,2030,42.90751507,15.6123573,23.80090463
Asia-Stan,End_Use_Industry_HLF,kt,NOX,2000,81.21577061,4.391139101,27.43852855
Asia-Stan,End_Use_Industry_HLF,kt,NOX,2005,97.37225884,4.872982518,32.62276542
Asia-Stan,End_Use_Industry_HLF,kt,NOX,2010,56.89539595,2.640431597,18.9169209
Asia-Stan,End_Use_Industry_HLF,kt,NOX,2020,94.48049685,3.93765628,31.10050845
Asia-Stan,End_Use_Industry_HLF,kt,NOX,2030,127.8937107,4.206141724,41.31241242
Asia-Stan,End_Use_Industry_HLF,kt,OC,2000,1.818014735,0.029102834,0.565776404
Asia-Stan,End_Use_Industry_HLF,kt,OC,2005,2.240750551,0.035963751,0.697399791
Asia-Stan,End_Use_Industry_HLF,kt,OC,2010,1.341599035,0.021580887,0.417586331
Asia-Stan,End_Use_Industry_HLF,kt,OC,2020,2.264784485,0.036389277,0.704907839
Asia-Stan,End_Use_Industry_HLF,kt,OC,2030,3.144374245,0.050355908,0.978561409
Asia-Stan,End_Use_Industry_HLF,kt,SO2,2000,61.60188424,6.765798585,23.21662428
Asia-Stan,End_Use_Industry_HLF,kt,SO2,2005,56.00362575,5.331430785,20.53308927
Asia-Stan,End_Use_Industry_HLF,kt,SO2,2010,23.27203724,1.643226277,8.131869567
Asia-Stan,End_Use_Industry_HLF,kt,SO2,2020,31.80581374,1.710931934,10.73939648
Asia-Stan,End_Use_Industry_HLF,kt,SO2,2030,31.72076978,0.690671479,9.999700968
Asia-Stan,End_Use_Industry_HLF,kt,VOC,2000,12.80596189,1.428629675,4.84182934
Asia-Stan,End_Use_Industry_HLF,kt,VOC,2005,15.7416037,1.687101246,5.903451982
Asia-Stan,End_Use_Industry_HLF,kt,VOC,2010,9.403288541,0.972174216,3.501508513
Asia-Stan,End_Use_Industry_HLF,kt,VOC,2020,15.84245052,1.599049498,5.872069806
Asia-Stan,End_Use_Industry_HLF,kt,VOC,2030,21.92340332,2.132052915,8.069458035
Asia-Stan,End_Use_Industry_LLF,kt,BC,2000,0.00013869,0.00013869,0.00013869
Asia-Stan,End_Use_Industry_LLF,kt,BC,2005,0.000172886,0.000172886,0.000172886
Asia-Stan,End_Use_Industry_LLF,kt,BC,2010,0.000106314,0.000106314,0.000106314
Asia-Stan,End_Use_Industry_LLF,kt,BC,2020,0.000137106,0.000137106,0.000137106
Asia-Stan,End_Use_Industry_LLF,kt,BC,2030,6.23E-05,6.23E-05,6.23E-05
Asia-Stan,End_Use_Industry_LLF,kt,CO,2000,0.165600002,0.165600002,0.165600002
