region,0,15,30,45,60
Africa,0.20,0.42,0.54,0.54,0.54
Annex I,0.10,0.33,0.46,0.46,0.46
Australia&NZ,0.11,0.16,0.16,0.16,0.16
Brazil,0.08,0.42,0.56,0.56,0.56
Canada,0.09,0.17,0.34,0.34,0.34
China,0.20,0.27,0.52,0.52,0.52
CIS,0.13,0.36,0.41,0.41,0.41
Eastern Europe,0.19,0.41,0.52,0.52,0.52
EU-15,0.00,0.34,0.41,0.41,0.41
India,0.19,0.30,0.52,0.52,0.52
Japan,0.00,0.36,0.72,0.72,0.72
Latin America,0.19,0.25,0.25,0.25,0.25
Mexico,0.00,0.00,0.00,0.00,0.00
Middle East,0.06,0.06,0.06,0.06,0.06
Non-EU Europe,0.00,0.20,0.34,0.34,0.34
Non-OECD Annex I,0.23,0.34,0.63,0.63,0.63
OECD,0.07,0.32,0.42,0.42,0.42
OPEC,0.14,0.16,0.16,0.16,0.16
Russia,0.24,0.33,0.63,0.63,0.63
South Korea,0.00,0.00,0.00,0.00,0.00
South-SE Asia,0.17,0.23,0.23,0.23,0.23
Turkey,0.31,0.31,0.61,0.61,0.61
Ukraine,0.00,0.36,0.72,0.72,0.72
United States,0.08,0.42,0.51,0.51,0.51
