region,-20,-10,0,10,20,30,40,50,75,100,125,150,175,200,>$200
United States,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.04,0.04,0.11,0.16
Ukraine,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.04,0.13
Turkey,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.19,0.19,0.19,0.19,0.19,0.19,0.19
South Korea,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.11,0.11,0.11,0.11,0.11,0.16
South-SE Asia,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.19,0.19,0.19,0.19,0.19,0.19
Russia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.04,0.13
OPEC,0.00,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.19,0.19,0.19,0.19,0.19
OECD,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.05,0.05,0.06,0.08,0.10,0.14
Non-OECD Annex I,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.11
Non-EU Europe,0.05,0.05,0.05,0.05,0.11,0.11,0.11,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Middle East,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.19,0.19,0.19
Mexico,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.19,0.19,0.19,0.19,0.19
Latin America,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.19,0.19,0.19,0.19,0.19,0.19,0.19
Japan,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.11,0.11,0.11,0.11,0.11,0.16
India,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
EU-15,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.11,0.11,0.15
Eastern Europe,0.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.11,0.11,0.11,0.11,0.11,0.16
CIS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.08,0.08,0.11,0.16
China,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.14,0.19,0.19,0.19
Canada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.13
Brazil,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.19,0.19,0.19,0.19,0.19
Australia&NZ,0.00,0.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.11,0.11,0.16
Annex I,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.05,0.05,0.07,0.09,0.14
Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.14,0.19,0.19
