region,-30.00,-15.00,0.00,15.00,30.00,45.00,60.00,75.00,90.00,105.00,120.00,135.00,150.00,165.00,>$180
Africa,0.03,0.11,0.12,0.15,0.15,0.16,0.16,0.21,0.24,0.25,0.30,0.30,0.30,0.30,0.30
Annex I,0.10,0.14,0.21,0.22,0.26,0.31,0.31,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.32
Australia&NZ,0.13,0.13,0.23,0.23,0.27,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
Brazil,0.02,0.02,0.05,0.05,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14
Canada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
China,0.06,0.06,0.06,0.07,0.08,0.11,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
CIS,0.00,0.04,0.12,0.12,0.12,0.12,0.12,0.12,0.21,0.21,0.21,0.21,0.21,0.21,0.21
Eastern Europe,0.04,0.14,0.14,0.19,0.22,0.22,0.22,0.22,0.23,0.24,0.24,0.25,0.25,0.25,0.25
EU-15,0.00,0.00,0.12,0.12,0.12,0.13,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
India,0.02,0.06,0.06,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.14
Japan,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14
Latin America,0.07,0.09,0.15,0.16,0.17,0.22,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26
Mexico,0.08,0.11,0.11,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.25
Middle East,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.11
Non-EU Europe,0.13,0.35,0.36,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Non-OECD Annex I,0.00,0.09,0.28,0.28,0.32,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
OECD,0.14,0.15,0.19,0.21,0.24,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
OPEC,0.06,0.06,0.06,0.06,0.06,0.09,0.10,0.10,0.10,0.11,0.12,0.12,0.12,0.12,0.14
Russia,0.00,0.09,0.28,0.28,0.32,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
South Korea,0.03,0.06,0.09,0.09,0.12,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.18
South-SE Asia,0.07,0.11,0.15,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.20,0.21,0.22,0.22,0.22
Turkey,0.04,0.04,0.06,0.06,0.06,0.12,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Ukraine,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States,0.23,0.23,0.23,0.23,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30
,,,,,,,,,,,,,,,
