region,0,15,30,45,60
Africa,0.00,0.00,0.00,0.10,0.18
Annex I,0.00,0.00,0.00,0.34,0.38
Australia&NZ,0.00,0.00,0.00,0.36,0.38
Brazil,0.00,0.00,0.00,0.18,0.19
Canada,0.00,0.00,0.00,0.36,0.39
China,0.00,0.00,0.00,0.18,0.18
CIS,0.00,0.00,0.00,0.20,0.20
Eastern Europe,0.00,0.00,0.00,0.36,0.39
EU-15,0.00,0.00,0.00,0.36,0.37
India,0.00,0.00,0.00,0.10,0.18
Japan,0.00,0.00,0.00,0.20,0.36
Latin America,0.00,0.00,0.00,0.18,0.19
Mexico,0.00,0.00,0.00,0.18,0.19
Middle East,0.00,0.00,0.00,0.13,0.18
Non-EU Europe,0.00,0.00,0.00,0.36,0.36
Non-OECD Annex I,0.00,0.00,0.00,0.36,0.39
OECD,0.00,0.00,0.00,0.32,0.35
OPEC,0.00,0.00,0.00,0.12,0.18
Russia,0.00,0.00,0.00,0.36,0.39
South Korea,0.00,0.00,0.00,0.18,0.18
South-SE Asia,0.00,0.00,0.00,0.18,0.19
Turkey,0.00,0.00,0.00,0.36,0.36
Ukraine,0.00,0.00,0.00,0.36,0.39
United States,0.00,0.00,0.00,0.36,0.39
