region,0,15,30,45,60
Africa,0.39,0.86,0.86,0.86,0.86
Annex I,0.36,0.81,0.81,0.81,0.81
Australia&NZ,0.28,0.83,0.83,0.83,0.83
Brazil,0.00,0.00,0.00,0.00,0.00
Canada,0.00,0.00,0.00,0.00,0.00
China,0.00,0.84,0.84,0.84,0.84
CIS,0.00,0.58,0.58,0.58,0.58
Eastern Europe,0.34,0.73,0.73,0.73,0.73
EU-15,0.00,0.41,0.41,0.41,0.41
India,0.00,0.84,0.84,0.84,0.84
Japan,0.98,0.98,0.98,0.98,0.98
Latin America,0.00,0.00,0.00,0.00,0.00
Mexico,0.29,0.86,0.86,0.86,0.86
Middle East,0.29,0.86,0.86,0.86,0.86
Non-EU Europe,0.16,0.50,0.50,0.50,0.50
Non-OECD Annex I,0.39,1.04,1.04,1.04,1.04
OECD,0.35,0.74,0.74,0.74,0.74
OPEC,0.28,0.86,0.86,0.86,0.86
Russia,0.28,0.84,0.84,0.84,0.84
South Korea,0.00,0.00,0.00,0.00,0.00
South-SE Asia,0.28,0.84,0.84,0.84,0.84
Turkey,0.14,0.24,0.24,0.24,0.24
Ukraine,0.38,0.85,0.85,0.85,0.85
United States,0.492213523,0.859731755,0.859731755,0.859731755,0.859731755
