# File: A23.CoolingSystemShares_RG3.csv
# Title: Cooling system shares for GCAM3 regions
# Units: Unitless
# Source: Various sources. USA values are from UCS data. WEUR future are from Schakel inventory.
region_GCAM3,plant_type,cooling_system,water_type,1971,2005,2010,2015,2100
USA,coal,once through,fresh,0.3592,0.3592,0.3592,0,0
USA,coal,once through,seawater,0.02,0.02,0.02,0.05,0.05
USA,coal,recirculating,fresh,0.4833,0.4833,0.4833,0.75,0.75
USA,coal,cooling pond,fresh,0.1347,0.1347,0.1347,0.1,0.1
USA,coal,dry cooling,fresh,0.0028,0.0028,0.0028,0.1,0.1
USA,fossil non-coal,once through,fresh,0.2014,0.2014,0.2014,0,0
USA,fossil non-coal,once through,seawater,0.1175,0.1175,0.1175,0.05,0.05
USA,fossil non-coal,recirculating,fresh,0.1392,0.1392,0.1392,0.25,0.25
USA,fossil non-coal,cooling pond,fresh,0.0806,0.0806,0.0806,0.1,0.1
USA,fossil non-coal,dry cooling,fresh,0.4613,0.4613,0.4613,0.5,0.5
USA,combined cycle,once through,fresh,0.0343,0.0343,0.0343,0,0
USA,combined cycle,once through,seawater,0.0765,0.0765,0.0765,0.05,0.05
USA,combined cycle,recirculating,fresh,0.7121,0.7121,0.7121,0.3,0.3
USA,combined cycle,cooling pond,fresh,0.0672,0.0672,0.0672,0,0
USA,combined cycle,dry cooling,fresh,0.1099,0.1099,0.1099,0.65,0.65
USA,nuclear,once through,fresh,0.2944,0.2944,0.2944,0,0
USA,nuclear,once through,seawater,0.1466,0.1466,0.1466,0.1,0.1
USA,nuclear,recirculating,fresh,0.4052,0.4052,0.4052,0.8,0.8
USA,nuclear,cooling pond,fresh,0.1538,0.1538,0.1538,0.1,0.1
USA,IGCC,once through,fresh,0.2737,0.2737,0.2737,0,0
USA,IGCC,once through,seawater,0.1173,0.1173,0.1173,0.05,0.05
USA,IGCC,recirculating,fresh,0.607,0.607,0.607,0.75,0.75
USA,IGCC,dry cooling,fresh,0.002,0.002,0.002,0.1,0.1
USA,geothermal,recirculating,fresh,0.6,0.6,0.6,0.6,0.6
USA,geothermal,dry_hybrid,fresh,0.4,0.4,0.4,0.4,0.4
USA,CSP,recirculating,fresh,0.5,0.5,0.5,0.5,0.5
USA,CSP,dry_hybrid,fresh,0.5,0.5,0.5,0.5,0.5
Canada,coal,once through,fresh,0.639,0.639,0.639,0.09,0.09
Canada,coal,once through,seawater,0.071,0.071,0.071,0.01,0.01
Canada,coal,recirculating,fresh,0.29,0.29,0.29,0.9,0.9
Canada,coal,cooling pond,fresh,0,0,0,0,0
Canada,coal,dry cooling,fresh,0,0,0,0,0
Canada,fossil non-coal,once through,fresh,0.639,0.639,0.639,0.09,0.09
Canada,fossil non-coal,once through,seawater,0.071,0.071,0.071,0.01,0.01
Canada,fossil non-coal,recirculating,fresh,0.29,0.29,0.29,0.9,0.9
Canada,fossil non-coal,cooling pond,fresh,0,0,0,0,0
Canada,fossil non-coal,dry cooling,fresh,0,0,0,0,0
Canada,combined cycle,once through,fresh,0.639,0.639,0.639,0.09,0.09
Canada,combined cycle,once through,seawater,0.071,0.071,0.071,0.01,0.01
Canada,combined cycle,recirculating,fresh,0.29,0.29,0.29,0.9,0.9
Canada,combined cycle,cooling pond,fresh,0,0,0,0,0
Canada,combined cycle,dry cooling,fresh,0,0,0,0,0
Canada,nuclear,once through,fresh,0.639,0.639,0.639,0.09,0.09
Canada,nuclear,once through,seawater,0.071,0.071,0.071,0.01,0.01
Canada,nuclear,recirculating,fresh,0.29,0.29,0.29,0.9,0.9
Canada,nuclear,cooling pond,fresh,0,0,0,0,0
Canada,IGCC,once through,fresh,0.639,0.639,0.639,0.09,0.09
Canada,IGCC,once through,seawater,0.071,0.071,0.071,0.01,0.01
Canada,IGCC,recirculating,fresh,0.29,0.29,0.29,0.9,0.9
Canada,IGCC,dry cooling,fresh,0,0,0,0,0
Canada,geothermal,recirculating,fresh,0.6,0.6,0.6,0.6,0.6
Canada,geothermal,dry_hybrid,fresh,0.4,0.4,0.4,0.4,0.4
Canada,CSP,recirculating,fresh,0.5,0.5,0.5,0.5,0.5
Canada,CSP,dry_hybrid,fresh,0.5,0.5,0.5,0.5,0.5
Western Europe,coal,once through,fresh,0.2216,0.2216,0.2216,0.1,0.1
Western Europe,coal,once through,seawater,0.0554,0.0554,0.0554,0.23,0.23
Western Europe,coal,recirculating,fresh,0.695636538,0.695636538,0.695636538,0.64,0.64
Western Europe,coal,cooling pond,fresh,0,0,0,0,0
Western Europe,coal,dry cooling,fresh,0.027363462,0.027363462,0.027363462,0.03,0.03
Western Europe,fossil non-coal,once through,fresh,0.2216,0.2216,0.2216,0.2216,0.2216
Western Europe,fossil non-coal,once through,seawater,0.0554,0.0554,0.0554,0.0554,0.0554
Western Europe,fossil non-coal,recirculating,fresh,0.695636538,0.695636538,0.695636538,0.695636538,0.695636538
Western Europe,fossil non-coal,cooling pond,fresh,0,0,0,0,0
Western Europe,fossil non-coal,dry cooling,fresh,0.027363462,0.027363462,0.027363462,0.027363462,0.027363462
Western Europe,combined cycle,once through,fresh,0.2216,0.2216,0.2216,0.2216,0.2216
Western Europe,combined cycle,once through,seawater,0.0554,0.0554,0.0554,0.41,0.41
Western Europe,combined cycle,recirculating,fresh,0.695636538,0.695636538,0.695636538,0.341036538,0.341036538
Western Europe,combined cycle,cooling pond,fresh,0,0,0,0,0
Western Europe,combined cycle,dry cooling,fresh,0.027363462,0.027363462,0.027363462,0.027363462,0.027363462
Western Europe,nuclear,once through,fresh,0.2216,0.2216,0.2216,0.2,0.2
Western Europe,nuclear,once through,seawater,0.0554,0.0554,0.0554,0.2,0.2
Western Europe,nuclear,recirculating,fresh,0.723,0.723,0.723,0.6,0.6
Western Europe,nuclear,cooling pond,fresh,0,0,0,0,0
Western Europe,IGCC,once through,fresh,0.2216,0.2216,0.2216,0.1,0.1
Western Europe,IGCC,once through,seawater,0.0554,0.0554,0.0554,0.23,0.23
Western Europe,IGCC,recirculating,fresh,0.695636538,0.695636538,0.695636538,0.64,0.64
Western Europe,IGCC,dry cooling,fresh,0.027363462,0.027363462,0.027363462,0.03,0.03
Western Europe,geothermal,recirculating,fresh,0.6,0.6,0.6,0.6,0.6
Western Europe,geothermal,dry_hybrid,fresh,0.4,0.4,0.4,0.4,0.4
Western Europe,CSP,recirculating,fresh,0.5,0.5,0.5,0.5,0.5
Western Europe,CSP,dry_hybrid,fresh,0.5,0.5,0.5,0.5,0.5
Japan,coal,once through,fresh,0.027,0.027,0.027,0.027,0.027
Japan,coal,once through,seawater,0.873,0.873,0.873,0.873,0.873
Japan,coal,recirculating,fresh,0.064587507,0.064587507,0.064587507,0.064587507,0.064587507
Japan,coal,cooling pond,fresh,0,0,0,0,0
Japan,coal,dry cooling,fresh,0.035412493,0.035412493,0.035412493,0.035412493,0.035412493
Japan,fossil non-coal,once through,fresh,0.027,0.027,0.027,0.027,0.027
Japan,fossil non-coal,once through,seawater,0.873,0.873,0.873,0.873,0.873
Japan,fossil non-coal,recirculating,fresh,0.064587507,0.064587507,0.064587507,0.064587507,0.064587507
Japan,fossil non-coal,cooling pond,fresh,0,0,0,0,0
Japan,fossil non-coal,dry cooling,fresh,0.035412493,0.035412493,0.035412493,0.035412493,0.035412493
Japan,combined cycle,once through,fresh,0.027,0.027,0.027,0.027,0.027
Japan,combined cycle,once through,seawater,0.873,0.873,0.873,0.873,0.873
Japan,combined cycle,recirculating,fresh,0.064587507,0.064587507,0.064587507,0.064587507,0.064587507
Japan,combined cycle,cooling pond,fresh,0,0,0,0,0
Japan,combined cycle,dry cooling,fresh,0.035412493,0.035412493,0.035412493,0.035412493,0.035412493
Japan,nuclear,once through,fresh,0,0,0,0,0
Japan,nuclear,once through,seawater,1,1,1,1,1
Japan,nuclear,recirculating,fresh,0,0,0,0,0
Japan,nuclear,cooling pond,fresh,0,0,0,0,0
Japan,IGCC,once through,fresh,0.027,0.027,0.027,0.027,0.027
Japan,IGCC,once through,seawater,0.873,0.873,0.873,0.873,0.873
Japan,IGCC,recirculating,fresh,0.064587507,0.064587507,0.064587507,0.064587507,0.064587507
Japan,IGCC,dry cooling,fresh,0.035412493,0.035412493,0.035412493,0.035412493,0.035412493
Japan,geothermal,recirculating,fresh,0.6,0.6,0.6,0.6,0.6
Japan,geothermal,dry_hybrid,fresh,0.4,0.4,0.4,0.4,0.4
Japan,CSP,recirculating,fresh,0.5,0.5,0.5,0.5,0.5
Japan,CSP,dry_hybrid,fresh,0.5,0.5,0.5,0.5,0.5
Australia_NZ,coal,once through,fresh,0.12512,0.12512,0.12512,0.17,0.17
Australia_NZ,coal,once through,seawater,0.24288,0.24288,0.24288,0.33,0.33
Australia_NZ,coal,recirculating,fresh,0.563240299,0.563240299,0.563240299,0.2,0.2
Australia_NZ,coal,cooling pond,fresh,0,0,0,0,0
Australia_NZ,coal,dry cooling,fresh,0.068753867,0.068753867,0.068753867,0.3,0.3
Australia_NZ,fossil non-coal,once through,fresh,0.34,0.34,0.34,0.17,0.17
Australia_NZ,fossil non-coal,once through,seawater,0.66,0.66,0.66,0.33,0.33
Australia_NZ,fossil non-coal,recirculating,fresh,0,0,0,0.2,0.2
Australia_NZ,fossil non-coal,cooling pond,fresh,0,0,0,0,0
Australia_NZ,fossil non-coal,dry cooling,fresh,0,0,0,0.3,0.3
Australia_NZ,combined cycle,once through,fresh,0.169694,0.169694,0.169694,0.17,0.17
Australia_NZ,combined cycle,once through,seawater,0.329406,0.329406,0.329406,0.33,0.33
Australia_NZ,combined cycle,recirculating,fresh,0.500924947,0.500924947,0.500924947,0.2,0.2
Australia_NZ,combined cycle,cooling pond,fresh,0,0,0,0,0
Australia_NZ,combined cycle,dry cooling,fresh,0,0,0,0.3,0.3
Australia_NZ,nuclear,once through,fresh,0,0,0,0,0
Australia_NZ,nuclear,once through,seawater,1,1,1,1,1
Australia_NZ,nuclear,recirculating,fresh,0,0,0,0,0
Australia_NZ,nuclear,cooling pond,fresh,0,0,0,0,0
Australia_NZ,IGCC,once through,fresh,0.12512,0.12512,0.12512,0.17,0.17
Australia_NZ,IGCC,once through,seawater,0.24288,0.24288,0.24288,0.33,0.33
Australia_NZ,IGCC,recirculating,fresh,0.563240299,0.563240299,0.563240299,0.2,0.2
Australia_NZ,IGCC,dry cooling,fresh,0.068753867,0.068753867,0.068753867,0.3,0.3
Australia_NZ,geothermal,recirculating,fresh,0.6,0.6,0.6,0.6,0.6
Australia_NZ,geothermal,dry_hybrid,fresh,0.4,0.4,0.4,0.4,0.4
Australia_NZ,CSP,recirculating,fresh,0.5,0.5,0.5,0.5,0.5
Australia_NZ,CSP,dry_hybrid,fresh,0.5,0.5,0.5,0.5,0.5
Former Soviet Union,coal,once through,fresh,0.3366,0.3366,0.3366,0.09,0.09
Former Soviet Union,coal,once through,seawater,0.0374,0.0374,0.0374,0.01,0.01
Former Soviet Union,coal,recirculating,fresh,0.626,0.626,0.626,0.9,0.9
Former Soviet Union,coal,cooling pond,fresh,0,0,0,0,0
Former Soviet Union,coal,dry cooling,fresh,0,0,0,0,0
