# File: Liu_EFW_inventory.csv
# Title: Energy-for-water and related flow volumes in 2010
# Units: km^3, EJ
# Source: http://pubs.acs.org/doi/suppl/10.1021/acs.est.6b01065/suppl_file/es6b01065_si_002.xlsx
# Comments: "ISO" column name changed to "iso" and comment character added to top header row
# column 1    ,country,country name
# column 2     ,ISO,ISO 3 digit number
# column 3     ,GCAM_R14,the region # in the 14 geopolitical regions of GCAM 
# column 4     ,ag,agricultural water withdrawal (10^9 m3/yr)
# column 5     ,irr,irrigation water withdrawal (10^9 m3/yr)
# column 6    ,ind,industrial water withdrawal (10^9 m3/yr)
# column 7     ,muni ,municipal water withdrawal (10^9 m3/yr)
# column 8     ,trtww,treated wastewater (10^9 m3/yr)
# column 9     ,pow_irr,percent of the irrigation area where electric pumps are used for water supply from the source to the scheme (%)
# column 10    ,pow_irr_gw,portion of irrigation water that is from groundwater and uses power
# column 11    ,pow_irr_sf        ,portion of irrigation water that is from surface water and uses power (pow_irr_sf+pow_irr_gw = pow_irr/100)
# column 12   ,sf_shr2           ,share of surface water for activities other than irrigation (e.g., livestock, manufacture)
# column 13    ,gw_shr2           ,share of groundwater for activities other than irrigation (sf_shr2+gw_shr2=1)              
# column 14    ,irr_gw_shr,share of irrigation area equpped with groundwater
# column 15    ,irr_sf_shr,share of irrigation area equpped with surface water (irr_gw_shr + irr_sf_shr = 1)
# column 16    ,pct_ind_sf_cooling ,percentage of industrial surface water that is used for power plant cooling (%)
# column 17    ,pct_ind_sf_manu,percentage of industrial surface water that is used for manufacture (%)
# column 18    ,ratio_sw_ind,ratio of seawater withdrawal for power plant cooling to total fresh industrial withdrawal  
# column 19    ,trtshr,share of treated municipal/industrial wastewater relative to produced wastewater 
# column 20    ,gw_sc_EI_coef,scalor for groundwater pumping energy intensity, account for the effects of groundwater depth on energy intensity of groundwater pumping
# column 21    ,muni_sply_EI_coef,scalor for energy intensity of municipal water supply, account for the spatial variation of energy intensity for municipal water supply
# column 22,E4W_sf,E4W embedded in surface water (EJ)
# column 23,E4W_gw,E4W embedded in groundwater (EJ)
# column 24,E4W_non-fresh,E4W embedded in non-fresh water (EJ)
# column 25,E4W_sc,E4W embedded in the source and conveyance process (EJ)
# column 26,E4W_trt,E4W embedded in the water treatment process (EJ)
# column 27,E4W_dist,E4W embedded in the water distribution process (EJ)
# column 28,E4W_ww_clt,E4W embedded in the wastewater collection process (EJ)
# column 29,E4W_ww_trt,E4W embedded in the wastewater treatment process (EJ)
# column 30,E4W_ww_dis,E4W embedded in the wastewater discharge process (EJ)
# column 31,E4W_ag,E4W embedded in agricultural sector (EJ)
# column 32,E4W_ind,E4W embedded in industrial sector (EJ)
# column 33,E4W_mun,E4W embedded in municipal sector (EJ)
# country information,,,water withdrawal,,,,,power irrigation,share between surface water and groundwater,,,,,,variables for estimating process-level water-use amount,,,,adjusting coefficient for EI ,,E4W by water sources,,,E4W by processes,,,,,,E4W by sectors
# Column types:ccinnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
country,iso,GCAM_R14,ag,irr,ind,muni,trtww,pow_irr,pow_irr_gw,pow_irr_sf,sf_shr2,gw_shr2,irr_gw_shr,irr_sf_shr,pct_ind_sf_cooling,pct_ind_sf_manu,ratio_sw_ind,trtshr,gw_sc_EI_coef,muni_sply_EI_coef,E4W_sf,E4W_gw,E4W_non-fresh,E4W_sc,E4W_trt,E4W_dist,E4W_ww_clt,E4W_ww_trt,E4W_ww_dis,E4W_ag,E4W_ind,E4W_mun
Afghanistan,afg,11,32.77,32.44,0.21,0.25,0.04,24.92,0.25,0,1,0,0.5,0.5,10.52,89.48,1.79,0.14,0.96,1,0.002,0.015,0,0.016,0.001,0,0,0,0,0.015,0.001,0.001
Albania,alb,12,0.31,0.31,0.14,0.34,0.15,0.02,0,0,0.71,0.29,0.07,0.93,66.02,33.98,0.1,0.46,0.86,1,0.003,0.001,0,0.001,0.001,0.001,0,0.001,0,0,0.001,0.003
Algeria,dza,9,4.99,4.94,0.42,3.02,0.32,47.25,0.47,0,1,0,0.68,0.32,40.38,59.62,0.21,0.11,1.08,1,0.019,0.005,0.11,0.008,0.11,0.007,0.001,0.006,0.001,0.007,0.038,0.088
Andorra,and,3,0.01,0.01,0.02,0.02,0.01,45.23,0.45,0,0.69,0.31,0.45,0.55,85.67,14.33,0.15,0.71,0.91,1,0,0,0,0,0,0,0,0,0,0,0,0
Angola,ago,9,0.16,0.16,0.26,0.35,0.04,17.92,0.18,0.29,0.65,0.35,0.18,0.82,62.42,37.58,0.06,0.12,1.08,1,0.002,0.001,0,0.001,0.001,0.001,0,0,0,0,0.001,0.002
Antigua and Barbuda,atg,10,0,0,0,0.01,0,23.44,0.23,0.77,0.97,0.03,0.23,0.77,11.31,88.69,0.22,0.07,0.83,2,0,0,0.001,0,0.001,0,0,0,0,0,0,0.001
Argentina,arg,10,27.93,27.65,4,5.85,0.29,16.97,0.17,0.13,0.34,0.66,0.17,0.83,31.86,68.14,0.1,0.05,0.83,2,0.025,0.056,0,0.035,0.027,0.016,0,0.003,0,0.012,0.019,0.05
Armenia,arm,6,1.94,1.91,0.13,0.87,0.09,0.9,0.01,0.36,0.4,0.6,0.01,0.99,99,1,0.07,0.11,0.43,1.5,0.004,0.005,0,0.002,0.003,0.003,0,0.001,0,0.001,0.001,0.007
Australia,aus,5,9.59,6.6,2.69,3.74,1.78,31.52,0.32,0.18,0.84,0.16,0.32,0.68,48,52,0.8,0.48,0.78,1,0.042,0.013,0.005,0.016,0.016,0.01,0.002,0.015,0.002,0.007,0.017,0.037
Austria,aut,3,0.09,0.09,2.7,0.61,0.6,45.23,0.45,0,0.7,0.3,0.45,0.55,84.4,15.6,0.15,0.99,0.91,1,0.012,0.01,0.001,0.004,0.004,0.001,0.001,0.011,0.001,0,0.016,0.007
Azerbaijan,aze,6,9.15,9.05,2.31,0.51,0.16,0.9,0.01,0.32,0.78,0.22,0.01,0.99,66.63,33.37,0.07,0.31,0.43,1.5,0.012,0.004,0,0.006,0.004,0.001,0,0.004,0,0.003,0.01,0.004
Bahamas,bhs,10,0.18,0.17,0.03,0.1,0.01,23.44,0.23,0.27,0.79,0.21,0.23,0.77,13.85,86.15,0.22,0.14,0.83,2,0.001,0,0.001,0,0.001,0,0,0,0,0,0,0.001
Bahrain,bhr,8,0.17,0.16,0.02,0.19,0.07,54.2,0.54,0.46,0.23,0.77,0.54,0.46,99,1,8.63,0.35,1.14,1,0.001,0.002,0.019,0.001,0.019,0.001,0,0.001,0,0.001,0.007,0.014
Bangladesh,bgd,11,31.5,31.19,0.77,3.6,0.52,78.97,0.79,0.18,0.18,0.82,0.79,0.21,59.23,40.77,1.79,0.14,0.96,1,0.01,0.07,0.001,0.059,0.01,0.008,0,0.003,0,0.051,0.006,0.024
Barbados,brb,10,0.05,0.05,0.01,0.02,0,23.44,0.23,0.27,0.91,0.09,0.23,0.77,12.07,87.93,0.22,0.15,0.83,2,0,0,0.001,0,0.001,0,0,0,0,0,0,0.001
