# File: A74.sector.csv
# Title: Municipal energy-for-water sector information and logit exponents for subsector (fuel) competition
# Units: NA
# Source: NA
# Column types: ccccncc
supplysector,output.unit,input.unit,price.unit,logit.exponent,final.energy,logit.type
municipal water abstraction,km^3,EJ,1975$/m3,-3,energy-for-water,
municipal water treatment,km^3,EJ,1975$/m3,-3,energy-for-water,
municipal water distribution,km^3,EJ,1975$/m3,-3,energy-for-water,
municipal wastewater treatment,km^3,EJ,1975$/m3,-3,energy-for-water,
