# File: xanthos_basin_runoff.csv
# Title: Maximum runoff by basin
# Source: /pic/projects/GCAM/gcam_hydrology/runs/xanthos/pm_abcd_mrtm/pm_abcd_mrtm_wfdei_1961_2016/Basin_runoff_km3peryear_pm_abcd_mrtm_wfdei_1961_2016.csv
# Comments: computed with Xanthos forced Watch Forcing Data Era Iterim (WFDEI) 1961 - 2016 annual
# Units: km^3/yr
# Column types: icnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
id,name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,Arctic Ocean Islands,207.706581,253.4716458,283.3391664,333.6145445,318.5624697,356.996269,349.6867228,403.0848252,377.6324854,294.7809944,363.3121908,289.4753555,330.8080623,422.0167292,347.5223486,401.0908037,538.2738297,552.1506013,862.2219276,724.6881438,531.1192828,373.1841654,352.4082021,597.3116382,413.565545,381.4450018,389.042756,434.7839372,338.410414,585.7274728,632.4076522,372.8344261,543.156032,428.1297811,389.9388119,368.2726554,376.115195,538.3396896,432.8643391,471.4954248,419.3388651,426.4062209,1552.037653,836.2935328,792.6684565,520.0417276,703.7482077,624.5108278,483.2786813,507.6321487,543.7978131,499.9163276,579.9954754,749.0770222,841.3310832,1041.012574
2,Northwest Territories,322.3511046,452.1343148,412.3822411,419.8329228,400.4075822,479.8996165,422.8830509,476.0496954,484.0959639,468.6277518,503.955441,423.4049826,559.065721,487.5301319,520.9410967,492.4920173,577.5594039,510.8781005,515.0019123,595.2115822,569.5143837,548.9867366,566.722344,573.2351429,568.9421666,560.513762,603.80579,636.5510598,569.023187,599.5540342,621.8234488,580.3679105,661.3652775,593.6662893,693.9456383,654.7094854,658.5442026,712.2983629,651.3037899,656.1987531,707.9345121,758.271447,700.2846811,679.4151564,770.6228385,712.7716269,834.812415,692.5102193,721.7772892,704.8275206,702.3364522,716.6048932,654.9912491,831.0070708,827.5129983,718.461541
3,Siberia North Coast,144.3106337,233.2120803,221.4270913,275.6188682,229.5403697,231.2289451,269.4827844,270.1374682,225.4821889,233.6194785,231.9099402,214.2961013,253.5035464,228.9555275,236.2114821,220.2219256,216.1857583,203.7008426,163.410462,214.9848859,217.5929013,219.6450701,213.3460401,211.8151093,215.4046569,242.3834701,219.3619257,241.1208142,268.9084881,250.7476709,236.4450157,211.7154243,236.0432923,223.1574066,260.1292013,241.035371,208.699947,210.0053645,226.5076758,216.0675841,181.739589,236.7049973,243.143386,232.5496703,242.5374431,216.942576,274.2430743,281.5520871,265.9487061,268.0857371,288.013793,286.1794015,208.2986297,261.6178855,277.2435188,262.7841449
4,Siberia West Coast,565.9454046,789.2483386,789.6920688,724.3421488,816.2612984,918.4419729,946.4279936,916.5966283,925.575252,821.4657395,870.9769372,884.7089013,840.658658,913.0479788,796.3213405,787.4309155,845.4466693,891.8675386,823.4170293,907.016353,787.0285103,847.1464927,785.6700339,800.8595364,892.8820122,824.8913642,883.8307729,825.6429151,817.3182109,871.222706,875.5071777,743.5312279,727.6966916,832.8476247,777.0669015,873.2943888,936.1015225,772.0958302,845.349202,881.7636035,847.4435385,844.0239647,791.1102629,871.4837101,886.2821269,860.3422918,889.7262935,838.8734882,859.3588213,842.6719207,947.491559,827.0549508,974.5989769,1027.219383,990.2865086,872.5354423
5,Kara Sea Coast,160.4893268,227.2994589,209.7319376,250.345341,228.3227423,246.0092021,233.6292668,266.9186223,201.2809283,206.865209,219.6348304,226.6252546,215.0796247,211.4199728,236.2861859,200.498574,198.578575,234.1351547,219.3567496,203.5423002,213.8525887,193.6903324,213.5548876,194.8835037,194.9010053,217.9503685,214.1474239,207.2324274,244.4439725,222.8290812,232.4215058,223.7944458,249.7708062,200.2623486,231.7484034,221.1350962,219.8874211,228.0103133,250.8884844,206.1865846,218.99479,260.5408167,270.847095,247.5721056,228.6745447,208.4636863,249.5788176,247.9098596,231.3004107,233.0370767,254.7961323,246.9484866,211.0386462,264.9873698,261.0561586,205.0333144
6,Lena,326.6887895,348.8383414,352.2392304,354.8930397,384.1290875,383.3587028,392.4158101,383.6439826,360.9689424,417.2763272,409.0237857,376.2451772,406.2034991,430.2554228,415.1909794,400.6016614,420.8368206,429.5950515,405.9777021,431.8214404,435.5066764,445.8747477,462.5442582,402.6248475,409.8077589,395.7890845,403.7579286,498.8532454,456.8044021,424.4318623,462.309678,436.7632923,447.5543085,472.5806904,449.5238574,461.4229349,512.8821803,469.389572,481.3255049,511.7088354,448.1811446,524.4834195,488.8640346,499.0287601,537.2567669,514.5714398,561.1731905,558.3645587,538.9656973,526.4603302,532.1512587,570.7697827,558.5026061,529.1617749,523.0885548,553.6031047
7,Pacific and Arctic Coast,1108.939149,1434.490209,1525.56511,1547.892835,1485.71098,1490.285901,1514.330907,1517.704587,1303.269563,1333.678864,1438.173697,1451.777519,1409.847478,1392.278418,1489.028531,1537.285172,1552.941914,1369.505288,1512.251248,1609.076819,1656.538355,1507.277536,1471.649844,1433.601911,1479.11149,1516.838247,1662.490892,1685.344204,1546.289898,1597.761362,1731.577146,1702.279614,1615.204447,1647.61875,1579.636889,1323.082822,1429.737097,1455.955114,1511.181403,1511.296656,1633.061252,1513.558922,1447.391164,1423.367351,1591.391959,1528.926558,1521.57078,1495.24237,1455.723959,1405.849091,1319.285229,1302.69492,1207.128781,1327.668606,1361.426923,1528.973098
8,Scandinavia North Coast,323.6921984,368.8485995,363.8807762,384.3872249,378.7558428,363.8998517,413.0207375,385.8239155,354.8879838,354.7685716,404.9904886,388.4227718,402.6804426,406.8193955,415.6595417,404.8319095,377.21134,388.2588424,403.973585,352.6736725,425.7258996,412.1747925,443.3114754,425.9848368,379.0438852,398.7506352,396.076285,390.3492155,461.6280437,441.5316019,400.084766,447.8154404,427.3673708,402.0002316,450.6451514,390.7689455,438.6166929,433.0273208,431.4464443,475.1389504,397.6481997,416.7740892,396.2520875,427.9623863,452.4145557,422.4789423,458.4818382,439.8273708,434.9281142,405.4933167,451.9100891,459.4274665,440.8632806,436.293069,460.3368283,431.8431238
9,Russia Barents Sea Coast,144.8901572,209.7310576,215.6661918,203.2126078,204.1550582,256.9959652,212.7243628,218.9751416,197.0604645,189.5096572,228.7216278,206.959127,220.985586,216.4282825,227.774243,230.9506425,197.107323,217.2396468,234.3439779,181.0940945,238.21181,227.3842638,247.0624259,228.6105272,182.8097668,205.123948,224.3582024,181.5013704,195.7816173,216.43574,228.564158,217.7779839,227.0972844,223.0101535,237.2767977,217.5949882,206.8006726,226.8144391,217.9059978,217.0412108,202.9843916,214.8936941,239.5918582,226.6642059,204.0030647,225.5699282,265.1095568,234.7673177,229.2219063,213.6062415,207.9057053,240.5911849,194.2799831,243.1617735,234.3045439,208.2049393
10,Mackenzie,234.5045545,328.0522996,305.6849666,300.3511054,285.0770861,302.5722046,301.0609628,305.3482986,302.7841767,313.7150264,319.6307693,321.0082274,345.0575726,344.7208082,340.3593761,357.1636291,340.3077071,331.3142664,342.792569,335.2634556,346.0284133,366.5082984,353.3140165,366.8416899,370.0078847,379.3471763,376.6015463,398.0321437,384.1382733,382.3595657,411.6970695,390.8353824,393.5471896,406.8146447,377.5925267,404.7912162,431.0228696,389.4323802,400.2322462,403.8123317,415.6339197,410.1277173,415.4370536,406.9017649,451.2012341,430.0957852,452.4818635,448.1535036,459.3127166,432.481904,448.0441938,442.5922917,457.6365031,439.9893973,455.6046562,475.865219
11,Iceland,118.2671788,126.0713378,124.6009743,126.3865018,123.9418082,118.0412741,122.5173022,127.9986122,129.2251763,127.6876427,129.5864931,144.4283966,145.9245079,144.5771479,139.2226876,156.6769931,129.6119529,133.6119369,128.1340587,137.5974714,130.9113397,133.0751416,140.8152322,145.1400029,131.772117,129.4460622,133.5238023,127.9561966,147.0233,137.8803002,138.4180663,151.0213157,148.5910715,139.1795233,139.3541275,139.0271463,138.7981363,131.9729143,143.39058,139.5862688,131.2828219,145.7276387,143.1009913,143.3832327,135.7148099,148.5226832,147.3065688,147.5918616,151.8529774,140.2782844,143.6449215,142.3336614,141.26478,155.3582291,150.4193145,146.7177562
