# File: A227.resource_water_coef_mapping.csv
# Title: Primary energy water demand coefficients
# Units: NA
# Description: Maps water demand for primary energy to assocated supply sectors.
# Mapped to consumption rather than production since we do not have technology representations for the resource sectors
# Column types: ccccc 
# ----------
fuel,supplysector,subsector,technology,minicam.energy.input
coal,regional coal,domestic coal,domestic coal,WaterTD_W_Primary
coal,traded coal,imported coal,imported coal,WaterTD_W_Primary
gas,regional natural gas,domestic natural gas,domestic natural gas,WaterTD_W_Primary
gas,traded natural gas,imported natural gas,imported natural gas,WaterTD_W_Primary
crude oil,regional oil,domestic crude oil,domestic crude oil,WaterTD_W_Primary
crude oil,traded oil,imported crude oil,imported crude oil,WaterTD_W_Primary
nuclear,nuclearFuelGenII,enrichedUranium,enrichedUranium,WaterTD_W_Primary
nuclear,nuclearFuelGenIII,enrichedUranium,enrichedUranium,WaterTD_W_Primary
coal,regional coal,domestic coal,domestic coal,WaterTD_C_Primary
coal,regional coal,imported coal,imported coal,WaterTD_C_Primary
gas,regional natural gas,domestic natural gas,domestic natural gas,WaterTD_C_Primary
gas,regional natural gas,imported natural gas,imported natural gas,WaterTD_C_Primary
crude oil,regional oil,domestic crude oil,domestic crude oil,WaterTD_C_Primary
crude oil,regional oil,imported crude oil,imported crude oil,WaterTD_C_Primary
nuclear,nuclearFuelGenII,enrichedUranium,enrichedUranium,WaterTD_C_Primary
nuclear,nuclearFuelGenIII,enrichedUranium,enrichedUranium,WaterTD_C_Primary
