# File: A_desal_basin_share.csv
# Title: Basin-within-country shares of desalinated water production
# Units: Unitless shares
# Comments: This table sets the portional allocations of desalinated seawater production from country to basin (GLU)
# Source: Values other than 1 are based on internet searches of locations and capacities of desalination plants
# Column types: cccn
iso,country_name,GLU_code,share
ago,Angola,GLU182,1
are,United Arab Emirates,GLU094,1
arg,Argentina,GLU215,1
atg,Antigua and Barbuda,GLU101,1
aus,Australia,GLU189,0.54
aus,Australia,GLU191,0.27
aus,Australia,GLU202,0.19
aut,Austria,GLU054,1
bhr,Bahrain,GLU094,1
bhs,Bahamas,GLU101,1
bra,Brazil,GLU186,1
brb,Barbados,GLU101,1
can,Canada,GLU007,1
chl,Chile,GLU169,0.5
chl,Chile,GLU207,0.5
chn,China,GLU066,0.5
chn,China,GLU078,0.5
cpv,Cabo Verde,GLU142,1
cub,Cuba,GLU101,1
cyp,Cyprus,GLU063,1
cze,Czech Republic,GLU031,1
dji,Djibouti,GLU100,1
dnk,Denmark,GLU021,1
dza,Algeria,GLU080,0.8
dza,Algeria,GLU086,0.2
ecu,Ecuador,GLU157,1
egy,Egypt,GLU100,1
esp,Spain,GLU060,1
fin,Finland,GLU013,1
fra,France,GLU041,1
gbr,United Kingdom,GLU026,1
grc,Greece,GLU055,1
hnd,Honduras,GLU135,1
hun,Hungary,GLU054,1
idn,Indonesia,GLU175,0.5
idn,Indonesia,GLU165,0.5
ind,India,GLU145,0.5
ind,India,GLU129,0.5
irl,Ireland,GLU024,1
irn,Iran,GLU088,1
irq,Iraq,GLU084,1
isr,Israel,GLU075,1
ita,Italy,GLU059,0.5
ita,Italy,GLU050,0.5
jam,Jamaica,GLU101,1
jor,Jordan,GLU095,1
jpn,Japan,GLU051,1
kaz,Kazakhstan,GLU052,1
kna,Saint Kitts and Nevis,GLU101,1
kor,Republic of Korea,GLU065,1
kwt,Kuwait,GLU094,1
lbn,Lebanon,GLU075,1
lby,Libya,GLU080,1
mar,Morocco,GLU086,1
mdv,Maldives,GLU190,1
mex,Mexico,GLU091,1
mhl,Marshall Islands,GLU185,1
mlt,Malta,GLU063,1
mng,Mongolia,GLU042,1
mrt,Mauritania,GLU086,1
mys,Malaysia,GLU139,1
nam,Namibia,GLU196,1
nga,Nigeria,GLU142,1
nic,Nicaragua,GLU135,1
nor,Norway,GLU008,1
omn,Oman,GLU094,1
per,Peru,GLU180,1
pol,Poland,GLU033,1
prt,Portugal,GLU060,1
pry,Paraguay,GLU206,1
qat,Qatar,GLU094,1
sau,Saudi Arabia,GLU094,0.4
sau,Saudi Arabia,GLU093,0.6
sen,Senegal,GLU142,1
sgp,Singapore,GLU139,1
slv,El Salvador,GLU135,1
som,Somalia,GLU100,1
swe,Sweden,GLU012,1
syc,Seychelles,GLU190,1
tjk,Tajikistan,GLU058,1
tkm,Turkmenistan,GLU052,1
tto,Trinidad and Tobago,GLU143,1
tun,Tunisia,GLU080,1
tur,Turkey,GLU075,1
usa,United States of America,GLU217,0.14
usa,United States of America,GLU225,0.16
usa,United States of America,GLU226,0.7
ven,Venezuela,GLU143,1
yem,Yemen,GLU093,1
zaf,South Africa,GLU198,0.8
zaf,South Africa,GLU204,0.2
