# File: basin_to_country_mapping.csv
# Title: Mapping between basins, countries, and GLUs
# Units: NA
# Comments: Basin assigned to the country which has the largest basin area.
# Source: NA
# Column types: iccccici
# ----------
GCAM_basin_ID,Basin_long_name,GLU_code,GLU_name,ISO,ISO_NUM,Country_name,desal
1,Arctic_Ocean_Islands,GLU001,ArcticIsl,GRL,304,Greenland,0
2,Northwest_Territories,GLU002,NWTerr,CAN,124,Canada,0
3,Siberia_North_Coast,GLU003,SiberiaN,RUS,643,Russian Federation,0
4,Siberia_West_Coast,GLU004,SiberiaW,RUS,643,Russian Federation,0
5,Kara_Sea_Coast,GLU005,KaraSea,RUS,643,Russian Federation,0
6,Lena,GLU006,LenaR,RUS,643,Russian Federation,0
7,Pacific_and_Arctic_Coast,GLU007,PacArctic,USA,840,United States,1
8,Scandinavia_North_Coast,GLU008,ScndnvN,NOR,578,Norway,1
9,Russia_Barents_Sea_Coast,GLU009,BarentsSea,RUS,643,Russian Federation,0
10,Mackenzie,GLU010,Mackenzie,CAN,124,Canada,1
11,Iceland,GLU011,Iceland,ISL,352,Iceland,0
12,Sweden,GLU012,Sweden,SWE,752,Sweden,1
13,Finland,GLU013,Finland,FIN,246,Finland,1
14,Northern_Dvina,GLU014,DvinaRN,RUS,643,Russian Federation,0
15,Hudson_Bay_Coast,GLU015,HudsonBay,CAN,124,Canada,0
16,Scotland,GLU016,Scotland,GBR,826,United Kingdom,1
17,Neva,GLU017,NevaR,RUS,643,Russian Federation,0
18,Volga,GLU018,VolgaR,RUS,643,Russian Federation,0
19,Atlantic_Ocean_Seaboard,GLU019,CanAtl,CAN,124,Canada,0
20,Baltic_Sea_Coast,GLU020,BalticSea,LVA,428,Latvia,0
21,Denmark_Germany_Coast,GLU021,DnkGrmCst,DNK,208,Denmark,1
22,Narva,GLU022,NarvaR,RUS,643,Russian Federation,0
23,Saskatchewan_Nelson,GLU023,NelsonR,CAN,124,Canada,1
24,Ireland,GLU024,Ireland,IRL,372,Ireland,1
25,Daugava,GLU025,DaugavaR,BLR,112,Belarus,0
26,England_and_Wales,GLU026,EngWales,GBR,826,United Kingdom,1
27,Fraser,GLU027,FraserR,CAN,124,Canada,0
28,Ems_Weser,GLU028,EmsWeserR,DEU,276,Germany,0
29,Oder,GLU029,OderR,POL,616,Poland,0
30,Wisla,GLU030,WislaR,POL,616,Poland,0
