# File: A71.globaltech_cost.csv
# Title: Desalination non-energy costs
# Units: 1975$ per cubic meter of desalinated water (1975$/m3)
# Source: RO tech cost estimated as total costs (about $2400/acre-foot, in 2016 dollars) minus fuel costs (36%), from CA Dept of Water Resources 2016. https://water.ca.gov/-/media/DWR-Website/Web-Pages/Programs/California-Water-Plan/Docs/RMS/2016/09_Desalination_July2016.pdf
# Column types: ccccnn
supplysector,subsector,technology,minicam.non.energy.input,1971,2100
desalinated water,electricity,reverse osmosis,non-energy,0.38,0.38
desalinated water,refined liquids,distillation,non-energy,0.05,0.05
desalinated water,gas,distillation,non-energy,0.05,0.05
