supplysector,subsector,technology,1975,1980,1985,1990,1995,2000,2005,2008
building,biomass,biomass,0.4455227,0.856436,0.9580854,0.5672003,0.6428717,0.5461665,0.5767535,0.5464598
building,coal,coal,0.6706514,0.3317223,0.3834688,0.4038322,0.126099165,0.0928923,0.0881157,0.0726127
building,electricity,electricity,3.790934316,4.540489488,5.257536738,6.343097072,7.101750999,8.391565202,9.961233352,10.31842822
building,gas,gas,7.2027776,7.1704308,6.7256623,6.8635552,7.711732466,7.939212,7.6043891,7.7821289
building,refined liquids,refined liquids,4.3579771,3.0946502,2.4899494,1.9976244,1.8974834,2.0347897,1.905612,1.5798814
industrial energy use,biomass,biomass,1.0928777,1.4220441,1.7547301,0.5029969,1.1143385,1.2102007,0.9906496,0.880365
industrial energy use,coal,coal,2.651095968,2.503549652,2.434778088,2.189027248,1.652426236,1.623763971,1.380841549,1.482056344
industrial energy use,electricity,electricity,2.37962859,2.790662998,2.854553165,3.284846517,3.863283064,4.22163936,3.470601574,3.429639867
industrial energy use,gas,gas,7.5445559,7.625381,6.3153775,5.4991308,5.298152134,6.3249544,5.2755094,5.5041654
industrial energy use,refined liquids,refined liquids,3.0718566,4.4065811,3.5374494,2.4454123,1.4756411,1.772163,2.1149779,2.0273764
industrial energy use,biomass,biomass cogen,0,0,0,1.113966,0.66285,0.662436,0.612612,0.589068
industrial energy use,coal,coal cogen,0,0,0,0.3595824,0.499248,0.6240384,0.2866752,0.2860128
industrial energy use,gas,gas cogen,0,0,0,1.4269392,2.727504,1.24956,1.096056,1.1737728
industrial energy use,refined liquids,refined liquids cogen,0,0,0,0.0783504,0.2972736,0.0899568,0.214704,0.1284624
industrial feedstocks,biomass,biomass,0,0,0,0,0,0,0,0
industrial feedstocks,coal,coal,0,0,0,0,0,0,0,0
industrial feedstocks,gas,gas,0,0,0,0.5818234,0.5935554,0.7300656,0.602522,0.4140558
industrial feedstocks,refined liquids,refined liquids,3.5055635,4.2712441,3.6010536,4.4061202,5.3038277,5.6818495,6.0961148,5.4182985
trn_air,refined liquids,refined liquids,2.1458247,2.3445564,2.6527309,3.227996837,3.208941154,3.665308566,3.554132527,3.212985063
trn_domestic ship,coal,coal,0,0,0,0,0,0,0,0
trn_domestic ship,refined liquids,refined liquids,0.1061746,0.0498191,0.1955473,0.162044144,0.139371296,0.142298093,0.166359365,0.145655659
trn_international ship,refined liquids,refined liquids,0.4400757,1.1696804,0.7247862,1.20362415,1.196728702,1.175091944,1.08194425,0.948251488
trn_rail,coal,coal,0,0,0,0,0,0,0,0
trn_rail,electricity,electricity,0.014115981,0.011109026,0.01436656,0.014825956,0.013823638,0.015870037,0.026979064,0.027647276
trn_rail,refined liquids,refined liquids,0.558527,0.5846307,0.4298102,0.439978487,0.44200731,0.417245528,0.506252737,0.423160951
trn_road,electricity,electricity,0,0,0,0,0,0,0,0
trn_road,gas,gas,0,0,0,0,0.0025978,0.0105588,0.0223746,0.0275702
trn_road,refined liquids,refined liquids,13.9830356,14.4909055,15.0187617,16.48091698,18.26091514,20.57650557,22.21944352,21.72665434
