Technology Definitions,,,,0,Include Bio CCS,,,,,,,,

INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
16,,,,,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input
Techology Efficiencies,,,,,efficiency,efficiency,efficiency,efficiency,efficiency,efficiency,efficiency,efficiency,efficiency
region,Supply Sector,Subsector,Technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,H2 Central Production,gas chemical,natural gas steam reforming,regional natural gas,0.73,0.73,0.73,0.73,0.77,0.78,0.79,0.80,0.82
ALL,H2 Central Production,gas chemical,natural gas steam reforming CCS,regional natural gas,0.73,0.73,0.73,0.73,0.79,0.80,0.81,0.82,0.84
ALL,H2 Central Production,coal chemical,coal chemical,regional coal,0.54,0.54,0.54,0.54,0.59,0.60,0.61,0.62,0.63
ALL,H2 Central Production,coal chemical,coal chemical CCS,regional coal,0.59,0.59,0.59,0.59,0.64,0.65,0.66,0.67,0.68
ALL,H2 Central Production,biomass to H2,biomass to H2,regional biomass,0.45,0.45,0.45,0.45,0.49,0.50,0.51,0.52,0.52
ALL,H2 Central Production,electrolysis,electrolysis,elect_td_ind,0.63,0.63,0.63,0.63,0.71,0.72,0.73,0.75,0.76
ALL,H2 Central Production,nuclear,thermal splitting,nuclearFuelGenIII,0.85,0.85,0.85,0.85,0.85,0.86,0.88,0.89,0.90
ALL,H2 Central Production,wind,electrolysis,wind_no_backup,0.63,0.63,0.63,0.63,0.71,0.72,0.73,0.75,0.76
ALL,H2 Central Production,solar,electrolysis,solar_no_backup,0.63,0.63,0.63,0.63,0.71,0.72,0.73,0.75,0.76
ALL,H2 Forecourt Production,gas chemical,natural gas steam reforming,delivered gas,0.72,0.72,0.72,0.72,0.82,0.84,0.85,0.86,0.87
ALL,H2 Forecourt Production,electrolysis,electrolysis,elect_td_trn,0.60,0.60,0.60,0.60,0.68,0.69,0.70,0.72,0.73
ALL,H2_td,H2_td,H2_td,H2 Central Production,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALL,H2 Enduse,H2 Enduse,H2_td,H2_td,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ALL,H2 Enduse,H2 Enduse,H2 Forecourt Production,H2 Forecourt Production,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
,H2 Central Production,biomass to H2,biomass to H2 CCS,regional biomass,0.45,0.45,0.45,0.45,0.49,0.50,0.51,0.52,0.52


INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
18,,,,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input
Techology non-energy Costs,,,,costs,costs,costs,costs,costs,costs,costs,costs,costs,
region,Supply Sector,Subsector,Technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,
ALL,H2 Central Production,gas chemical,natural gas steam reforming,1.03,1.03,1.03,1.03,0.82,0.76,0.71,0.66,0.61,
ALL,H2 Central Production,gas chemical,natural gas steam reforming CCS,1.58,1.58,1.58,1.58,1.19,1.11,1.03,0.95,0.88
ALL,H2 Central Production,coal chemical,coal chemical,3.00,3.00,3.00,3.00,2.29,2.13,1.98,1.83,1.70
ALL,H2 Central Production,coal chemical,coal chemical CCS,3.88,3.88,3.88,3.88,3.00,2.78,2.58,2.40,2.22
ALL,H2 Central Production,biomass to H2,biomass to H2,2.98,2.98,2.98,2.98,2.28,2.12,1.96,1.82,1.69
ALL,H2 Central Production,electrolysis,electrolysis,7.40,7.40,7.40,7.40,4.17,3.87,3.59,3.33,3.09
ALL,H2 Central Production,nuclear,thermal splitting,7.00,7.00,7.00,7.00,4.44,4.12,3.82,3.55,3.29
ALL,H2 Central Production,wind,electrolysis,7.40,7.40,7.40,7.40,7.40,6.86,6.37,5.91,5.48
ALL,H2 Central Production,solar,electrolysis,7.40,7.40,7.40,7.40,7.40,6.86,6.37,5.91,5.48
ALL,H2 Forecourt Production,gas chemical,natural gas steam reforming,6.46,6.46,6.46,6.46,4.43,4.11,3.82,3.54,3.29
ALL,H2 Forecourt Production,electrolysis,electrolysis,7.40,7.40,7.40,7.40,7.40,6.86,6.37,5.91,5.48
ALL,H2_td,H2_td,H2_td,6.07,6.07,6.07,6.07,5.06,4.69,4.36,4.04,3.75
ALL,H2 Enduse,H2 Enduse,H2_td,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALL,H2 Enduse,H2 Enduse,H2 Forecourt Production,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,H2 Central Production,biomass to H2,biomass to H2 CCS,3.88,3.88,3.88,3.88,3.00,2.78,2.58,2.40,2.22
