# File: MOVES_motorcycle_data.csv
# Title: Emissions and Distance data for motorcycles to be used for EF calculations
# Units: emissions are in g/year (mass) and distance is in miles
# Source: EPA-ORD Dan Loughlin using MOVES 3.0. Ran 4 month per year one county per state chosen at random
# Column types: nnnnnnnnnnnnn
# ----------
Year,State,ModelYr,NH3,CO,CH4,N2O,NOx,Total_PM10,Total_PM25,SO2,VOC,Distance
2010,1,1980,274,789721,18709,59,8427,1802,1594,116,330357,16350
2010,1,1981,42,90125,1221,9,2417,57,50,18,38348,2494
2010,1,1982,46,99594,1349,10,2671,63,56,20,40101,2756
2010,1,1983,51,109811,1487,11,2947,69,61,22,42469,3041
2010,1,1984,57,123680,1675,12,3319,78,69,24,45214,3425
2010,1,1985,65,141056,1910,14,3786,89,79,28,48596,3906
2010,1,1986,79,123615,1222,17,3852,108,95,33,49648,4719
2010,1,1987,60,94512,934,13,2944,82,73,26,36163,3607
2010,1,1988,51,80386,794,11,2503,70,62,22,29401,3066
2010,1,1989,53,83512,825,12,2599,73,64,23,29891,3184
2010,1,1990,50,78050,771,11,2428,68,60,21,27359,2975
2010,1,1991,68,77985,770,11,2425,68,60,23,21315,2971
2010,1,1992,86,98633,973,14,3066,86,76,30,26337,3756
2010,1,1993,123,141680,1397,19,4402,123,109,43,36796,5392
2010,1,1994,144,164670,1629,23,5161,144,127,51,41974,6318
2010,1,1995,181,206463,2042,29,6468,181,160,65,51326,7918
2010,1,1996,230,262359,2593,29,8214,229,203,84,54845,10056
2010,1,1997,267,305122,3014,34,9548,267,236,99,60800,11688
2010,1,1998,348,397476,3924,44,12430,347,307,130,66199,15217
2010,1,1999,497,568344,5608,62,17763,496,439,189,89506,21744
2010,1,2000,702,803013,7918,88,25081,700,619,267,123019,30703
2010,1,2001,940,1075147,10241,118,32854,1046,925,358,154336,41116
2010,1,2002,1211,1385395,13197,152,42334,1348,1193,461,193293,52980
2010,1,2003,1627,1861593,17733,204,56886,1811,1602,619,251756,71191
2010,1,2004,1649,1374315,12601,207,47247,1836,1624,628,215285,72160
2010,1,2005,2235,1862630,17078,280,64035,2488,2201,851,280149,97799
2010,1,2006,6887,2324575,21292,350,79899,3106,2747,1061,333894,122054
2010,1,2007,8198,2767366,25347,417,95118,3697,3271,1264,377396,145304
2010,1,2008,8049,1732522,14479,409,87327,3630,3211,1241,287091,142656
2010,1,2009,8626,1856704,15517,438,93586,3890,3441,1330,280333,152881
2010,1,2010,7101,1528162,12771,361,77038,3202,2833,1094,198167,125849
