# File: IMO_Shipping_EF.csv
# Title: Emission factors for shipping in GCAM-USA
# Units: kg/kg
# Source: Fourth IMO GHG Study 2020 (MEPC 75-7-15)
# Column types: ccnnnnnnn
# ----------
pollutant,CEDS_Fuel,2012,2013,2014,2015,2016,2017,2018
CO2,heavy_oil,3.114,3.114,3.114,3.114,3.114,3.114,3.114
CO2,diesel_oil,3.206,3.206,3.206,3.206,3.206,3.206,3.206
CO2,natural_gas,2.75,2.75,2.749,2.749,2.75,2.753,2.755
CH4,heavy_oil,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
CH4,diesel_oil,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005
CH4,natural_gas,0.00531,0.006,0.00735,0.00848,0.0102,0.01122,0.01196
N2O,heavy_oil,0.00017,0.00017,0.00017,0.00017,0.00018,0.00018,0.00018
N2O,diesel_oil,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018
N2O,natural_gas,0.00008,0.00008,0.00008,0.00009,0.00009,0.0001,0.0001
NOx,heavy_oil,0.07861,0.07718,0.07619,0.07698,0.07671,0.07667,0.0759
NOx,diesel_oil,0.05312,0.05251,0.05214,0.05768,0.05745,0.05762,0.05671
NOx,natural_gas,0.0056,0.0059,0.00582,0.00599,0.00746,0.01095,0.01344
CO,heavy_oil,0.00284,0.00283,0.00284,0.00286,0.00286,0.00287,0.00288
CO,diesel_oil,0.00248,0.00247,0.00247,0.00258,0.00258,0.0026,0.00259
CO,natural_gas,0.00188,0.00207,0.00238,0.00264,0.0031,0.00357,0.00397
NMVOC,heavy_oil,0.00314,0.00313,0.00313,0.00317,0.00318,0.00319,0.0032
NMVOC,diesel_oil,0.00216,0.00215,0.00215,0.00239,0.00239,0.00242,0.0024
NMVOC,natural_gas,0.00081,0.00088,0.00099,0.00109,0.00126,0.00144,0.00159
SOx,heavy_oil,0.04663,0.0448,0.04531,0.0479,0.05044,0.05083,0.05083
SOx,diesel_oil,0.00274,0.00254,0.00235,0.00156,0.00156,0.00156,0.00137
SOx,natural_gas,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003
PM,heavy_oil,0.00711,0.00696,0.00701,0.00726,0.00748,0.00753,0.00755
PM,diesel_oil,0.00097,0.00096,0.00094,0.00092,0.00092,0.00092,0.0009
PM,natural_gas,0.00011,0.00011,0.00011,0.00011,0.00011,0.00011,0.00011
PM2.5,heavy_oil,0.00654,0.00641,0.00645,0.00668,0.00688,0.00693,0.00694
PM2.5,diesel_oil,0.0009,0.00088,0.00087,0.00084,0.00084,0.00085,0.00083
PM2.5,natural_gas,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
BC,heavy_oil,0.00026,0.00027,0.00027,0.00026,0.00026,0.00026,0.00026
BC,diesel_oil,0.00043,0.00043,0.00043,0.00037,0.00037,0.00037,0.00038
BC,natural_gas,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
