# File: CEDS_to_CEDS_sector_mapping.csv
# Title: mapping file for CEDS sectors used for NEI/SCC to CEDS sectors used in the GCAM data system
# Units: NA
# Source: NA - Mapping file
# Column types: cccc
# ----------
Core_CEDS,SCC_CEDS_extended,Agg_CEDS_for_scaling,Notes
11A_Volcanoes,,not in gcam,
11C_Other-natural,11C_Other-natural,not in gcam,
1A1a_Electricity-autoproducer,1A2a_Ind-Comb,1A1B_Industrial_and_Buildings,
1A1a_Electricity-public,1A1a_Public-Electricity,1A1a_Electricity-public,
1A1a_Heat-production,,1A1B_Industrial_and_Buildings,"a portion of this is in the commercial sector, but most is in industry"
1A1bc_Other-transformation,1A1b_Pet-refining,1A1B_Industrial_and_Buildings,"emissions from petroleum consumption for refining, grouping with fugitive emissions"
1A1bc_Other-transformation,1A1c_Coke-ovens,1A1B_Industrial_and_Buildings,
1A1bc_Other-transformation,1A1g_Other-energy-transf,1A1B_Industrial_and_Buildings,
1A2a_Ind-Comb-Iron-steel,,1A1B_Industrial_and_Buildings,
1A2b_Ind-Comb-Non-ferrous-metals,,1A1B_Industrial_and_Buildings,
1A2c_Ind-Comb-Chemicals,1A2c_Chemicals,1A1B_Industrial_and_Buildings,"make sure this is combustion (confirmed, combustion)"
1A2d_Ind-Comb-Pulp-paper,,1A1B_Industrial_and_Buildings,
1A2e_Ind-Comb-Food-tobacco,,1A1B_Industrial_and_Buildings,
1A2f_Ind-Comb-Non-metalic-minerals,1A2f_Ind-Comb-Non-metalic-minerals,1A1B_Industrial_and_Buildings,
1A2g_Ind-Comb-Construction,1A2g_Construction_and_Mining,1A1B_Industrial_and_Buildings,
1A2g_Ind-Comb-machinery,,1A1B_Industrial_and_Buildings,
1A2g_Ind-Comb-mining-quarying,,1A1B_Industrial_and_Buildings,
1A2g_Ind-Comb-other,1A2g_Industry-other,1A1B_Industrial_and_Buildings,
1A2g_Ind-Comb-textile-leather,,1A1B_Industrial_and_Buildings,
1A2g_Ind-Comb-transpequip,,1A1B_Industrial_and_Buildings,
1A2g_Ind-Comb-wood-products,,1A1B_Industrial_and_Buildings,
,1A2_Industrial_fuel_comb_off_hwy,1A1B_Industrial_and_Buildings,
,1A2_Industrial_fuel_combustion,1A1B_Industrial_and_Buildings,
1A3ai_International-aviation,,1A3eii_Other-transp,
1A3aii_Domestic-aviation,1A3aii_Domestic-aviation,1A3aii_Domestic-aviation,
,1A3b_Road-noncomb,1A3b_Road,
1A3b_Road,1A3bi_Road,1A3b_Road,This extended sector was created to aggregate all CEDS Road sectors for interpolation purposes
1A3b_Road,1A3bii_Road-LDV,1A3b_Road,
1A3b_Road,1A3bii_Road-truck-Light-Commertial,1A3b_Road,
1A3b_Road,1A3biii_Road-bus,1A3b_Road,
1A3b_Road,1A3biii_Road-heavy-duty-trucks-buses,1A3b_Road,
1A3b_Road,1A3biii_Road-truck-Long-haul,1A3b_Road,
1A3b_Road,1A3biii_Road-truck-Short-haul,1A3b_Road,
1A3b_Road,1A3biii_Road-truck-heavy,1A3b_Road,
1A3b_Road,1A3biii_Road-truck-medium,1A3b_Road,
1A3b_Road,1A3biii_Road-truck-medium-heavy,1A3b_Road,
1A3b_Road,1A3biv_Road-mopeds-motorcycles,1A3b_Road,
1A3c_Rail,1A3c_Rail,1A3c_Rail,
1A3di_International-shipping,,1A3eii_Other-transp,
1A3di_Oil_Tanker_Loading,,1A3eii_Other-transp,
1A3dii_Domestic-navigation,1A3dii_Domestic-navigation (shipping),1A3dii_Domestic-navigation (shipping),
1A3eii_Other-transp,1A3eii_Other-unspecified-transp,1A3eii_Other-transp,
1A4a_Commercial-institutional,1A4ai_Commercial-institutional-stationary,1A1B_Industrial_and_Buildings,
1A4a_Commercial-institutional,1A4aii_Commercial-institutional-mobile,1A1B_Industrial_and_Buildings,
1A4b_Residential,1A4bi_Residential-mobile,1A1B_Industrial_and_Buildings,
1A4b_Residential,1A4bi_Residential-stationary,1A1B_Industrial_and_Buildings,
1A4c_Agriculture-forestry-fishing,1A4c_Agriculture-forestry-fishing,1A1B_Industrial_and_Buildings,
,1A5_Recreational-Equipment-Land,1A1B_Industrial_and_Buildings,
1A5_Other-unspecified,1A5_Recreational-Equipment-Marine,1A1B_Industrial_and_Buildings,
1B1_Fugitive-solid-fuels,,not in NEI,not in NEI
1B2_Fugitive-petr,1B2ai_Fugitive-petr-prod,1A1B_Industrial_and_Buildings,USA level resource production
1B2_Fugitive-petr,1B2aiv_Fugitive-petr-refining,1A1B_Industrial_and_Buildings,state level refining
1B2_Fugitive-petr,1B2av_Fugitive-petr-distr,1A1B_Industrial_and_Buildings,state level distribution
1B2_Fugitive-petr,1B2av_Fugitive-petr-distr-marine,1A1B_Industrial_and_Buildings,group with 1B2av_Fugitive-petr-distr
1B2b_Fugitive-NG-distr,1B2b_Fugitive-NG-prod-distr,1A1B_Industrial_and_Buildings,keep at national level for natural gas resource production
1B2b_Fugitive-NG-prod,,1A1B_Industrial_and_Buildings,
1B2d_Fugitive-other-energy,,1A1B_Industrial_and_Buildings,
2A1_Cement-production,2A1_Cement-production,2ABCH_Industrial_processes,
2A2_Lime-production,2A2_Lime-production,2ABCH_Industrial_processes,
,2A5b_Construction-and-demolition,2ABCH_Industrial_processes,
2A6_Other-minerals,2A6_Other-minerals,2ABCH_Industrial_processes,
2B_Chemical-industry,2B_Chemicals-other,2ABCH_Industrial_processes,
2B2_Chemicals-Nitric-acid,,2ABCH_Industrial_processes,
2B3_Chemicals-Adipic-acid,,2ABCH_Industrial_processes,
2C_Metal-production,2C_Iron-steel-alloy,2ABCH_Industrial_processes,
2C_Metal-production,2C3_Aluminum-production,2ABCH_Industrial_processes,
2C_Metal-production,2C5_Lead-production,2ABCH_Industrial_processes,
2C_Metal-production,2C6_Zinc-production,2ABCH_Industrial_processes,
2C_Metal-production,2C7_Other-metal,2ABCH_Industrial_processes,
2C_Metal-production,2C7a_Copper-production,2ABCH_Industrial_processes,
2C_Metal-production,2C7b_Nickel-production,2ABCH_Industrial_processes,
2D_Degreasing-Cleaning,2D3a_Domestic-solvent-use,2D_Solvents,
2D_Degreasing-Cleaning,2D3e_Degreasing,2D_Solvents,
2D_Degreasing-Cleaning,2D3f_Dry-cleaning,2D_Solvents,
2D_Paint-application,2D3d_Coating-application,2D_Solvents,
2D3_Chemical-products-manufacture-processing,,2D_Solvents,
2D3_Other-product-use,2D3i_Other-solvent-use,2D_Solvents,
,2D3c_Asphalt-roofing,2D_Solvents,
,2D3h_Printing,2D_Solvents,
2H_Pulp-and-paper-food-beverage-wood,2H1_Pulp-and-paper,2ABCH_Industrial_processes,
2H_Pulp-and-paper-food-beverage-wood,2H2_Food-and-beverage,2ABCH_Industrial_processes,
2H_Pulp-and-paper-food-beverage-wood,2I_Wood-processing,2ABCH_Industrial_processes,
,2H2_Ethanol Production,1A1bc_Other-transformation,keep NEI emissions if scaling factor is large/small
,2H2_Biodiesel Production,1A1bc_Other-transformation,
2L_Other-process-emissions,2H3_Other-industrial-processes,2ABCH_Industrial_processes,
3B_Manure-management,3B2_Manure-sheep,3B_Manure-management,
3B_Manure-management,3B3_Manure-swine,3B_Manure-management,
3B_Manure-management,3B4_Manure-other,3B_Manure-management,
3B_Manure-management,3B4_Manure-poultry,3B_Manure-management,
3B_Manure-management,3B4d_Manure-goats,3B_Manure-management,
3B_Manure-management,3B1a_Cattle-dairy,3B_Manure-management,
3B_Manure-management,3B1b_Cattle-non-dairy,3B_Manure-management,
3D_Rice-Cultivation,,3I_Agriculture-other,
3D_Soil-emissions,,3I_Agriculture-other,
3E_Enteric-fermentation,,3I_Agriculture-other,
3I_Agriculture-other,3Da1_Inorganic-N-fertilizers,3I_Agriculture-other,
3I_Agriculture-other,3Dc_Other-farm,3I_Agriculture-other,
3I_Agriculture-other,3Df_Use-of-pesticides,3I_Agriculture-other,
3I_Agriculture-other,3F_Ag-res-on-field,3I_Agriculture-other,
5A_Solid-waste-disposal,5A_Solid-waste-disposal,5A_Solid-waste-disposal,
5C_Waste-incineration,5C_Incineration,5C_Waste-incineration,
5C_Waste-incineration,5C_Open-burning-commercial,5C_Waste-incineration,
5C_Waste-incineration,5C_Open-burning-dump,5C_Waste-incineration,
5C_Waste-incineration,5C_Open-burning-industrial,5C_Waste-incineration,
5C_Waste-incineration,5C_Open-burning-land-clearing,5C_Waste-incineration,
5C_Waste-incineration,5C_Open-burning-residential,5C_Waste-incineration,
5C_Waste-incineration,5C_Open-burning-yard-waste,5C_Waste-incineration,
5C_Waste-incineration,5C_Other-open-burning,5C_Waste-incineration,
,5B_Compost-biogas,5A_Solid-waste-disposal,
5D_Wastewater-handling,5D3_Wastewater-commertial,5D_Wastewater-handling,
5D_Wastewater-handling,5D1_Wastewater-domestic,5D_Wastewater-handling,
5D_Wastewater-handling,5D2_Wastewater-industrial,5D_Wastewater-handling,
5E_Other-waste-handling,5E_Other-waste,5E_Other-waste-handling,
6A_Other-in-total,6A_Other-commertial,5C_Waste-incineration,
6B_Other-not-in-total,,not in gcam,
7A_Fossil-fuel-fires,,not in gcam,
7BC_Indirect-N2O-non-agricultural-N,,not in gcam,
3F_Agricultural-residue-burning-on-fields,,not in gcam,
11B_Forest-fires,,not in gcam,
11B_Deforestation,,not in gcam,
11B_Grassland-fires,,not in gcam,
