# File: inventory_fgas.csv
# Title: National HFC PFC and CO2 emissions for air conditioning refrigeration and other industrial processes
# Description: Table 4-127: Emissions of HFCs PFCs and CO2 from ODS Substitutes MMT CO2 Eq. by Sector
# Units: MMT CO2eq
# Source: https://www.epa.gov/ghgemissions/inventory-us-greenhouse-gas-emissions-and-sinks-1990-2022
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Refrigeration/Air Conditioning,0,0,1.1,5,12.1,19.5,28.5,38,45.2,52.7,59.6,66.7,70.9,74.6,78.4,83,88.2,94.1,100.8,106.9,110.9,112.1,113,113.5,116,118.3,120,120.4,122.7,126.5,130.6,139.5,144.6
Commercial Refrigeration,0,0,0,0.2,0.4,1,1.8,2.8,3.9,5.4,6.4,7.8,9.3,10.8,12.2,14.9,17.9,21.7,26.1,30.4,33.8,36.8,39,40.7,41.9,42.3,42.2,40.8,39.6,40.2,40.6,41,41.4
Domestic Refrigeration,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.6,0.9,1,1,1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1
Industrial Process Refrigeration,0,0,0,0,0.1,0.2,0.3,0.4,0.5,0.7,0.8,1,1.2,1.4,1.6,1.8,2.1,2.3,2.6,3.5,4.6,5.7,6.8,7.9,9,10.2,11.4,12.6,13.8,15,16.2,17.4,18.6
Transport Refrigeration,0,0,0,0,0.1,0.2,0.3,0.4,0.5,0.7,0.8,0.9,1.1,1.2,1.4,1.6,1.7,2,2.2,2.4,2.9,3.4,3.9,4.4,4.9,5.4,5.9,6.4,6.9,7.4,7.9,8.4,8.8
Mobile Air Conditioning,0,0,1.1,4.6,11.2,17.7,25.5,33.7,39.3,45,50.3,55.5,57.6,59,60.7,61.5,62.4,62.9,63.3,62.4,59.2,53.7,48.4,42.9,39.9,37.2,34,30.7,28.7,26.6,24.6,22.9,20.8
Residential Stationary Air Conditioning,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.5,0.8,1.2,2.1,2.9,3.9,4.9,6.7,8.4,10.3,12.5,14.8,17.3,20.1,23.1,26.2,29.4,33.2,41.5,46.4
Commercial Stationary Air Conditioning,0,0,0,0.1,0.3,0.5,0.6,0.7,0.8,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,2,2.1,2.4,2.8,3.2,3.6,4.1,4.5,4.8,5.2,5.7,6.2,6.6,6.9,7.3,7.6
Aerosols,0.2,0.5,0.5,0.5,1.3,8.8,10.1,11.2,11.8,12.2,12.3,12,11.6,11.2,10.7,10.2,10.9,11.8,12.5,14,15.6,16.7,17.5,18.3,19,19.7,18.7,17.7,16.7,17,17.3,17.7,17
Foams,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.3,0.3,1.5,2.8,3.1,3.5,3.8,4.2,4.6,6.1,7.9,8.6,9.2,9.9,10.7,12.1,13.1,13.8,14.2,14.1,13.7,10.8,11.7
Solvents,0,0,0,0,0,1.1,2.4,2.6,2.6,2.7,2.4,2.2,1.9,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9,1.9,2,2,2,2.1,2.1
Fire Protection,0,0,0,0,0,0,0.1,0.2,0.3,0.4,0.6,0.7,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.9,2,2.1,2.2,2.3,2.4,2.5,2.5,2.6,2.6
Total,0.3,0.5,1.6,5.5,13.5,29.4,41.1,52.2,60.1,68.3,75.2,81.9,86.7,91.2,95,99.5,105.8,113.1,121.1,130.4,137.8,140.9,143.3,145.4,149.6,154.1,155.9,156.2,157.9,162.1,166.2,172.7,178.1
