# File: MOVES_source_type_pop.csv
# Title: MOVES source type population
# Source: Table 5-1 and 5-3 in Population and Activity of On-road Vehicles in MOVES2014. U.S. Environmental Protection Agency. https://cfpub.epa.gov/si/si_public_record_report.cfm?Lab=OTAQ&dirEntryId=309336
# Comments: Population by year/sourceTypeID. MOVES sourceType IDs correspond to MARKAL vehicle classes
# Units: Vehicles
# Column types: iin
# ----------
yearID,sourceTypeID,sourceTypePopulation
1990,11,4281451
1999,11,4173869
2000,11,4367504
2001,11,4924889
2002,11,5025989
2003,11,5391868
2004,11,5812640
2005,11,6258916
2006,11,6770040
2007,11,7254341
2008,11,7868791
2009,11,8045589
2010,11,8125368
2011,11,8553367
2012,11,8571043
2013,11,8686925
2014,11,8706316
2015,11,8747306
2016,11,8844420
2017,11,8942539
2018,11,9018348
2019,11,9098157
2020,11,9178350
2021,11,9259502
2022,11,9336727
2023,11,9415834
2024,11,9498027
2025,11,9584965
2026,11,9679601
2027,11,9780504
2028,11,9888477
2029,11,9995869
2030,11,10103307
2031,11,10215035
2032,11,10328080
2033,11,10438582
2034,11,10538311
2035,11,10632881
2036,11,10724001
2037,11,10812942
2038,11,10900779
2039,11,10982934
2040,11,11054781
2041,11,11154734
2042,11,11255592
2043,11,11357362
2044,11,11460052
2045,11,11563670
2046,11,11668225
2047,11,11773725
2048,11,11880180
2049,11,11987597
2050,11,12095985
1990,21,145111798
1999,21,134480432
2000,21,135669808
2001,21,139708988
2002,21,137996198
2003,21,137745418
2004,21,138641649
2005,21,138779081
2006,21,137741765
2007,21,138353985
2008,21,139500898
2009,21,138742550
2010,21,133313295
2011,21,128077583
2012,21,128033293
2013,21,129764315
2014,21,130053980
2015,21,130666289
2016,21,132116958
2017,21,133582655
2018,21,134715083
2019,21,135907260
2020,21,137105167
2021,21,138317410
2022,21,139470983
2023,21,140652676
2024,21,141880476
2025,21,143179145
2026,21,144592806
2027,21,146100079
2028,21,147712963
2029,21,149317182
2030,21,150922082
2031,21,152591053
2032,21,154279713
2033,21,155930380
2034,21,157420124
2035,21,158832787
2036,21,160193930
2037,21,161522527
2038,21,162834616
2039,21,164061841
2040,21,165135081
2041,21,166628182
2042,21,168134782
2043,21,169655005
2044,21,171188973
2045,21,172736811
2046,21,174298644
2047,21,175874598
2048,21,177464802
2049,21,179069384
2050,21,180688474
1990,31,27700002
1999,31,55472043
2000,31,58930067
2001,31,62685437
2002,31,63789333
2003,31,65650691
2004,31,69860117
2005,31,72979985
2006,31,76320942
2007,31,78443406
2008,31,78596024
2009,31,79219480
2010,31,79640794
2011,31,87029786
2012,31,86859077
2013,31,87923912
2014,31,88013821
2015,31,88345150
2016,31,89258806
2017,31,90198031
2018,31,90933744
2019,31,91718360
2020,31,92512920
2021,31,93324101
2022,31,94098303
2023,31,94892489
2024,31,95724801
2025,31,96597678
2026,31,97557397
2027,31,98575055
2028,31,99663938
2029,31,100740786
2030,31,101823078
2031,31,102952180
2032,31,104097591
2033,31,105215777
2034,31,106224691
2035,31,107181150
2036,31,108102123
2037,31,109001062
2038,31,109887674
2039,31,110717088
2040,31,111441096
2041,31,112448588
2042,31,113466067
2043,31,114489859
2044,31,115523323
2045,31,116566587
2046,31,117619710
2047,31,118682703
2048,31,119755568
2049,31,120838314
2050,31,121930957
1990,32,9903130
1999,32,18532252
2000,32,19217042
2001,32,19947160
2002,32,19801171
2003,32,19873211
2004,32,20615562
2005,32,20987040
2006,32,21380115
2007,32,21397912
2008,32,20868245
2009,32,20464490
2010,32,20007471
2011,32,21252333
2012,32,21392620
2013,32,21791358
2014,32,21960188
2015,32,22167215
2016,32,22491593
2017,32,22803453
2018,32,23042540
2019,32,23279080
2020,32,23507663
2021,32,23730059
2022,32,23939242
2023,32,24150336
2024,32,24361181
2025,32,24591326
2026,32,24832532
2027,32,25091707
2028,32,25368052
2029,32,25649099
2030,32,25925279
2031,32,26208881
2032,32,26492841
2033,32,26771867
2034,32,27023949
2035,32,27263243
2036,32,27494412
2037,32,27720068
2038,32,27944077
2039,32,28153449
2040,32,28337888
2041,32,28594235
2042,32,28852021
2043,32,29115026
2044,32,29379992
2045,32,29646900
2046,32,29915793
2047,32,30186772
2048,32,30459938
2049,32,30735394
2050,32,31013234
1990,41,60305
1999,41,81436
2000,41,81013
2001,41,80932
2002,41,79199
2003,41,80897
2004,41,82910
2005,41,84821
2006,41,87713
2007,41,91269
2008,41,95602
2009,41,94330
2010,41,88619
2011,41,17570
2012,41,18484
2013,41,19272
2014,41,19857
2015,41,20714
2016,41,21574
2017,41,22164
2018,41,22565
2019,41,22962
2020,41,23361
2021,41,23829
2022,41,24325
2023,41,24812
2024,41,25248
2025,41,25684
2026,41,26124
2027,41,26509
2028,41,26853
2029,41,27187
2030,41,27535
2031,41,27864
2032,41,28113
2033,41,28420
2034,41,28803
2035,41,29188
2036,41,29576
2037,41,29983
2038,41,30373
2039,41,30755
2040,41,31161
2041,41,31552
2042,41,31935
2043,41,32341
2044,41,32752
2045,41,33169
2046,41,33590
2047,41,34017
2048,41,34449
2049,41,34886
2050,41,35328
1990,42,58988
1999,42,55966
2000,42,59738
2001,42,61422
2002,42,65091
2003,42,64883
2004,42,65459
2005,42,65175
2006,42,65685
2007,42,66686
2008,42,64685
2009,42,67299
2010,42,67537
2011,42,65532
2012,42,68939
2013,42,71863
2014,42,73911
2015,42,77065
2016,42,80256
2017,42,82468
2018,42,84020
2019,42,85516
2020,42,86942
2021,42,88472
2022,42,90168
2023,42,91837
2024,42,93353
2025,42,94904
2026,42,96543
2027,42,97781
2028,42,98845
2029,42,99939
2030,42,101372
2031,42,102784
2032,42,103704
2033,42,104913
2034,42,106438
2035,42,108009
2036,42,109491
2037,42,111202
2038,42,112696
2039,42,113990
2040,42,115425
2041,42,116879
2042,42,118161
2043,42,119654
2044,42,121172
2045,42,122710
2046,42,124268
2047,42,125845
2048,42,127442
2049,42,129059
2050,42,130696
1990,43,510629
1999,43,594788
2000,43,608787
2001,43,610523
2002,43,619756
2003,43,634100
2004,43,650213
2005,43,660365
2006,43,672064
2007,43,680179
2008,43,686719
2009,43,684062
2010,43,693593
2011,43,586660
2012,43,617163
2013,43,643468
2014,43,662928
2015,43,691427
2016,43,720065
2017,43,739573
2018,43,752837
2019,43,765890
2020,43,779705
2021,43,794326
2022,43,809396
2023,43,824453
2024,43,838071
2025,43,853070
2026,43,866966
2027,43,878704
2028,43,889119
2029,43,899887
2030,43,911588
2031,43,922488
2032,43,931457
2033,43,942127
2034,43,955807
2035,43,969201
2036,43,982678
2037,43,995922
2038,43,1009132
2039,43,1021125
2040,43,1033525
2041,43,1046635
2042,43,1060114
2043,43,1073550
2044,43,1087150
2045,43,1100923
2046,43,1114870
2047,43,1128993
2048,43,1143297
2049,43,1157781
2050,43,1172450
1990,51,66686
1999,51,105280
2000,51,105655
2001,51,116075
2002,51,120019
2003,51,125725
2004,51,132000
2005,51,140903
2006,51,151880
2007,51,163697
2008,51,172003
2009,51,178304
2010,51,180148
2011,51,175983
2012,51,184528
2013,51,194601
2014,51,202865
2015,51,212958
2016,51,222752
2017,51,230049
2018,51,234788
2019,51,238994
2020,51,242851
2021,51,247436
2022,51,251658
2023,51,256071
2024,51,260189
2025,51,263900
2026,51,266945
2027,51,269311
2028,51,272442
2029,51,274111
2030,51,276842
2031,51,280428
2032,51,282992
2033,51,286010
2034,51,289563
2035,51,292950
2036,51,295787
2037,51,298646
2038,51,301047
2039,51,303806
2040,51,306210
2041,51,309105
2042,51,312094
2043,51,315129
2044,51,318194
2045,51,321294
2046,51,324425
2047,51,327583
2048,51,330764
2049,51,333971
2050,51,337200
1990,52,3870378
1999,52,5312057
2000,52,5123288
2001,52,5416413
2002,52,5395944
2003,52,5452370
2004,52,5527711
2005,52,5703421
2006,52,5947967
2007,52,6207961
2008,52,6321860
2009,52,6356419
2010,52,6233723
2011,52,5915083
2012,52,6194437
2013,52,6524696
2014,52,6776860
2015,52,7092936
2016,52,7391816
2017,52,7589263
2018,52,7708799
2019,52,7823737
2020,52,7952916
2021,52,8093487
2022,52,8242242
2023,52,8384894
2024,52,8509588
2025,52,8638116
2026,52,8751682
2027,52,8845611
2028,52,8927436
2029,52,9017159
2030,52,9114382
2031,52,9208553
2032,52,9285824
2033,52,9377883
2034,52,9492503
2035,52,9598823
2036,52,9698499
2037,52,9794786
2038,52,9886984
2039,52,9968005
2040,52,10050762
2041,52,10146554
2042,52,10243286
2043,52,10342086
2044,52,10442003
2045,52,10543173
2046,52,10645527
2047,52,10748887
2048,52,10853132
2049,52,10958333
2050,52,11064377
1990,53,145460
1999,53,314193
2000,53,295920
2001,53,305296
2002,53,296576
2003,53,291991
2004,53,288191
2005,53,289225
2006,53,293104
2007,53,296974
2008,53,293267
2009,53,285614
2010,53,270973
2011,53,248414
2012,53,260103
2013,53,274022
2014,53,285050
2015,53,298822
2016,53,312126
2017,53,321697
2018,53,328185
2019,53,332953
2020,53,334731
2021,53,339947
2022,53,345129
2023,53,350724
2024,53,351689
2025,53,356513
2026,53,361614
2027,53,366256
2028,53,371167
2029,53,375261
2030,53,376196
2031,53,377381
2032,53,380622
2033,53,385441
2034,53,390974
2035,53,396040
2036,53,400574
2037,53,404978
2038,53,408938
2039,53,412527
2040,53,415959
2041,53,419932
2042,53,423989
2043,53,427979
2044,53,432031
2045,53,436150
2046,53,440328
2047,53,444556
2048,53,448828
2049,53,453145
2050,53,457502
1990,54,927365
1999,54,1072855
2000,54,1055185
2001,54,1137298
2002,54,1154775
2003,54,1188972
2004,54,1227948
2005,54,1290370
2006,54,1370222
2007,54,1455851
2008,54,1508911
2009,54,1543798
2010,54,1540265
2011,54,1486595
2012,54,1558571
2013,54,1643030
2014,54,1708359
2015,54,1788137
2016,54,1863416
2017,54,1914615
2018,54,1946088
2019,54,1977364
2020,54,2012439
2021,54,2052927
2022,54,2094930
2023,54,2133720
2024,54,2168366
2025,54,2203940
2026,54,2238631
2027,54,2265530
2028,54,2287818
2029,54,2312152
2030,54,2339762
2031,54,2368027
2032,54,2384675
2033,54,2404760
2034,54,2431600
2035,54,2457260
2036,54,2482258
2037,54,2507832
2038,54,2531956
2039,54,2552944
2040,54,2573018
2041,54,2596068
2042,54,2620328
2043,54,2646040
2044,54,2671969
2045,54,2698156
2046,54,2724589
2047,54,2751234
2048,54,2778067
2049,54,2805109
2050,54,2832335
1990,61,1177488
1999,61,1361077
2000,61,1367537
2001,61,1384228
2002,61,1335059
2003,61,1306728
2004,61,1293232
2005,61,1309344
2006,61,1352710
2007,61,1363926
2008,61,1319428
2009,61,1316909
2010,61,1266251
2011,61,1198360
2012,61,1190823
2013,61,1234130
2014,61,1258158
2015,61,1305846
2016,61,1354472
2017,61,1380034
2018,61,1390333
2019,61,1399805
2020,61,1410231
2021,61,1422307
2022,61,1436801
2023,61,1452800
2024,61,1466048
2025,61,1481774
2026,61,1495197
2027,61,1504600
2028,61,1513938
2029,61,1527109
2030,61,1546457
2031,61,1567256
2032,61,1585162
2033,61,1608532
2034,61,1638613
2035,61,1668890
2036,61,1700634
2037,61,1733093
2038,61,1766176
2039,61,1794385
2040,61,1822201
2041,61,1849126
2042,61,1876112
2043,61,1900609
2044,61,1925114
2045,61,1950013
2046,61,1975442
2047,61,2001429
2048,61,2027993
2049,61,2055141
2050,61,2082909
1990,62,704543
1999,62,1008334
2000,62,1043223
2001,62,1087207
2002,62,1079511
2003,62,1087666
2004,62,1107993
2005,62,1154613
2006,62,1227684
2007,62,1273958
2008,62,1268294
2009,62,1302726
2010,62,1289074
2011,62,1255479
2012,62,1280487
2013,62,1332495
2014,62,1377084
2015,62,1438787
2016,62,1502949
2017,62,1554956
2018,62,1599692
2019,62,1644731
2020,62,1690499
2021,62,1736993
2022,62,1783131
2023,62,1828474
2024,62,1871701
2025,62,1918337
2026,62,1964237
2027,62,2004780
2028,62,2039997
2029,62,2072663
2030,62,2104213
2031,62,2130654
2032,62,2151566
2033,62,2174339
2034,62,2203126
2035,62,2231873
2036,62,2260221
2037,62,2288347
2038,62,2315324
2039,62,2341721
2040,62,2370803
2041,62,2402363
2042,62,2434679
2043,62,2470310
2044,62,2506772
2045,62,2543690
2046,62,2580940
2047,62,2618507
2048,62,2656384
2049,62,2694575
2050,62,2733057
0,0,0
