# File: USDA_cost_data.csv
# Title: USDA_cost_data
# Units: varying
# Description: Itemized costs and returns of crop production by crop; USA national averages
# Original source: http://www.ers.usda.gov/Data/CostsAndReturns/
# Column types: cccnnnnnnnnnnnnnnnnnnnnnnn 
# ----------
Crop, Item,Unit,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Barley,Capital recovery of machinery and equipment,dollars per planted acre,,,,,,,,65.07,67.23,74.55,78.43,82.55,90.14,95.74,99.64,99.2,103.17,106.7,110.43,112.35,114.56,117.1,119.21
Barley,Chemicals,dollars per planted acre,,,,,,,,12.42,12.42,12.63,13.14,13.11,13.83,15.26,14.78,18.33,19.67,20.13,20.44,20.12,20.75,19.94,19.37
Barley,Custom operations,dollars per planted acre,,,,,,,,7.7,7.76,7.45,7.58,8.09,9.24,9.36,9.78,13.59,12.48,13.42,13.75,13.14,13.54,14.47,14.56
Barley,Dryland,percent of acres,,,,,,,,80,80,80,80,80,80,80,80,67,67,67,67,67,67,67,67
Barley,Enterprise size,planted acres,,,,,,,,219,219,219,219,219,219,219,219,174,174,174,174,174,174,174,174
Barley,Fertilizer,dollars per planted acre,,,,,,,,19.91,21.14,26.33,28.1,33.38,55.24,52.57,42.04,62.45,63.23,63.5,60.6,54.1,46.68,42.81,41.22
Barley,"Fuel, lube, and electricity",dollars per planted acre,,,,,,,,11.36,13.23,17.53,19.39,22.84,29.27,19.58,26,37.48,33.31,34.56,34.17,20.52,19.11,22.59,24.44
Barley,General farm overhead,dollars per planted acre,,,,,,,,8.59,8.78,9.25,9.58,10.03,10.26,10.47,10.81,17.62,16.78,17.5,17.65,16.76,17.5,18.33,19.05
Barley,Hired labor,dollars per planted acre,,,,,,,,3.18,3.26,3.34,3.46,3.89,3.94,4.06,4.43,8.36,7.36,7.97,7.99,7.43,8.4,9.13,9.8
Barley,Interest on operating capital,dollars per planted acre,,,,,,,,0.41,0.64,1.56,2.32,2.6,1.19,0.19,0.13,0.09,0.12,0.09,0.06,0.14,0.37,0.85,1.71
Barley,Irrigated,percent of acres,,,,,,,,20,20,20,20,20,20,20,20,33,33,33,33,33,33,33,33
Barley,Opportunity cost of land (rental rate),dollars per planted acre,,,,,,,,47.29,47.29,47.29,46.32,61.47,66.16,80.64,88.28,71.86,73.75,83.02,85.39,82.08,80.73,83.61,85.59
