# File: USDA_InternationAgProductivity_LaborCapital.csv
# Title: USDA Internation Ag Productivity: Labor and Capital inputs by ISO, 1961-2023
# Units: 1000 persons or million 2015 USD
# Description:  Data is downloaded from USDA and preprocessed to keep labor_Q and capital_Q
# Data source:https://www.ers.usda.gov/data-products/international-agricultural-productivity
# Date of CSV last update: 2026-03-04
# Column types: iccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
fao_area_code,iso,variable,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,arm,Capital_Q_Mil2015USD,200.0644,216.6189,230.7752,235.8557,243.3887,263.0959,279.2685,286.0499,304.1282,312.6318,326.1055,337.1024,345.45,356.3338,367.0728,373.2876,381.2244,392.2376,402.0869,410.642,410.2074,412.3121,425.081,439.5824,439.3524,437.9696,438.0556,418.9775,406.2163,401.8327,378.322,350.7136,290.7892,286.8104,282.9651,287.48,292.067,296.7272,301.4617,306.2718,302.1937,300.5807,292.067,299.7015,325.3424,380.7467,421.9406,424.9898,426.1925,430.7696,441.0664,456.0107,444.3732,479.9806,484.9615,106.6461,105.8833,110.8857,202.2208,189.3941,187.9511,200.6645,170.6545
1,arm,Labor_Q_ThousPPL,290.775,285.7911,280.3118,274.2533,267.57,267.0319,266.4938,266.0902,265.5521,265.014,270.395,260.3057,264.3414,267.1664,278.4665,276.1796,281.6951,286.9416,292.0535,297.3,300.9,298.1,302.5,304.6,308,313,303.1,291.9,275.4,283.8,384.6,484.2,519.7,502.1,549.6,586,564.2,565.6,560.4,564.6,567.9,500.8,486.709,473.0146,459.7054,446.7707,434.2,304.129,407.945,430.358,419.08,409.366,385.804,394.765,378.952,338.055,317.111,390.593,350.786,362.936,333.41,343.256,342.223
2,afg,Capital_Q_Mil2015USD,12086.2561,13976.4787,17256.1782,17412.4462,23141.8317,28316.5549,32973.6405,33437.5915,35500.3728,35779.6495,37880.7753,35728.77,35459.0833,35522.8982,35374.1316,34698.5199,33917.5146,32983.861,30736.0293,28409.7175,26045.1101,23456.9661,20359.98,16770.5543,13347.9583,12567.1172,10987.0381,10967.8093,10835.4519,10711.7844,10685.7083,10486.2458,10428.8066,10643.628,11196.8948,11067.8178,10898.1578,10704.5209,10484.2239,10241.5681,9972.8047,9824.2503,9699.9931,9458.1065,9214.2429,8948.9649,8791.484,8567.0171,8582.1415,8487.4761,8389.532,8308.3028,8205.96,7999.1718,7775.3076,7615.6468,7495.3474,7384.3932,7328.6086,7342.9306,7330.8853,7345.8579,7396.0779
2,afg,Labor_Q_ThousPPL,1731.6538,1751.3432,1772.0423,1793.751,1816.4695,1840.1977,1863.9259,1889.1687,1916.4309,1947.2271,1980.0427,2013.868,2047.6933,2077.9846,2103.7322,2125.441,2142.1012,2149.6741,2140.5867,2111.305,2063.3438,1998.7223,1926.528,1856.858,1798.2947,1750.3335,1713.9839,1698.8382,1717.5179,1777.5957,1884.625,2032.58,2276.077,2462.263,2551.199,2624.817,2694.877,2763.463,2832.189,2831.749,2815.217,2923.902,3075.936,3140.994,3224.047,3329.209,3378.918,3410.458,3454.066,3434.11,3479.857,3493.995,3452.852,3394.914,3454.751,3542.224,3603.714,3621.344,3678.946,3678.454,3678.454,3374.983,3467.041
3,alb,Capital_Q_Mil2015USD,1398.1395,1468.2417,1448.7875,1467.9973,1554.5333,1564.2551,1602.1075,1524.7635,1500.0726,1503.2028,1499.5858,1489.353,1541.9296,1599.4533,1655.7086,1741.8196,1790.8163,1874.5793,1939.4693,1996.8754,2034.3818,2059.6559,2114.7125,2112.7308,2060.3106,2133.9021,2271.3739,2376.9974,2431.2016,2356.4859,2156.1823,2063.65,2165.3415,2511.4174,2524.1956,2564.1955,2550.9303,2554.9442,2590.0721,2621.3578,2648.8515,2687.4309,2739.9402,2788.367,2825.8861,2857.7572,2896.9143,2944.4211,3002.4149,3078.8444,3160.0121,3243.6121,3333.3673,3432.1076,3528.6045,3624.0072,3709.1177,3798.9324,3895.6606,3987.9016,4096.8108,4236.0062,4407.1662
3,alb,Labor_Q_ThousPPL,421.5054,429.61130000000003,436.9065,444.2018,450.6865,457.9818,464.4665,470.9512,476.6253,482.2994,491.2159,499.3218,507.4276,515.5335,522.8288,530.9347,538.2299,545.5252,552.8205,560.1158,571.464,583.6228,595.7816,608.751,623.3416,639.5534,657.3863,674.4086,688.1886,696.2945,687.378,541.514,569.815,594.869,627.996,627.159,606.584,573.123,552.505,550.381,538.536,532.138,530.53,523.732,511.826,498.089,476.433,473.671,479.791,457.722,541.881,526.728,454.56,433.004,445.477,457.838,452.284,460.116,461.409,438.321,441.987,449.339,442.137
4,dza,Capital_Q_Mil2015USD,3781.3106,3642.3752,3186.394,3429.2149,3839.6111,4056.6359,4817.1495,4960.3889,5103.2074,5183.4273,5268.1616,5328.8779,5321.0521,5491.1387,5738.0911,5680.946,6049.3622,6266.2562,6848.2968,7158.2821,7318.9569,7618.8278,7952.8122,8422.5334,9130.4426,9416.3348,9905.2451,9991.1466,9570.7588,10167.0272,10219.4736,10151.2131,10454.0209,10138.3519,10302.3408,10785.1786,11215.7568,11917.4153,12723.5972,13226.5858,13689.1591,14063.5082,14653.2908,15304.5322,15794.7359,16196.3447,16601.6024,16687.4219,16923.7924,17158.1002,17532.986,18067.5069,18746.1665,19481.0191,20341.2537,21215.552,21945.1035,22773.6145,23736.8034,24716.5175,25598.2214,26902.3094,28468.2394
4,dza,Labor_Q_ThousPPL,1623.9276,1589.4806,1556.4397,1524.1017,1493.8728,1465.7528,1440.4448,1416.5429,1394.7499,1374.3629,1368.739,1362.412,1355.382,1347.649,1337.807,1326.559,1312.499,1295.6271,1276.6461,1254.1501,1266.1011,1277.3491,1286.4881,1293.5181,1298.4391,1299.8451,1298.4391,1294.9241,1287.8941,1278.7551,1337.807,1306.123,1310.335,1320.56,1273.153,1368.485,1445.473,1428.89,1420.922,1418.526,1469.229,1534.515,1615.993,1753.079,1689.44,1641.41,1496.511,1428.284,1329.102,1233.832,1123.833,1124.15,1148.91,1044.212,945.657,934.303,1105.014,1100.903,1080.455,1023.305,1047.733,1088.316,1086.087
7,ago,Capital_Q_Mil2015USD,3308.9303,3712.6297,3921.3245,4356.1554,4704.9783,5005.6818,5511.6898,5596.4088,6138.4078,6673.818,7233.5582,7461.2892,7618.3611,7782.8104,7946.1253,7537.9667,7700.3652,7970.3805,8267.3718,8520.1288,8658.7331,8797.0274,8932.5463,9070.6453,9205.187,9340.1808,9134.9368,8924.8603,8728.142,8721.8759,8835.517,8971.0028,8727.9481,8481.9676,8485.0906,8551.1079,8691.2003,9286.8009,9224.7905,9075.8503,9013.4222,8713.0466,8479.442,8311.1061,8140.5063,8034.7315,7962.0753,7928.6752,8023.818,8116.2206,8242.1868,8429.7557,8682.8428,9024.5712,9467.4612,9904.7738,10175.6772,10398.037,10606.8526,11216.781,12626.4099,14522.767,16986.497
7,ago,Labor_Q_ThousPPL,957.7775,966.7203,976.1103,985.5003,994.8902,1005.1745,1015.4588,1026.6373,1038.263,1050.3358,1067.3272,1085.2129,1104.4399,1125.0085,1147.3656,1171.0641,1196.104,1222.9325,1253.3381,1286.8738,1323.9865,1364.2293,1405.8134,1445.6091,1482.7218,1514.916,1543.9802,1572.1501,1603.0029,1638.3271,1682.147,1735.599,1795.511,1845.009,1887.392,1938.058,1986.964,2033.911,2086.057,2139.733,2200.092,2236.79,2318.041,2380.336,2611.196,2878.737,3147.966,3442.471,3749.738,4011.103,4377.625,4727.45,5102.108,5477.966,5568.371,5678.742,5769.761,5861.659,5947.103,6304.313,6937.417,7153.04,7414.274
