# UCS 2005 shares to cooling technology by generation technology and state,,,,,,,,
region,UCS_technology,Dry_Cooled,Once_Through,Cooling_Pond,Recirculating,None,Saline_all,Check
AK,Combined cycle (natural gas),1,0,0,0,0,0,1
AK,Combustion Turbine (natural gas),0,0,0,0,1,0,1
AK,Generic steam plant (natural gas),0,0,0,0,0,0,0
AK,Combined cycle (oil),0,0,0,0,0,0,0
AK,Combustion turbine (oil),0,0,0,0,0.857368149,0.142631851,1
AK,Generic steam plant (oil),0,0,0,0,0,0,0
AK,Combustion Turbine (biopower),0,0,0,0,0,0,0
AK,Generic steam plant (biopower),0,0,0,0,0,0,0
AK,Geothermal EGS,0,0,0,0,0,0,0
AK,Geothermal Dry Steam,0,0,0,0,0,0,0
AK,Geothermal Binary,0,0,0,0,0,0,0
AK,Hydropower,0,0,0,0,1,0,1
AK,Pumped Storage,0,0,0,0,0,0,0
AK,PV,0,0,0,0,0,0,0
AK,Generic steam plant (coal),0,0.639373455,0,0.360626545,0,0,1
AK,Generic steam plant (nuclear),0,0,0,0,0,0,0
AK,CSP Trough,0,0,0,0,0,0,0
AK,Wind,0,0,0,0,1,0,1
AK,,0,0,0,0,0,0,0
AL,Combined cycle (natural gas),0,0,0,1,0,0,1
AL,Combustion Turbine (natural gas),0,0,0,0,0.967516182,0.032483818,1
AL,Generic steam plant (natural gas),0,0,0,0,0,0,0
AL,Combined cycle (oil),0,0,0,0,0,0,0
AL,Combustion turbine (oil),0,0,0,0,1,0,1
AL,Generic steam plant (oil),0,0,0,1,0,0,1
AL,Combustion Turbine (biopower),0,0,0,0,0,0,0
AL,Generic steam plant (biopower),0,0.140446786,0,0.859553214,0,0,1
AL,Geothermal EGS,0,0,0,0,0,0,0
AL,Geothermal Dry Steam,0,0,0,0,0,0,0
AL,Geothermal Binary,0,0,0,0,0,0,0
AL,Hydropower,0,0,0,0,1,0,1
AL,Pumped Storage,0,0,0,0,0,0,0
AL,PV,0,0,0,0,0,0,0
AL,Generic steam plant (coal),0,0.590487369,0,0.405225061,0,0.004287569,1
AL,Generic steam plant (nuclear),0,0.639079974,0,0.360920026,0,0,1
AL,CSP Trough,0,0,0,0,0,0,0
AL,Wind,0,0,0,0,0,0,0
AL,,0,0,0,0,0,0,0
AR,Combined cycle (natural gas),0,0,0,1,0,0,1
AR,Combustion Turbine (natural gas),0,0,0,0,1,0,1
AR,Generic steam plant (natural gas),0,0.884324575,0,0.115675425,0,0,1
AR,Combined cycle (oil),0,0,0,0,0,0,0
AR,Combustion turbine (oil),0,0,0,0,1,0,1
AR,Generic steam plant (oil),0,0,0,0,0,0,0
AR,Combustion Turbine (biopower),0,0,0,0,1,0,1
AR,Generic steam plant (biopower),0,0.918635451,0,0.081364549,0,0,1
AR,Geothermal EGS,0,0,0,0,0,0,0
AR,Geothermal Dry Steam,0,0,0,0,0,0,0
AR,Geothermal Binary,0,0,0,0,0,0,0
AR,Hydropower,0,0,0,0,1,0,1
AR,Pumped Storage,0,0,0,0,1,0,1
AR,PV,0,0,0,0,0,0,0
AR,Generic steam plant (coal),0,0,0.138491923,0.861508077,0,0,1
AR,Generic steam plant (nuclear),0,0,0,1,0,0,1
AR,CSP Trough,0,0,0,0,0,0,0
AR,Wind,0,0,0,0,0,0,0
AR,,0,0,0,0,0,0,0
AZ,Combined cycle (natural gas),0,0,0,1,0,0,1
AZ,Combustion Turbine (natural gas),0,0,0,0,1,0,1
AZ,Generic steam plant (natural gas),0,0,0,1,0,0,1
AZ,Combined cycle (oil),0,0,0,0,0,0,0
AZ,Combustion turbine (oil),0,0,0,0,1,0,1
AZ,Generic steam plant (oil),0,0,0,0,0,0,0
AZ,Combustion Turbine (biopower),0,0,0,0,1,0,1
AZ,Generic steam plant (biopower),0,0,0,0,0,0,0
AZ,Geothermal EGS,0,0,0,0,0,0,0
AZ,Geothermal Dry Steam,0,0,0,0,0,0,0
AZ,Geothermal Binary,0,0,0,0,0,0,0
AZ,Hydropower,0,0,0,0,1,0,1
AZ,Pumped Storage,0,0,0,0,1,0,1
AZ,PV,0,0,0,0,1,0,1
AZ,Generic steam plant (coal),0,0,0.066494973,0.933505027,0,0,1
AZ,Generic steam plant (nuclear),0,0,0,1,0,0,1
AZ,CSP Trough,0,0,0,1,0,0,1
AZ,Wind,0,0,0,0,0,0,0
AZ,,0,0,0,0,0,0,0
CA,Combined cycle (natural gas),0.041381596,0.004363561,0,0.803078058,0,0.151176784,1
CA,Combustion Turbine (natural gas),0,0,0,0,0.981006508,0.018993492,1
CA,Generic steam plant (natural gas),0,0.018923673,0,0.082873927,0,0.8982024,1
CA,Combined cycle (oil),0,0,0,0,0,0,0
CA,Combustion turbine (oil),0,0,0,0,0.992312566,0.007687434,1
CA,Generic steam plant (oil),0,0,0,1,0,0,1
CA,Combustion Turbine (biopower),0,0,0,0,0.943592918,0.056407082,1
CA,Generic steam plant (biopower),0.235940623,0,0,0.764059377,0,0,1
CA,Geothermal EGS,0,0,0,1,0,0,1
CA,Geothermal Dry Steam,0,0,0,1,0,0,1
CA,Geothermal Binary,0,0,0,1,0,0,1
CA,Hydropower,0,0,0,0,0.993250626,0.006749374,1
CA,Pumped Storage,0,0,0,0,1,0,1
CA,PV,0,0,0,0,1,0,1
CA,Generic steam plant (coal),0,0.095681325,0,0.904318675,0,0,1
CA,Generic steam plant (nuclear),0,0,0,0,0,1,1
CA,CSP Trough,0,0,0,1,0,0,1
CA,Wind,0,0,0,0,1,0,1
CA,,0,0,0,0,0,0,0
CO,Combined cycle (natural gas),0.187013341,0,0,0.812986659,0,0,1
CO,Combustion Turbine (natural gas),0,0,0,0,1,0,1
CO,Generic steam plant (natural gas),0,0,0,1,0,0,1
CO,Combined cycle (oil),0,0,0,0,0,0,0
CO,Combustion turbine (oil),0,0,0,0,1,0,1
CO,Generic steam plant (oil),0,0,0,0,0,0,0
CO,Combustion Turbine (biopower),0,0,0,0,1,0,1
CO,Generic steam plant (biopower),0,0,0,0,0,0,0
CO,Geothermal EGS,0,0,0,0,0,0,0
CO,Geothermal Dry Steam,0,0,0,0,0,0,0
CO,Geothermal Binary,0,0,0,0,0,0,0
CO,Hydropower,0,0,0,0,1,0,1
CO,Pumped Storage,0,0,0,0,1,0,1
CO,PV,0,0,0,0,0,0,0
CO,Generic steam plant (coal),0,0.011569167,0.091285905,0.897144928,0,0,1
CO,Generic steam plant (nuclear),0,0,0,0,0,0,0
CO,CSP Trough,0,0,0,0,0,0,0
CO,Wind,0,0,0,0,1,0,1
CO,,0,0,0,0,0,0,0
CT,Combined cycle (natural gas),0.352558045,0,0,0.376873962,0,0.270567993,1
CT,Combustion Turbine (natural gas),0,0,0,0,1,0,1
CT,Generic steam plant (natural gas),0,0,0,1,0,0,1
CT,Combined cycle (oil),0,0,0,0,0,0,0
CT,Combustion turbine (oil),0,0,0,0,0.780817291,0.219182709,1
CT,Generic steam plant (oil),0,0.297998461,0,0.074818115,0,0.627183424,1
CT,Combustion Turbine (biopower),0,0,0,0,1,0,1
CT,Generic steam plant (biopower),0,0,0,1,0,0,1
CT,Geothermal EGS,0,0,0,0,0,0,0
CT,Geothermal Dry Steam,0,0,0,0,0,0,0
CT,Geothermal Binary,0,0,0,0,0,0,0
CT,Hydropower,0,0,0,0,1,0,1
CT,Pumped Storage,0,0,0,0,1,0,1
CT,PV,0,0,0,0,0,0,0
CT,Generic steam plant (coal),0,0.346607684,0,0,0,0.653392316,1
CT,Generic steam plant (nuclear),0,0,0,0,0,1,1
CT,CSP Trough,0,0,0,0,0,0,0
CT,Wind,0,0,0,0,0,0,0
CT,,0,0,0,0,0,0,0
DC,Combined cycle (natural gas),0,0,0,0,0,0,0
DC,Combustion Turbine (natural gas),0,0,0,0,0,0,0
DC,Generic steam plant (natural gas),0,0,0,0,0,0,0
DC,Combined cycle (oil),0,0,0,0,0,0,0
DC,Combustion turbine (oil),0,0,0,0,1,0,1
DC,Generic steam plant (oil),0,0,0,1,0,0,1
DC,Combustion Turbine (biopower),0,0,0,0,0,0,0
DC,Generic steam plant (biopower),0,0,0,0,0,0,0
DC,Geothermal EGS,0,0,0,0,0,0,0
DC,Geothermal Dry Steam,0,0,0,0,0,0,0
DC,Geothermal Binary,0,0,0,0,0,0,0
DC,Hydropower,0,0,0,0,0,0,0
DC,Pumped Storage,0,0,0,0,0,0,0
DC,PV,0,0,0,0,0,0,0
DC,Generic steam plant (coal),0,0,0,0,0,0,0
DC,Generic steam plant (nuclear),0,0,0,0,0,0,0
DC,CSP Trough,0,0,0,0,0,0,0
DC,Wind,0,0,0,0,0,0,0
DC,,0,0,0,0,0,0,0
DE,Combined cycle (natural gas),0,0,0,1,0,0,1
DE,Combustion Turbine (natural gas),0,0,0,0,1,0,1
DE,Generic steam plant (natural gas),0,0,0,1,0,0,1
