state_name,state,NAICS_code,VOS_thousUSD
Alabama,AL,311,9661432
Alabama,AL,322,8526893
Alabama,AL,324,6879382
Alabama,AL,325,11455732
Alabama,AL,3273,1406408
Alabama,AL,3311,9178883
Alabama,AL,3313,1544156
Alabama,AL,332,6561386
Alaska,AK,311,2186305
Arizona,AZ,311,5172923
Arizona,AZ,322,971766
Arizona,AZ,325,4058226
Arizona,AZ,3273,2031791
Arizona,AZ,332,4452189
Arkansas,AR,311,15606389
Arkansas,AR,322,4876086
Arkansas,AR,325,3002656
Arkansas,AR,3273,447858
Arkansas,AR,3311,5321116
Arkansas,AR,332,4697228
California,CA,311,66345481
California,CA,322,9869299
California,CA,324,100572800
California,CA,325,45957080
California,CA,3273,6625070
California,CA,3311,3540048
California,CA,3313,1198717
California,CA,332,30169327
Colorado,CO,311,7785985
Colorado,CO,322,593070
Colorado,CO,325,4795914
Colorado,CO,3273,1233979
Colorado,CO,3311,D
Colorado,CO,332,3172658
Connecticut,CT,311,2839813
Connecticut,CT,322,1678467
Connecticut,CT,325,9575814
Connecticut,CT,3273,438454
Connecticut,CT,332,6751013
Delaware,DE,311,2527142
Delaware,DE,325,11169218
Delaware,DE,332,525562
Florida,FL,311,11748514
Florida,FL,322,4500585
Florida,FL,324,761504
Florida,FL,325,12722244
Florida,FL,3273,4012316
Florida,FL,332,7077866
Georgia,GA,311,26708993
Georgia,GA,322,10963035
Georgia,GA,324,1283678
Georgia,GA,325,13790791
Georgia,GA,3273,1758321
Georgia,GA,3313,927042
Georgia,GA,332,7987432
Hawaii,HI,311,938016
Idaho,ID,311,6636286
Idaho,ID,322,818270
Idaho,ID,325,1632984
Idaho,ID,3273,324738
Idaho,ID,332,872016
Illinois,IL,311,38601917
Illinois,IL,322,5829090
Illinois,IL,324,42533332
Illinois,IL,325,35900108
Illinois,IL,3273,2236944
Illinois,IL,3311,6350091
Illinois,IL,3313,1054582
Illinois,IL,332,23009993
Indiana,IN,311,18954577
Indiana,IN,322,3776671
Indiana,IN,324,14529435
Indiana,IN,325,26446422
Indiana,IN,3273,1230236
Indiana,IN,3311,25135768
Indiana,IN,3313,4132226
Indiana,IN,332,14691962
Iowa,IA,311,35125059
Iowa,IA,322,1714137
Iowa,IA,325,14165995
Iowa,IA,3273,894237
Iowa,IA,3313,D
Iowa,IA,332,4928933
Kansas,KS,311,18477363
Kansas,KS,322,713248
Kansas,KS,324,11796584
Kansas,KS,325,6557898
Kansas,KS,3273,717543
Kansas,KS,332,4501266
Kentucky,KY,311,9787826
Kentucky,KY,322,4933360
Kentucky,KY,324,D
Kentucky,KY,325,12422095
