# UCS 2000-2008 cooling technology (using saline water) by generation technology and region,,,Fresh,,,,,
region,fuel,UCS_technology,Dry_Cooled,Once_Through,Cooling_Pond,Recirculating,No_Cooling_Needed,error_flag
NWP,Natural Gas,Combined cycle (natural gas),0,0,0,0,0,
NWP,Natural Gas,Combustion Turbine (natural gas),0,0,0,0,0,
NWP,Natural Gas,Generic steam plant (natural gas),0,0,0,0,0,
NWP,Oil and others,Combined cycle (oil),0,0,0,0,0,
NWP,Oil and others,Combustion turbine (oil),0,0,0,0,228751.5522,
NWP,Oil and others,Generic steam plant (oil),0,0,0,0,0,Historical
NWP,Biopower and Biogas,Combustion Turbine (biopower),0,0,0,0,0,
NWP,Biopower and Biogas,Generic steam plant (biopower),0,0,0,0,0,
NWP,Geothermal Dry Steam,Geothermal EGS,0,0,0,0,0,
NWP,Geothermal Dry Steam,Geothermal Dry Steam,0,0,0,0,0,
NWP,Geothermal Dry Steam,Geothermal Binary,0,0,0,0,0,
NWP,Hydropower,Hydropower,0,0,0,0,0,
NWP,Hydropower,Pumped Storage,0,0,0,0,0,
NWP,PV,PV,0,0,0,0,0,
NWP,Coal,Generic steam plant (coal),0,0,0,0,0,National average
NWP,Nuclear,Generic steam plant (nuclear),0,0,0,0,0,Historical
NWP,Concentrated Solar Power (CSP),CSP Trough,0,0,0,0,0,
NWP,Wind,Wind,0,0,0,0,0,
STV,Natural Gas,Combined cycle (natural gas),0,0,0,0,0,
STV,Natural Gas,Combustion Turbine (natural gas),0,0,0,0,0,
STV,Natural Gas,Generic steam plant (natural gas),0,0,0,0,0,
STV,Oil and others,Combined cycle (oil),0,0,0,0,0,
STV,Oil and others,Combustion turbine (oil),0,0,0,0,0,
STV,Oil and others,Generic steam plant (oil),0,0,0,0,0,
STV,Biopower and Biogas,Combustion Turbine (biopower),0,0,0,0,0,
STV,Biopower and Biogas,Generic steam plant (biopower),0,0,0,0,0,National average
STV,Geothermal Dry Steam,Geothermal EGS,0,0,0,0,0,
STV,Geothermal Dry Steam,Geothermal Dry Steam,0,0,0,0,0,
STV,Geothermal Dry Steam,Geothermal Binary,0,0,0,0,0,
STV,Hydropower,Hydropower,0,0,0,0,0,
STV,Hydropower,Pumped Storage,0,0,0,0,0,
STV,PV,PV,0,0,0,0,0,
STV,Coal,Generic steam plant (coal),0,0,0,0,0,
STV,Nuclear,Generic steam plant (nuclear),0,0,0,0,0,
STV,Concentrated Solar Power (CSP),CSP Trough,0,0,0,0,0,
STV,Wind,Wind,0,0,0,0,0,
SPP,Natural Gas,Combined cycle (natural gas),0,1354090,0,2210853,0,
SPP,Natural Gas,Combustion Turbine (natural gas),0,0,0,0,0,
SPP,Natural Gas,Generic steam plant (natural gas),0,0,0,0,0,
SPP,Oil and others,Combined cycle (oil),0,0,0,0,0,
SPP,Oil and others,Combustion turbine (oil),0,0,0,0,0,
SPP,Oil and others,Generic steam plant (oil),0,0,0,0,0,Historical
SPP,Biopower and Biogas,Combustion Turbine (biopower),0,0,0,0,0,
SPP,Biopower and Biogas,Generic steam plant (biopower),0,0,0,0,0,
SPP,Geothermal Dry Steam,Geothermal EGS,0,0,0,0,0,
SPP,Geothermal Dry Steam,Geothermal Dry Steam,0,0,0,0,0,
SPP,Geothermal Dry Steam,Geothermal Binary,0,0,0,0,0,
SPP,Hydropower,Hydropower,0,0,0,0,0,
SPP,Hydropower,Pumped Storage,0,0,0,0,0,
SPP,PV,PV,0,0,0,0,0,
SPP,Coal,Generic steam plant (coal),0,0,0,0,0,
SPP,Nuclear,Generic steam plant (nuclear),0,0,0,0,0,
SPP,Concentrated Solar Power (CSP),CSP Trough,0,0,0,0,0,
SPP,Wind,Wind,0,0,0,0,0,
RA,Natural Gas,Combined cycle (natural gas),0,0,0,0,0,
RA,Natural Gas,Combustion Turbine (natural gas),0,0,0,0,0,
RA,Natural Gas,Generic steam plant (natural gas),0,0,0,0,0,
RA,Oil and others,Combined cycle (oil),0,0,0,0,0,
RA,Oil and others,Combustion turbine (oil),0,0,0,0,0,
RA,Oil and others,Generic steam plant (oil),0,0,0,0,0,Historical
RA,Biopower and Biogas,Combustion Turbine (biopower),0,0,0,0,0,
RA,Biopower and Biogas,Generic steam plant (biopower),0,0,0,0,0,
RA,Geothermal Dry Steam,Geothermal EGS,0,0,0,0,0,
RA,Geothermal Dry Steam,Geothermal Dry Steam,0,0,0,0,0,
RA,Geothermal Dry Steam,Geothermal Binary,0,0,0,0,0,
RA,Hydropower,Hydropower,0,0,0,0,0,
RA,Hydropower,Pumped Storage,0,0,0,0,0,
RA,PV,PV,0,0,0,0,0,
RA,Coal,Generic steam plant (coal),0,0,0,0,0,
RA,Nuclear,Generic steam plant (nuclear),0,0,0,0,0,Historical
RA,Concentrated Solar Power (CSP),CSP Trough,0,0,0,0,0,
RA,Wind,Wind,0,0,0,0,0,
CNV,Natural Gas,Combined cycle (natural gas),0,9113399,0,0,0,
CNV,Natural Gas,Combustion Turbine (natural gas),0,0,0,0,154439.5651,
CNV,Natural Gas,Generic steam plant (natural gas),0,0,0,0,0,
CNV,Oil and others,Combined cycle (oil),0,0,0,0,0,
CNV,Oil and others,Combustion turbine (oil),0,0,0,0,0,
CNV,Oil and others,Generic steam plant (oil),0,0,0,0,0,Historical
CNV,Biopower and Biogas,Combustion Turbine (biopower),0,0,0,0,22580,
CNV,Biopower and Biogas,Generic steam plant (biopower),0,0,0,0,0,
CNV,Geothermal Dry Steam,Geothermal EGS,0,0,0,0,0,
CNV,Geothermal Dry Steam,Geothermal Dry Steam,0,0,0,0,0,
CNV,Geothermal Dry Steam,Geothermal Binary,0,0,0,0,0,
CNV,Hydropower,Hydropower,0,0,0,0,0,
CNV,Hydropower,Pumped Storage,0,0,0,0,0,
CNV,PV,PV,0,0,0,0,0,
CNV,Coal,Generic steam plant (coal),0,0,0,0,0,
CNV,Nuclear,Generic steam plant (nuclear),0,0,0,0,0,
CNV,Concentrated Solar Power (CSP),CSP Trough,0,0,0,0,0,
CNV,Wind,Wind,0,0,0,0,0,
NE_SR,Natural Gas,Combined cycle (natural gas),0,0,0,0,0,
NE_SR,Natural Gas,Combustion Turbine (natural gas),0,0,0,0,18752.3,
NE_SR,Natural Gas,Generic steam plant (natural gas),0,0,0,0,0,
NE_SR,Oil and others,Combined cycle (oil),0,0,0,0,0,
NE_SR,Oil and others,Combustion turbine (oil),0,0,0,0,7538.817391,
NE_SR,Oil and others,Generic steam plant (oil),0,0,0,0,0,
NE_SR,Biopower and Biogas,Combustion Turbine (biopower),0,0,0,0,0,
NE_SR,Biopower and Biogas,Generic steam plant (biopower),0,0,0,0,0,
NE_SR,Geothermal Dry Steam,Geothermal EGS,0,0,0,0,0,
NE_SR,Geothermal Dry Steam,Geothermal Dry Steam,0,0,0,0,0,
NE_SR,Geothermal Dry Steam,Geothermal Binary,0,0,0,0,0,
NE_SR,Hydropower,Hydropower,0,0,0,0,0,
NE_SR,Hydropower,Pumped Storage,0,0,0,0,0,
NE_SR,PV,PV,0,0,0,0,0,
NE_SR,Coal,Generic steam plant (coal),0,0,0,0,0,
NE_SR,Nuclear,Generic steam plant (nuclear),0,0,0,0,0,
NE_SR,Concentrated Solar Power (CSP),CSP Trough,0,0,0,0,0,
NE_SR,Wind,Wind,0,0,0,0,0,
MAAC,Natural Gas,Combined cycle (natural gas),0,0,0,0,0,
MAAC,Natural Gas,Combustion Turbine (natural gas),0,0,0,0,0,
MAAC,Natural Gas,Generic steam plant (natural gas),0,0,0,0,0,
MAAC,Oil and others,Combined cycle (oil),0,0,0,0,0,
