# NERC region CCS supply curves from JJ Dooley,,,
# Storage capacity in MtCO2,,,
# Costs in 2005$ / tCO2,,,
region,grade,capacity,cost
CNV,1,2000,0
CNV,2,2500,6.8
CNV,3,1100,15.2
CNV,4,500,60.1
ECAR,1,36900,1.8
ECAR,2,13900,3.2
ECAR,3,2700,6.7
ECAR,4,1100,17
ERCOT,1,14600,1.9
ERCOT,2,12500,3.2
ERCOT,3,5600,7.3
ERCOT,4,1700,37.1
FL_SR,1,8800,3.8
FL_SR,2,2400,5
FL_SR,3,800,7.3
FL_SR,4,300,20.8
MAAC,1,13400,4
MAAC,2,3600,7.2
MAAC,3,1800,13
MAAC,4,700,26.7
MAIN,1,14600,2.8
MAIN,2,5100,6.1
MAIN,3,2100,13.5
MAIN,4,800,65.7
MAPP,1,10000,2.2
MAPP,2,4000,15.7
MAPP,3,800,34.6
MAPP,4,600,43.7
NE_SR,1,1000,4.84
NE_SR,2,400,26.1
NE_SR,3,200,31.8
NE_SR,4,100,49.1
NWP,1,9500,3.2
NWP,2,3400,6.4
NWP,3,800,11.7
NWP,4,900,52
NY_SR,1,2900,6.7
NY_SR,2,1300,12.3
NY_SR,3,500,16
NY_SR,4,200,25.5
RA,1,5700,2.1
RA,2,4400,4.4
RA,3,700,9.4
RA,4,400,53.1
STV,1,26500,5.9
STV,2,9200,9.3
STV,3,3900,15
STV,4,1700,91.7
SPP,1,10300,0
SPP,2,7900,6.2
SPP,3,3500,11.5
SPP,4,1800,46.6
