state,NAICS_code,VoS_thousUSD,Crops_thousacr,Wood_thousacr
AK,11,37764,30772,41698
AL,11,5490213,1994743,3375438
AR,11,9636294,7367068,2239119
AZ,11,4047754,832406,279779
CA,11,41074720,7633173,1270720
CO,11,7079841,5888926,1381543
CT,11,712481,136833,124875
DC,11,0,0,0
DE,11,1212443,409468,46126
FL,11,8381687,2112129,2330336
GA,11,9033400,3390437,3712672
HI,11,677138,103120,79041
IA,11,26211049,23799380,1193303
ID,11,6863208,4225786,531767
IL,11,18268468,22611443,1428922
IN,11,11100469,12108940,1020287
KS,11,15444489,19886655,792858
KY,11,5858142,5057883,3107137
LA,11,3227365,3342048,1188689
MA,11,713527,153993,212539
MD,11,2324921,1246603,373002
ME,11,748825,393738,660679
MI,11,7582492,6859081,1196212
MN,11,18290875,19267018,1862251
MO,11,9993200,12980113,4414396
MS,11,5814331,4223708,3610991
MT,11,3589930,9163867,2284011
NC,11,11072258,4188658,2201609
ND,11,8813106,22035717,233883
NE,11,18669709,18169876,409785
NH,11,264893,99520,278244
NJ,11,1310982,415542,131312
NM,11,3372390,1009683,2868929
NV,11,678627,504311,36327
NY,11,5201733,3651278,1559522
OH,11,8733910,9991007,1473638
OK,11,6901235,7650080,2468152
OR,11,5181121,3037261,1729761
PA,11,6869274,3942079,1717791
RI,11,87659,19325,28874
SC,11,2838835,1551670,1827191
SD,11,9194426,15278709,258973
TN,11,4031800,4226440,2042868
TX,11,22689559,19174301,7099790
UT,11,1788529,964702,385193
VA,11,3806081,2544997,2319491
VT,11,751169,433074,502823
WA,11,8831002,4387169,1988322
WI,11,10826178,8884628,2920214
WV,11,721390,692003,1461714
WY,11,1273470,1536240,395806
