#Source: AEO2013 other commercial sector (provided by E. Boedecker pers. comm.),,,
service,fuel,share,efficiency
cooling,electricity,0.057251908,2
cooling,gas,0.942748092,0.75
cooling,refined liquids,0,0.75
heating,electricity,0.062651816,0.95
heating,gas,0.878267989,0.8
heating,refined liquids,0.059080195,0.8
hot water,electricity,0.065741884,0.9
hot water,gas,0.885118745,0.75
hot water,refined liquids,0.049139371,0.75
