state_name,NAICS_code,industry,VoS_thousUSD
Alabama,21,"Mining, quarrying, and oil and gas extraction",6105821
Alaska,21,"Mining, quarrying, and oil and gas extraction",21748761
Arizona,21,"Mining, quarrying, and oil and gas extraction",8400148
Arkansas,21,"Mining, quarrying, and oil and gas extraction",2705784
California,21,"Mining, quarrying, and oil and gas extraction",22157706
Colorado,21,"Mining, quarrying, and oil and gas extraction",15510598
Connecticut,21,"Mining, quarrying, and oil and gas extraction",387986
Delaware,21,"Mining, quarrying, and oil and gas extraction",70030
Florida,21,"Mining, quarrying, and oil and gas extraction",2636020
Georgia,21,"Mining, quarrying, and oil and gas extraction",1933718
Hawaii,21,"Mining, quarrying, and oil and gas extraction",55448
Idaho,21,"Mining, quarrying, and oil and gas extraction",1004864
Illinois,21,"Mining, quarrying, and oil and gas extraction",3512396
Indiana,21,"Mining, quarrying, and oil and gas extraction",2030047
Iowa,21,"Mining, quarrying, and oil and gas extraction",420990
Kansas,21,"Mining, quarrying, and oil and gas extraction",6148793
Kentucky,21,"Mining, quarrying, and oil and gas extraction",7557387
Louisiana,21,"Mining, quarrying, and oil and gas extraction",44015402
Maine,21,"Mining, quarrying, and oil and gas extraction",22501
Maryland,21,"Mining, quarrying, and oil and gas extraction",521516
Massachusetts,21,"Mining, quarrying, and oil and gas extraction",329381
Michigan,21,"Mining, quarrying, and oil and gas extraction",2411253
Minnesota,21,"Mining, quarrying, and oil and gas extraction",2833996
Mississippi,21,"Mining, quarrying, and oil and gas extraction",3609262
Missouri,21,"Mining, quarrying, and oil and gas extraction",976540
Montana,21,"Mining, quarrying, and oil and gas extraction",3507583
Nebraska,21,"Mining, quarrying, and oil and gas extraction",407891
Nevada,21,"Mining, quarrying, and oil and gas extraction",5743123
New Hampshire,21,"Mining, quarrying, and oil and gas extraction",68795
New Jersey,21,"Mining, quarrying, and oil and gas extraction",458128
New Mexico,21,"Mining, quarrying, and oil and gas extraction",17428507
New York,21,"Mining, quarrying, and oil and gas extraction",1743362
North Carolina,21,"Mining, quarrying, and oil and gas extraction",1077420
North Dakota,21,"Mining, quarrying, and oil and gas extraction",4076049
Ohio,21,"Mining, quarrying, and oil and gas extraction",3595384
Oklahoma,21,"Mining, quarrying, and oil and gas extraction",34211843
Oregon,21,"Mining, quarrying, and oil and gas extraction",478219
Pennsylvania,21,"Mining, quarrying, and oil and gas extraction",7723918
Rhode Island,21,"Mining, quarrying, and oil and gas extraction",52539
South Carolina,21,"Mining, quarrying, and oil and gas extraction",352874
South Dakota,21,"Mining, quarrying, and oil and gas extraction",376008
Tennessee,21,"Mining, quarrying, and oil and gas extraction",1526300
Texas,21,"Mining, quarrying, and oil and gas extraction",101950521
Utah,21,"Mining, quarrying, and oil and gas extraction",5599516
Vermont,21,"Mining, quarrying, and oil and gas extraction",182025
Virginia,21,"Mining, quarrying, and oil and gas extraction",4480783
Washington,21,"Mining, quarrying, and oil and gas extraction",1014478
West Virginia,21,"Mining, quarrying, and oil and gas extraction",10250310
Wisconsin,21,"Mining, quarrying, and oil and gas extraction",828274
Wyoming,21,"Mining, quarrying, and oil and gas extraction",22164100
California,23,Construction,217933168
Texas,23,Construction,146637867
Florida,23,Construction,117804385
New York,23,Construction,90318478
Illinois,23,Construction,72778327
Georgia,23,Construction,59375344
Pennsylvania,23,Construction,59186886
Arizona,23,Construction,56159390
North Carolina,23,Construction,55785541
Virginia,23,Construction,51968222
Ohio,23,Construction,48315302
Washington,23,Construction,48104355
New Jersey,23,Construction,46383430
Maryland,23,Construction,44327185
Colorado,23,Construction,42990225
Minnesota,23,Construction,37052219
Massachusetts,23,Construction,36834858
Missouri,23,Construction,35462821
Michigan,23,Construction,35372849
Indiana,23,Construction,30163752
Nevada,23,Construction,29314420
Wisconsin,23,Construction,28611367
Tennessee,23,Construction,27964438
Louisiana,23,Construction,25569127
Alabama,23,Construction,24714255
Oregon,23,Construction,23265226
South Carolina,23,Construction,22820310
Utah,23,Construction,20011688
Connecticut,23,Construction,18056306
Kentucky,23,Construction,16492910
Iowa,23,Construction,14961096
Oklahoma,23,Construction,14131592
Kansas,23,Construction,13828575
Mississippi,23,Construction,11765195
Hawaii,23,Construction,10419679
Arkansas,23,Construction,10341361
New Mexico,23,Construction,10324332
Idaho,23,Construction,10052113
Nebraska,23,Construction,8490467
Alaska,23,Construction,6262757
Montana,23,Construction,6158305
New Hampshire,23,Construction,5959930
Rhode Island,23,Construction,5777284
Delaware,23,Construction,5608794
Maine,23,Construction,5440695
West Virginia,23,Construction,5032771
Wyoming,23,Construction,4250009
South Dakota,23,Construction,3944028
North Dakota,23,Construction,3673547
Vermont,23,Construction,3171325
District of Columbia,23,Construction,2473323
