# Official Nebraska Government Website,
# Ethanol Facilities Capacity by State,
# http://www.neo.ne.gov/statshtml/121.htm,
state,Mgal.yr
IA,3537
NE,1719
IL,1226
MN,1112.6
SD,1016
IN,706
WI,498
KS,436.5
ND,348
OH,314
MI,265
MO,261
TX,250
TN,177
CO,125
PA,110
GA,100.4
AZ,55
ID,54
MS,54
NY,50
OR,40
CA,39.5
KY,35.4
NM,30
WY,6.5
LA,1.5
