EIA_source,1990,1995,2000,2005,2008
Cement Manufacture,33.3,36.9,41.3,46.1,42.2
Clinker Production,32.6,36.1,40.4,45.1,41.3
Masonry Cement,0.1,0.1,0.1,0.1,0.1
Cement Kiln Dust,0.7,0.7,0.8,0.9,0.8
Limestone Consumption,15.9,17.8,18.6,18.8,18.5
Lime Manufacture,12.4,14.5,15.4,15.7,15.5
Iron Smelting,1.7,1.2,1.1,0.8,0.8
Steelmaking,0.3,0.5,0.5,0.3,0.3
Copper Refining,0.1,0.2,0.1,0.1,0.1
Glass Manufacture,0.1,0.2,0.2,0.2,0.2
Flue Gas Desulfurization,0.7,0.9,1.2,1.5,1.5
Dolomite Manufacture,0.5,0.2,0.1,0.1,0.1
Natural Gas Production,23.1,33.9,23.8,25.3,29.9
Carbon Dioxide in Natural Gas,14,16.7,18.3,18.1,20.8
Natural Gas Flaring,9.1,17.2,5.5,7.2,9.1
Other,12.7,13.8,14.1,13.2,13.1
Soda Ash Manufacture,3.4,3.8,3.6,3.9,4.1
Soda Ash Consumption,0.5,0.8,0.6,0.6,0.5
Carbon Dioxide Manufacture,0.9,1,1.3,1.6,1.8
Aluminum Manufacture,5.9,4.9,5.4,3.6,3.9
Shale Oil Production,0.2,0,0,0,0
Waste Combustion,1.9,3.2,3.2,3.6,2.8
Total,85.1,102.3,97.8,103.5,103.8
