# State level RPS from the DSIRE project,,,,,,,,,,,,,,,,,,,,,,,,,,
# RPS share goals by year,,,,,,,,,,,,,,,,,,,,,,,,,,
state,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
District of Columbia,0,0,0.01495,0.01989,0.02481,0.02972,0.036,0.045,0.06,0.074,0.088,0.10675,0.1252,0.1435,0.1615,0.1842,0.1815,0.17825,0.175,0,0,0,0,0,0,0
District of Columbia,0,0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.02,0.015,0.01,0.005,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,0,0,0.00005,0.00011,0.00019,0.00028,0.004,0.005,0.005,0.006,0.007,0.00825,0.0098,0.0115,0.0135,0.0158,0.0185,0.02175,0.025,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.15,0.15,0.15,0.15,0.15,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.4
Illinois,0,0,0,0,0.015,0.03,0.0375,0.045,0.0525,0.06,0.0675,0.075,0.08625,0.0975,0.10875,0.12,0.13125,0.1425,0.15375,0.165,0.17625,0.1875,0,0,0,0
Illinois,0,0,0,0,0.005,0.01,0.0125,0.015,0.01715,0.0192,0.0198,0.019,0.02185,0.0247,0.02755,0.0304,0.03325,0.0361,0.03895,0.0418,0.04465,0.0475,0,0,0,0
Illinois,0,0,0,0,0,0,0,0,0.00035,0.0008,0.0027,0.006,0.0069,0.0078,0.0087,0.0096,0.0105,0.0114,0.0123,0.0132,0.0141,0.015,0,0,0,0
Illinois,0,0,0,0,0,0.024,0.03,0.036,0.042,0.048,0.054,0.06,0.069,0.078,0.087,0.096,0.105,0.114,0.123,0.132,0.141,0.15,0,0,0,0
Illinois,0,0,0,0,0,0.016,0.02,0.024,0.028,0.032,0.036,0.034,0.0391,0.0442,0.0493,0.0544,0.0595,0.0646,0.0697,0.0748,0.0799,0.085,0,0,0,0
Illinois,0,0,0,0,0,0,0,0,0,0,0,0.006,0.0069,0.0078,0.0087,0.0096,0.0105,0.0114,0.0123,0.0132,0.0141,0.015,0,0,0,0
Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.15,0.15,0.15,0.15,0.2,0,0,0,0,0,0,0,0,0,0
Maine,0,0,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,0,0.01,0.01,0.02,0.02,0.03,0.0495,0.064,0.0795,0.0995,0.1,0.12,0.1215,0.144,0.1565,0.16,0.167,0.18,0,0,0,0,0,0,0,0
Maryland,0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,0,0,0,0.00005,0.0001,0.00025,0.0005,0.001,0.0025,0.0035,0.005,0.007,0.0095,0.014,0.0175,0.02,0.02,0.02,0,0,0,0,0,0,0,0
Massachusetts,0.02,0.025,0.03,0.035,0.04,0.049321087,0.058373208,0.068369654,0.077256408,0.086080399,0.094485283,0.102411633,0.11094783,0.12094783,0.13094783,0.14094783,0.15094783,0.16094783,0.17094783,0.18094783,0.19094783,0.20094783,0.21094783,0.23,0.24,0.25
Massachusetts,0,0,0,0,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0,0,0,0,0
Massachusetts,0,0,0,0,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0,0,0,0,0
Massachusetts,0,0,0,0,0,0.000678913,0.001626792,0.001630346,0.002743592,0.003919601,0.005514717,0.007588367,0.00905217,0.00905217,0.00905217,0.00905217,0.00905217,0.00905217,0.00905217,0.00905217,0.00905217,0.00905217,0.00905217,0,0,0
Michigan,0,0,0,0,0,0,0,0.048,0.05645,0.0675,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,0,0,0,0,0,0.025,0.025,0.03,0.03,0.03,0.03,0.041666667,0.041666667,0.041666667,0.041666667,0.05,0,0,0,0,0,0,0,0,0,0
Minnesota,0,0,0,0,0,0.125,0.125,0.15,0.15,0.15,0.15,0.208333333,0.208333333,0.208333333,0.208333333,0.25,0,0,0,0,0,0,0,0,0,0
Minnesota,0,0,0,0,0,0,0,0.12,0.12,0.12,0.12,0.17,0.17,0.17,0.17,0.2,0.2,0.2,0.2,0.2,0.25,0,0,0,0,0
Missouri,0,0,0,0,0,0,0.0196,0.0196,0.0196,0.049,0.049,0.049,0.049,0.098,0.098,0.098,0.147,0,0,0,0,0,0,0,0,0
Missouri,0,0,0,0,0,0,0.0004,0.0004,0.0004,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0,0,0,0,0,0,0,0,0
Montana,0,0,0,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,0.057,0.057,0.0855,0.0855,0.114,0.114,0.1425,0.1425,0.171,0.171,0.19,0.188,0.188,0.188,0.188,0.2068,0.2068,0.2068,0.2068,0.2068,0.235,0,0,0,0,0
Nevada,0.003,0.003,0.0045,0.0045,0.006,0.006,0.0075,0.0075,0.009,0.009,0.01,0.012,0.012,0.012,0.012,0.0132,0.0132,0.0132,0.0132,0.0132,0.015,0,0,0,0,0
New Hampshire,0,0,0,0,0.005,0.01,0.02,0.03,0.038,0.046,0.054,0.061,0.068,0.075,0.082,0.089,0.096,0.103,0.11,0.117,0.124,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,0,0,0.002,0.004,0.006,0.008,0.01,0.012,0.014,0.016,0.018,0.02,0.022,0.024,0.026,0,0,0,0,0
New Hampshire,0,0,0,0,0,0.0004,0.0008,0.0015,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0
New Hampshire,0,0,0,0.035,0.045,0.055,0.065,0.065,0.065,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0,0,0,0,0
New Hampshire,0,0,0,0.005,0.01,0.01,0.01,0.01,0.013,0.014,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0,0,0,0,0
New Jersey,0.0074,0.00983,0.02037,0.02924,0.0384,0.04685,0.05492,0.0632,0.07143,0.07977,0.08807,0.09649,0.10485,0.12325,0.14175,0.16029,0.1788,0,0,0,0,0,0,0,0,0
New Jersey,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0,0,0,0
New Jersey,0.0001,0.00017,0.000393,0.000817,0.0016,0.00221,0.0067825,0.011355,0.0159275,0.0205,0.0245,0.0275,0.03,0.032,0.0329,0.0338,0.0347,0.0356,0.0365,0.0374,0.0383,0.0392,0.0401,0.041,0,0
New Mexico,0,0.05,0.06,0.06,0.06,0.06,0.0485,0.0485,0.0435,0.0435,0.063,0.063,0.063,0.063,0.063,0.084,0,0,0,0,0,0,0,0,0,0
New Mexico,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0,0,0,0,0,0,0,0,0,0
New Mexico,0,0,0,0,0,0,0.02,0.02,0.03,0.03,0.045,0.045,0.045,0.045,0.045,0.06,0,0,0,0,0,0,0,0,0,0
New Mexico,0,0,0,0,0,0,0.01,0.01,0.005,0.005,0.0075,0.0075,0.075,0.0075,0.0075,0.01,0,0,0,0,0,0,0,0,0,0
New Mexico,0,0,0,0,0,0,0.0015,0.0015,0.0015,0.0015,0.0045,0.0045,0.0045,0.0045,0.0045,0.006,0,0,0,0,0,0,0,0,0,0
New Mexico,0,0,0,0,0,0,0,0,0,0,0.05,0.06,0.07,0.08,0.09,0.1,0,0,0,0,0,0,0,0,0,0
New York,0,0.004250503,0.004223313,0.005927188,0.021435969,0.021203666,0.031890683,0.042707401,0.052626816,0.064174534,0.076012034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,0,0,0.000232378,0.000462003,0.000787715,0.001352572,0.00201341,0.002696879,0.003390792,0.004110326,0.004847851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,0.188305518,0.194182959,0.193983533,0.192690907,0.194523454,0.19680418,0.198106695,0.200173285,0.20218132,0.20459319,0.207044439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,0,0,0,0,0,0,0,0.0293,0.027383017,0.023669751,0.050963389,0.051064019,0.051163026,0.090060435,0.090156272,0.090250562,0.115343332,0,0,0,0,0,0,0,0,0
North Carolina,0,0,0,0,0,0.0002,0.0002,0.0007,0.0007,0.0007,0.0014,0.0014,0.0014,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0
North Carolina,0,0,0,0,0,0,0,0,0.0007,0.0007,0.0014,0.0014,0.0014,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0
North Carolina,0,0,0,0,0,0,0,0,0.001216983,0.004930249,0.006236611,0.006135981,0.006036974,0.005939565,0.005843728,0.005749438,0.005656668,0,0,0,0,0,0,0,0,0
North Carolina,0,0,0,0,0,0,0,0.0293,0.027383017,0.023669751,0.050963389,0.051064019,0.051163026,0.090060435,0.090156272,0.090250562,0.090343332,0,0,0,0,0,0,0,0,0
North Carolina,0,0,0,0,0,0.0002,0.0002,0.0007,0.0007,0.0007,0.0014,0.0014,0.0014,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0
North Carolina,0,0,0,0,0,0,0,0,0.0007,0.0007,0.0014,0.0014,0.0014,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0
North Carolina,0,0,0,0,0,0,0,0,0.001216983,0.004930249,0.006236611,0.006135981,0.006036974,0.005939565,0.005843728,0.005749438,0.005656668,0,0,0,0,0,0,0,0,0
Ohio,0,0,0,0,0.00246,0.0049,0.0097,0.0144,0.0191,0.0238,0.0335,0.0432,0.0528,0.0624,0.072,0.0816,0.0912,0.1008,0.1104,0.12,0,0,0,0,0,0
Ohio,0,0,0,0,0.00004,0.0001,0.0003,0.0006,0.0009,0.0012,0.0015,0.0018,0.0022,0.0026,0.003,0.0034,0.0038,0.0042,0.0046,0.005,0,0,0,0,0,0
Oregon,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.15,0.15,0.15,0.15,0.15,0.2,0.2,0.2,0.2,0.2,0.25,0,0,0,0,0
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
Pennsylvania,0,0,0.014987,0.01497,0.019937,0.02508,0.029997,0.034875,0.03969,0.04436,0.04876,0.0527,0.057267,0.0618,0.0663,0.070767,0.0752,0,0,0,0,0,0,0,0,0
Pennsylvania,0,0,0.042,0.042,0.042,0.042,0.062,0.062,0.062,0.062,0.062,0.082,0.082,0.082,0.082,0.082,0.1,0,0,0,0,0,0,0,0,0
Pennsylvania,0,0,0.000013,0.00003,0.000063,0.00012,0.000203,0.000325,0.00051,0.00084,0.00144,0.0025,0.002933,0.0034,0.0039,0.004433,0.005,0,0,0,0,0,0,0,0,0
Rhode Island,0,0,0.01,0.015,0.02,0.025,0.035,0.045,0.055,0.065,0.08,0.095,0.11,0.125,0.14,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.09,0.09,0.09,0.09,0.15,0,0,0,0,0,0,0,0,0,0
Wisconsin,0,0.0356,0.0356,0.0356,0.0356,0.0557,0.0557,0.0557,0.0557,0.0557,0.0957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
