# State level RPS from the DSIRE project,,,,,,,,,,,,,,,,,,,,,,,,,,
# RPS share goals by year,,,,,,,,,,,,,,,,,,,,,,,,,,
state,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Arizona,0,0.0125,0.01425,0.01575,0.017,0.02,0.0225,0.0245,0.028,0.0315,0.035,0.042,0.049,0.056,0.063,0.07,0.077,0.084,0.091,0.098,0.105,0,0,0,0,0
Arizona,0,0,0.00075,0.00175,0.003,0.005,0.0075,0.0105,0.012,0.0135,0.015,0.018,0.021,0.024,0.027,0.03,0.033,0.036,0.039,0.042,0.045,0,0,0,0,0
California,0.15,0.16,0.17,0.18,0.19,0.2,0.2,0.2,0.2,0.216666667,0.233333333,0.25,0.27,0.29,0.31,0.33,0,0,0,0,0,0,0,0,0,0
Colorado,0,0,0.0288,0.048,0.048,0.048,0.11,0.11,0.1075,0.1075,0.1825,0.1825,0.18,0.18,0.18,0.27,0,0,0,0,0,0,0,0,0,0
Colorado,0,0,0.0012,0.002,0.002,0.002,0.01,0.01,0.0125,0.0125,0.0175,0.0175,0.02,0.02,0.02,0.03,0,0,0,0,0,0,0,0,0,0
Colorado,0,0,0,0.01,0.01,0.01,0.03,0.03,0.03,0.03,0.06,0.06,0.06,0.06,0.06,0.1,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0.02,0.035,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.125,0.14,0.155,0.17,0.195,0.2,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0,0
Connecticut,0,0,0.01,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0
Delaware,0,0,0,0.01,0.01989,0.02986,0.03982,0.058,0.071,0.084,0.097,0.11,0.1225,0.135,0.1475,0.16,0.1675,0.175,0.1825,0.19,0.1975,0.205,0.215,0,0,0
Delaware,0,0,0,0,0.00011,0.00014,0.00018,0.002,0.004,0.006,0.008,0.01,0.0125,0.015,0.0175,0.02,0.0225,0.025,0.0275,0.03,0.0325,0.035,0.035,0,0,0
Delaware,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0
