# UCS 2005 cooling technology (using saline water) by generation technology and state,,,,,,,
region,fuel,UCS_technology,Dry_Cooled,Once_Through,Cooling_Pond,Recirculating,No_Cooling_Needed
AK,Natural Gas,Combined cycle (natural gas),0,0,0,0,0
AK,Natural Gas,Combustion Turbine (natural gas),0,0,0,0,0
AK,Natural Gas,Generic steam plant (natural gas),0,0,0,0,0
AK,Oil and others,Combined cycle (oil),0,0,0,0,0
AK,Oil and others,Combustion turbine (oil),0,0,0,0,102232
AK,Oil and others,Generic steam plant (oil),0,0,0,0,0
AK,Biopower and Biogas,Combustion Turbine (biopower),0,0,0,0,0
AK,Biopower and Biogas,Generic steam plant (biopower),0,0,0,0,0
AK,Geothermal Dry Steam,Geothermal EGS,0,0,0,0,0
AK,Geothermal Dry Steam,Geothermal Dry Steam,0,0,0,0,0
AK,Geothermal Dry Steam,Geothermal Binary,0,0,0,0,0
AK,Hydropower,Hydropower,0,0,0,0,0
AK,Hydropower,Pumped Storage,0,0,0,0,0
AK,PV,PV,0,0,0,0,0
AK,Coal,Generic steam plant (coal),0,0,0,0,0
AK,Nuclear,Generic steam plant (nuclear),0,0,0,0,0
AK,Concentrated Solar Power (CSP),CSP Trough,0,0,0,0,0
AK,Wind,Wind,0,0,0,0,0
AK,,,0,0,0,0,0
AL,Natural Gas,Combined cycle (natural gas),0,0,0,0,0
AL,Natural Gas,Combustion Turbine (natural gas),0,0,0,0,15841
AL,Natural Gas,Generic steam plant (natural gas),0,0,0,0,0
AL,Oil and others,Combined cycle (oil),0,0,0,0,0
AL,Oil and others,Combustion turbine (oil),0,0,0,0,0
AL,Oil and others,Generic steam plant (oil),0,0,0,0,0
AL,Biopower and Biogas,Combustion Turbine (biopower),0,0,0,0,0
AL,Biopower and Biogas,Generic steam plant (biopower),0,0,0,0,0
AL,Geothermal Dry Steam,Geothermal EGS,0,0,0,0,0
AL,Geothermal Dry Steam,Geothermal Dry Steam,0,0,0,0,0
AL,Geothermal Dry Steam,Geothermal Binary,0,0,0,0,0
AL,Hydropower,Hydropower,0,0,0,0,0
AL,Hydropower,Pumped Storage,0,0,0,0,0
AL,PV,PV,0,0,0,0,0
AL,Coal,Generic steam plant (coal),0,321152,0,0,0
