# US Census Bureau,,,,,,,,
# Population by state,,,,,,,,
# No stable URL,,,,,,,,
state,1975,1980,1985,1990,1995,2000,2005,2008
AK,376170,401851,532495,550043,601345,627499,669488,688125
AL,3678814,3893888,3972523,4040389,4262731,4451849,4545049,4677464
AR,2159526,2286435,2327046,2350624,2480121,2678288,2776221,2867764
AZ,2284847,2718215,3183538,3665339,4306908,5166697,5974834,6499377
CA,21537849,23667902,26441109,29811427,31493525,33994571,35795255,36580371
CO,2586192,2889964,3208723,3294473,3738061,4328070,4660780,4935213
CT,3082500,3107576,3201131,3287116,3265293,3411726,3477416,3502932
DC,706871,638333,634549,606900,551273,571744,582049,590074
DE,586589,594338,618280,666168,718265,786411,839906,876211
FL,8518422,9746324,11351118,12938071,14185403,16047118,17783868,18423878
GA,5064075,5463105,5962661,6478149,7188538,8230161,9097428,9697838
HI,886160,964691,1039698,1108229,1180490,1211566,1266117,1287481
IA,2880847,2913808,2829684,2776831,2840860,2928184,2949450,2993987
ID,831982,943935,994051,1006734,1165000,1299551,1425862,1527506
IL,11291743,11426518,11399806,11430602,11884935,12437645,12674452,12842954
IN,5365766,5490224,5459211,5544156,5791819,6091649,6253120,6388309
KS,2280578,2363679,2427405,2477588,2586942,2692810,2741771,2797375
KY,3467769,3660777,3694826,3686892,3855248,4048903,4182293,4287931
LA,3886104,4205900,4408118,4221826,4327978,4468979,4497691,4451513
MA,5757756,5737037,5880733,6016425,6062335,6363015,6453031,6543595
MD,4139096,4216975,4413071,4780753,5023650,5310579,5582520,5658655
ME,1071995,1124660,1162936,1227928,1237438,1277211,1311631,1319691
MI,9117668,9262078,9076293,9295287,9659871,9955308,10090554,10002486
MN,3932515,4075970,4184302,4375665,4605445,4933958,5106560,5230567
MO,4808308,4916686,5000268,5116901,5324610,5606065,5806639,5956335
MS,2399449,2520638,2588102,2575475,2690788,2848310,2900116,2940212
MT,748208,786690,822320,799065,868522,903293,934801,968035
NC,5547188,5881766,6253954,6632448,7185403,8079383,8669452,9247134
ND,638886,652717,676980,638800,641548,641200,635365,641421
NE,1543117,1569825,1584664,1578417,1635142,1713345,1751721,1781949
NH,828555,920610,996753,1109252,1145604,1240446,1301415,1321872
NJ,7337765,7364823,7565528,7747750,7965523,8430921,8621837,8663398
NM,1159944,1302894,1438361,1515069,1682417,1820813,1916538,1986763
NV,619972,800493,951030,1201675,1525777,2018211,2408804,2615772
NY,18003485,17558072,17791672,17990778,18150928,18998044,19330891,19467789
OH,10770425,10797630,10734926,10847115,11155493,11363844,11475262,11528072
OK,2774683,3025290,3271332,3145576,3265547,3453943,3532769,3644025
OR,2329661,2633105,2672652,2842337,3141421,3430891,3617869,3782991
PA,11906095,11863895,11770862,11882842,12044780,12285504,12418161,12566368
RI,942788,947154,968955,1003464,989203,1050736,1064989,1053502
SC,2902028,3121820,3303209,3486310,3699943,4023570,4256199,4503280
SD,681042,690768,698402,696004,728251,755694,780084,804532
TN,4275566,4591120,4715296,4877203,5241168,5703243,5995748,6240456
TX,12568843,14229191,16272734,16986335,18679706,20945963,22801920,24304290
UT,1236030,1461037,1642910,1722850,1976774,2244314,2499637,2727343
VA,5047395,5346818,5715153,6189197,6601392,7104533,7563887,7795424
VT,479713,511456,530035,562758,582827,609903,618814,621049
WA,3621339,4132156,4400098,4866669,5431024,5911122,6261282,6566073
WI,4578986,4705767,4747767,4891954,5137004,5374254,5541443,5627610
WV,1842250,1949644,1906831,1793477,1820560,1806962,1803920,1814873
WY,381695,469557,499695,453589,478447,493958,506242,532981
